infinitive_latin,frequency
povesti,113
пола,112
излазити,112
јавити,112
кретати,112
окретати,112
brinuti,112
ljutito,112
veselo,112
desno,112
uhapsiti,112
сести,111
некако,111
objaviti,111
родити,110
угледати,110
odneti,110
valjda,110
napuštati,110
propasti,110
sačuvati,110
dozvoliti,110
poneti,110
prevariti,110
pojuriti,110
neprestano,109
izazvati,109
pojesti,109
nasmejati,109
buditi,109
zateći,109
ljutiti,109
davno,109
хватати,108
заборављати,108
kazivati,108
žuriti,108
izbaciti,108
strašno,108
mahati,108
iznenaditi,108
бојати,107
спремати,107
јасно,107
prilično,107
pozdraviti,107
pozivati,107
odista,107
викнути,106
припадати,106
ћутати,106
постајати,106
dovoljno,106
leći,106
nestajati,106
око,105
oženiti,105
gurati,105
predložiti,105
najpre,105
beh,105
telefonirati,105
затворити,104
probiti,104
sakriti,104
prodati,104
тећи,103
пажљиво,103
упутити,103
бежати,103
сутра,103
smeškati,103
dotle,103
тихо,102
прелазити,102
пуштати,102
spremiti,102
ćutke,102
hodati,102
počesiti,102
подићи,101
napolju,101
lupiti,101
čuditi,101
полако,100
мирно,100
смести,100
šetati,100
sporo,100
levo,100
провести,99
бацати,99
када,99
објаснити,99
наићи,99
узалуд,99
pristati,99
uvrediti,99
ispustiti,99
vrteti,99
sastaviti,99
uveriti,99
uveravati,99
približiti,99
пробудити,98
врло,98
нагло,98
повући,98
сувише,98
neobično,98
obuzeti,98
oštro,98
jahati,98
slagati,98
poznati,98
спустити,97
доносити,97
besno,97
gasiti,97
osvetliti,97
stupiti,97
svratiti,97
помоћи,96
казивати,96
чувати,96
istovremeno,96
zapisati,96
pokriti,96
zapaliti,96
udarati,96
odjekivati,96
sačekati,96
начинити,95
примати,95
свуда,95
одвести,95
uzgred,95
zahtevati,95
izdržati,95
hraniti,95
završavati,95
žao,95
seći,95
тачно,94
путовати,94
kratko,94
uznemiravati,94
sručiti,94
замислити,93
касно,93
владати,93
odlučno,93
graditi,93
popeti,93
naterati,93
tržati,93
смејати,92
mrmljati,92
jednako,92
odnekud,92
nazvati,92
paliti,92
uništiti,92
умирати,91
крити,91
predavati,91
leteti,91
umiriti,91
oduvek,91
dočno,91
улазити,90
ставити,90
позвати,90
остављати,90
odnositi,90
odvratiti,90
izbiti,90
dohvatiti,90
preneti,90
provoditi,90
učestvovati,90
silaziti,90
danju,90
odmoriti,90
izabrati,90
кући,89
ширити,89
saslušati,89
oprezno,89
ponuditi,89
pomišljati,89
strpati,89
promrmljati,89
zahvaljivati,89
izmeniti,89
osuditi,89
klimnuti,89
јако,88
никако,88
поставити,88
најпосле,88
убити,88
najposle,88
sahraniti,88
вући,87
гласно,87
настати,87
прекидати,87
obaviti,87
odleteti,87
raširiti,87
закључити,86
настављати,86
везати,86
nastupiti,86
nedavno,86
preduzeti,86
proveriti,86
izazivati,86
stvarati,86
drhtati,86
uživati,86
pojavljivati,86
daviti,86
preplašiti,85
privući,85
zatražiti,85
razgledati,85
nastojati,85
слати,84
шапутати,84
osvrtati,84
izneti,84
uleteti,84
dopasti,84
просто,83
непрестано,83
опростити,83
делити,83
napolje,83
ponašati,83
podneti,83
goreti,83
најпре,83
понављати,82
трчати,82
правити,82
сутрадан,82
једнако,82
променити,82
памтити,82
давити,82
ispostaviti,82
dignuti,82
zapevati,82
prošaptati,82
obesiti,82
istrčati,82
stanovati,82
razmisliti,82
naprotiv,82
lečiti,82
решити,81
нестати,81
срести,81
створити,81
настојати,81
postavljati,81
dvaput,81
radosno,81
izraziti,81
skrenuti,81
ljubazno,81
gaziti,81
visoko,81
ukazati,81
odbijati,81
дочекати,80
гонити,80
tužno,80
rado,80
mahnuti,80
udaljiti,80
patiti,80
одлучити,79
стизати,79
одувек,79
opisati,79
računati,79
zagrliti,79
povremeno,79
potvrditi,79
umalo,79
ubijati,79
одвратити,78
загледати,78
очигледно,78
уплашити,78
пазити,78
živo,78
uspevati,78
uzvratiti,78
boliti,78
ćutjeti,78
изговорити,77
пушити,77
извести,77
написати,77
престати,77
овамо,77
пре,77
maločas,77
kupovati,77
zatvarati,77
uvući,77
požuriti,77
платити,76
задржати,76
горе,76
извући,76
надати,76
nuditi,76
propustiti,76
slabo,76
uzviknuti,76
savetovati,76
hajdemo,76
zameniti,76
dospeti,76
куда,75
научити,75
izgovarati,75
uporno,75
varati,75
utvrditi,75
ispitivati,75
iskreno,75
доста,74
испричати,74
помагати,74
rađati,74
pričekati,74
sklopiti,74
zavladati,74
probijati,74
izbegavati,74
radovati,74
poslužiti,74
svejedno,74
zaustavljati,74
ustajati,74
догодити,74
изаћи,73
пријећи,73
вредити,73
навићи,73
прихватити,73
дотле,73
preseći,73
zamišljati,73
doduše,73
porazgovarati,73
ploviti,73
pominjati,73
sipati,73
vešto,73
podnositi,73
прво,72
прекинути,72
напуштати,72
споро,72
iščeznuti,72
strogo,72
saopštiti,72
peći,72
zaprepastiti,72
zadrhtati,72
beležiti,72
viriti,72
umešati,72
dopadati,72
odvajati,72
krstiti,72
нигде,71
изменити,71
доле,71
nimalo,71
interesovati,71
poveriti,71
objašnjavati,71
potražiti,71
trošiti,71
жалити,70
убрзо,70
подизати,70
претворити,70
стварно,70
plaćati,70
nazad,70
šaliti,70
skupljati,70
vezivati,70
otvoreno,70
представљати,69
претварати,69
куд,69
унапред,69
ozbiljno,69
izražavati,69
viđati,69
ispisati,69
odbaciti,69
predstaviti,69
застати,68
натраг,68
ударати,68
сачувати,68
изненадити,68
понети,68
плакати,68
nabaviti,68
obradovati,68
položiti,68
nisko,68
doživeti,68
nestrpljivo,68
konačno,68
skloniti,68
bolovati,68
sinoć,68
вели,67
спасти,67
трудити,67
изјавити,67
uzdahnuti,67
zavisiti,67
zvučiti,67
večeras,67
napiti,67
jutros,66
prodavati,66
tresti,66
osluškivati,66
zdravo,66
privlačiti,66
neprimetno,66
узбудити,65
помишљати,65
мешати,65
nasloniti,65
duvati,65
naljutiti,65
uzvikivati,65
šapnuti,65
obećavati,65
obilaziti,65
свирати,64
преварити,64
називати,64
десно,64
користити,64
svetlucati,64
svečano,64
otpočeti,64
raspitivati,64
zapaziti,64
izložiti,64
sviđati,64
slobodno,64
urlati,64
uvesti,64
glasiti,64
lomiti,64
otkako,64
podeliti,64
odnosno,64
извадити,63
напољу,63
вршити,63
добијати,63
ослободити,63
саставити,63
podsećati,63
izvlačiti,63
