глагол,общая_частота
ispraviti,39
doista,38
savijati,38
drugačije,38
konačno,38
zbunjivati,38
poigravati,38
lutati,38
naljutiti,38
uzvikivati,38
brisati,38
puniti,38
upasti,38
iznositi,38
sprečiti,38
drago,38
progutati,38
delovati,38
učtivo,38
zaplakati,38
uvideti,38
polaziti,38
upaliti,38
zaćutati,38
večito,38
mrziti,38
napola,37
prekrstiti,37
svetlucati,37
uistinu,37
penjati,37
navaliti,37
ućutati,37
podrhtavati,37
prikazati,37
dovoditi,37
maštati,37
pritisnuti,37
popraviti,37
skakati,37
noćas,37
poginuti,37
dovršiti,37
jurnuti,37
priznavati,37
zabraniti,37
preživeti,37
zaključati,37
nazad,36
uneti,36
razabrati,36
treptati,36
srećno,36
trljati,36
puno,36
blago,36
dirati,36
nešto,36
ceniti,36
dogovoriti,36
usput,36
nečujno,36
namrštiti,36
ubediti,36
pobediti,36
posebno,36
ispratiti,36
obići,36
zabeležiti,35
važiti,35
loviti,35
hladno,35
pretiti,35
umirivati,35
sijati,35
dopreti,35
nedostajati,35
topiti,35
oterati,35
opraštati,35
snaći,35
odigrati,35
kleti,35
odozgo,35
žmirkati,35
osvojiti,35
pridružiti,35
potpisati,35
ručati,35
rđavo,35
odvući,35
plesti,34
upotrebiti,34
izdvojiti,34
porasti,34
zaurlati,34
škripati,34
dodirivati,34
prirodno,34
izuzetno,34
odazvati,34
grejati,34
obrisati,34
odjeknuti,34
mariti,34
povratiti,34
zapravo,34
drukčije,34
kidati,34
neprekidno,34
odatle,34
gorko,34
premestiti,34
postepeno,34
letiti,34
nagnuti,34
večerati,34
zvoniti,34
smjeti,33
polagano,33
spadati,33
meriti,33
dodavati,33
boraviti,33
oglasiti,33
kružiti,33
pomoliti,33
malo-pomalo,33
plivati,33
sretati,33
prepustiti,33
šaptati,33
zavući,33
zaraditi,33
unutra,33
zapamtiti,33
mrštiti,33
pridržavati,33
ubaciti,33
uticati,33
pokretati,33
okupiti,33
prisustvovati,33
nagoniti,32
dosada,32
trenutno,32
neposredno,32
označavati,32
zadovoljiti,32
zaneti,32
dočekivati,32
iznutra,32
čudno,32
resiti,32
pripremati,32
tešiti,32
nemoguće,32
odati,32
pomiriti,32
blistati,32
navući,32
promicati,32
vešati,32
okačiti,32
dostojanstveno,32
štaviše,31
svršavati,31
naslućivati,31
otada,31
dozivati,31
grčevito,31
savršeno,31
smenjivati,31
utoliko,31
zazvoniti,31
zbunjeno,31
postići,31
ispadati,31
preteći,31
udati,31
pripremiti,31
zaći,31
ukrasiti,31
opaliti,31
prijatno,31
osvetljavati,31
otrčati,31
probati,31
prikazivati,31
pritrčati,31
oduzeti,31
tonuti,30
odmicati,30
legnuti,30
odmahivati,30
svanuti,30
kazniti,30
ratovati,30
izjutra,30
oživeti,30
proživeti,30
pribrati,30
okruživati,30
čestitati,30
