глагол,общая_частота
ispitovati,348
strujati,348
ubrzavati,347
sviđati,347
doktorirati,347
trenirati,347
prekršiti,346
oslobađati,345
odneti,345
priuštiti,344
paliti,344
montirati,344
haliti,343
pozabaviti,342
suprotstaviti,342
odvajati,340
spuštati,340
uklopiti,339
sakriti,338
upotpuniti,338
polaziti,335
pristići,335
nestajati,334
sagraditi,334
ugrađivati,333
hodati,333
umanjivati,331
ignorisati,331
nametnuti,331
skočiti,331
ublažiti,331
deleti,329
dijeliti,329
spustiti,326
preispitati,326
konzumirati,325
sakupljati,324
poznati,323
precizirati,323
dopuniti,322
spasti,321
optimizovati,321
svesti,321
uspjeti,320
obilovati,320
pridavati,318
mučiti,317
osloniti,317
uništavati,316
reciklirati,316
priložiti,315
odabirati,315
pretpostaviti,315
rezervisati,315
spriječiti,315
skretati,315
demonstrirati,313
bacati,312
nalagati,312
negirati,311
proučavati,311
zapitati,309
pribaviti,308
mijenjati,307
uspiti,307
sklopiti,306
ubijati,305
oporaviti,305
dočekovati,304
pregovarati,304
portati,303
podvućati,301
zabranjivati,300
zagovarati,297
sačekati,297
ponositi,297
obnavljati,297
sakupiti,297
dugovati,295
poteći,295
sačinjavati,294
ujediniti,293
udružiti,292
ratifikovati,292
obustaviti,292
gavati,291
nastojiti,290
puštati,290
zaboravljati,289
suditi,288
izbaciti,287
objedinjavati,287
informišati,287
obilaziti,286
tragati,286
okružovati,285
isplaćivati,284
interesivati,282
zabraniti,281
zamenjivati,281
vežbati,280
koordinirati,280
pojačavati,279
smiti,279
primena,278
najavati,278
uzmati,278
ideti,278
odreći,278
primjenjivati,277
umirati,277
pomeriti,276
spomenuti,276
pretraživati,276
temeljati,276
povrediti,276
iskazivati,276
zvučiti,275
dijeti,274
komentarisati,274
protestovati,274
narušavati,273
obogatiti,272
dopuštati,272
šetati,272
ovisiti,271
sačiniti,271
zanemariti,271
zarađivati,271
okruživati,271
izgovoriti,271
rađati,270
peći,270
dovršiti,270
kuvati,269
pozicionirati,269
režirati,269
uvećati,268
odraziti,267
aviti,267
nimati,266
odazvati,266
štampati,265
uneseti,264
funkcionirati,263
željeti,263
obučavati,263
proisticati,262
oduzimati,262
usaglasiti,262
uštedeti,261
izvoziti,260
ispoljavati,260
ubediti,258
ugledati,258
narediti,257
srušiti,256
jučiti,256
pohranjivati,256
intenzivirati,255
oko,254
doživiti,254
proizlaziti,253
oslikavati,253
podrazumijevati,253
manifestovati,253
učvrstiti,253
osjetiti,252
dobivati,252
riješiti,252
potrajati,252
bežati,252
zaštiti,251
obrisati,251
oduševiti,251
zaustavljati,250
uvećavati,250
prošetati,250
davasti,249
poklanjati,249
proslediti,247
izučavati,247
hraniti,247
nadoknađivati,247
rečiti,247
slagiti,246
izračunati,245
apelovati,245
počneti,244
produžavati,244
optužiti,243
zaslužiti,243
otkazati,242
osposobiti,242
skupljati,242
odisati,242
čiti,242
ponlavljati,242
ovladati,241
svežiti,241
oštetiti,241
uočavati,241
naplatiti,241
sastajati,241
pobeći,241
povežiti,240
naložiti,240
sediti,240
živjeti,240
pokreneti,239
izbjeći,239
snaći,239
zapamtiti,239
zateći,238
saslušati,238
pozoveti,237
brinati,237
pokreniti,237
kazniti,237
dopasti,236
prići,235
obračunavati,235
idati,235
predočiti,235
popeti,235
ubrajati,235
odustajati,235
