base_verb,prefixed_verb,prefix,freq_base,freq_base,freq_prefixed,freq_prefixed
šuštati,zašuštati,za,86,86,19,19
postaviti,zapostaviti,za,1375,2027,19,21
oštriti,naoštriti,na,28,84,19,19
klesati,uklesati,u,11,13,19,20
lepršati,odlepršati,od,121,243,19,19
graditi,pregraditi,pre,543,4169,19,20
mileti,izmileti,iz,13,26,19,19
umirati,izumirati,iz,510,1051,19,19
sloviti,prosloviti,pro,15,47,19,19
tanjiti,utanjiti,u,70,71,19,19
metati,zametati,za,125,1376,19,21
pucketati,zapucketati,za,102,102,19,19
prljati,zaprljati,za,60,122,19,19
mreškati,namreškati,na,17,17,19,19
krkljati,zakrkljati,za,59,59,19,19
klimati,zaklimati,za,227,228,19,19
ostavljati,izostavljati,iz,1609,1765,19,24
čuti,pričuti,pri,10341,62563,19,19
stizati,prestizati,pre,791,3348,19,21
ležati,preležati,pre,2671,5517,19,20
veličati,uveličati,u,63,66,19,47
dirati,izdirati,iz,285,1149,19,19
tovariti,utovariti,u,79,239,19,24
gnječiti,prignječiti,pri,81,164,18,18
usmeriti,preusmeriti,pre,177,278,18,39
okretati,zaokretati,za,1538,3130,18,20
plivati,doplivati,do,393,1200,18,18
temeljiti,utemeljiti,u,27,32,18,21
leteti,saleteti,sa,242,2665,18,18
tutnjati,protutnjati,pro,34,34,18,19
tkati,utkati,u,47,236,18,22
liti,doliti,do,96,961,18,19
dirati,zadirati,za,285,1149,18,27
tucati,natucati,na,48,96,18,18
nuti,sunuti,su,7,18,18,18
kupovati,nakupovati,na,470,635,18,18
trčati,zatrčati,za,1327,7978,18,18
mahnuti,izmahnuti,iz,289,869,18,18
svetiti,prosvetiti,pro,218,222,18,19
sećati,dosećati,do,2475,7505,18,36
testirati,protestirati,pro,5,105,18,18
ovladavati,preovladavati,pre,6,9,18,42
visiti,nadvisiti,nad,1019,3061,18,18
mrsiti,promrsiti,pro,65,197,18,18
šetati,ušetati,u,805,2452,17,17
uživati,nauživati,na,1503,3630,17,18
taložiti,nataložiti,na,51,54,17,18
kazati,prokazati,pro,16617,101685,17,17
svirati,prosvirati,pro,863,2679,17,17
turati,proturati,pro,26,106,17,17
uzimati,izuzimati,iz,1280,9133,17,22
jebati,zajebati,za,131,132,17,17
lečiti,zalečiti,za,278,603,17,18
mucati,zamucati,za,188,376,17,17
buniti,zabuniti,za,302,913,17,17
patiti,zapatiti,za,692,2781,17,17
upitati,priupitati,pri,5950,11933,17,18
peniti,zapeniti,za,23,23,17,17
taknuti,utaknuti,u,65,195,17,17
tabati,utabati,u,24,24,17,20
blagodariti,zablagodariti,za,67,67,17,17
postavljati,zapostavljati,za,577,963,17,21
peći,upeći,u,313,1286,17,17
ploviti,doploviti,do,308,994,17,18
gledati,dogledati,do,11256,135464,17,17
secati,zasecati,za,6,37,17,19
stideti,zastideti,za,155,155,17,17
suditi,dosuditi,do,750,3050,17,17
jesti,izjesti,iz,2096,4264,17,17
ustavljati,obustavljati,ob,10,30,17,27
brojati,odbrojati,od,302,1276,17,17
živiti,uživiti,u,2749,8292,17,17
želeti,uželeti,u,3165,9208,17,18
uzimati,poduzimati,pod,1280,9133,17,26
luditi,izluditi,iz,246,498,17,17
goreti,pregoreti,pre,551,4409,17,18
blenuti,zablenuti,za,36,36,17,17
gasnuti,ugasnuti,u,23,23,17,17
skočiti,naskočiti,na,982,6922,17,17
šunjati,prišunjati,pri,50,150,17,17
patiti,prepatiti,pre,692,2781,17,17
uveličati,preuveličati,pre,19,47,17,17
huškati,nahuškati,na,9,9,17,18
općiti,saopćiti,sa,6,13,16,26
magarčiti,namagarčiti,na,14,14,16,16
krstariti,prokrstariti,pro,67,75,16,17
venuti,provenuti,pro,38,76,16,16
iskriti,zaiskriti,za,23,23,16,16
mahati,zamahati,za,547,1096,16,16
ćaskati,proćaskati,pro,159,162,16,17
dvoriti,dodvoriti,do,69,69,16,18
rušiti,urušiti,u,322,1627,16,22
mamiti,domamiti,do,215,1076,16,16
faliti,zafaliti,za,171,194,16,16
pasati,napasati,na,29,30,16,16
lučiti,ulučiti,u,38,120,16,16
gađati,ugađati,u,236,954,16,16
ići,uzići,uz,9434,57248,16,16
brisati,ubrisati,u,492,1544,16,16
dojiti,zadojiti,za,58,59,16,16
ridati,zaridati,za,36,36,16,16
jaloviti,izjaloviti,iz,8,8,16,16
vibrirati,zavibrirati,za,27,31,16,16
ovladati,preovladati,pre,98,125,16,17
nagliti,prenagliti,pre,6,6,16,16
mrcvariti,izmrcvariti,iz,17,17,16,16
rezati,podrezati,pod,79,791,16,16
okrenuti,izokrenuti,iz,3751,11333,16,16
kockati,prokockati,pro,108,110,16,16
parirati,preparirati,pre,11,25,16,17
trpiti,pretrpiti,pre,233,238,16,19
drešiti,razdrešiti,raz,16,16,15,15
žderati,prožderati,pro,47,47,15,15
pevati,propevati,pro,1235,2532,15,15
meškoljiti,promeškoljiti,pro,35,35,15,15
curiti,procuriti,pro,177,181,15,18
luditi,zaluditi,za,246,498,15,15
borati,izborati,iz,71,142,15,15
škiljiti,zaškiljiti,za,17,17,15,15
lagati,prilagati,pri,732,5866,15,32
pomenuti,pripomenuti,pri,711,1554,15,15
praviti,pripraviti,pri,1783,7387,15,17
vezati,obvezati,ob,1111,7803,15,19
bolovati,odbolovati,od,196,207,15,16
negovati,odnegovati,od,228,346,15,15
grejati,podgrejati,pod,183,747,15,17
kipeti,prekipeti,pre,8,8,15,15
množiti,namnožiti,na,59,123,15,15
patiti,napatiti,na,692,2781,15,15
kapirati,ukapirati,u,17,18,15,15
ticati,naticati,na,1501,10978,15,15
piškiti,upiškiti,u,48,48,15,15
gasiti,zagasiti,za,419,844,15,16
kaniti,nakaniti,na,37,37,15,15
lickati,nalickati,na,8,8,15,15
popiti,zapopiti,za,982,995,15,15
turiti,naturiti,na,62,372,15,16
svetliti,zasvetliti,za,160,320,15,15
meriti,razmeriti,raz,155,1361,15,17
vikati,izvikati,iz,2049,8201,15,15
lagati,razlagati,raz,732,5866,14,30
strujiti,prostrujiti,pro,99,99,14,14
mekšati,umekšati,u,13,26,14,14
rastati,zarastati,za,373,2258,14,14
brundati,zabrundati,za,23,23,14,14
kretati,zakretati,za,1768,2131,14,18
lizati,zalizati,za,155,466,14,14
sejati,zasejati,za,89,94,14,15
laknuti,odlaknuti,od,68,70,14,14
metati,izmetati,iz,125,1376,14,14
vežbati,izvežbati,iz,117,278,14,14
vesti,podvesti,pod,48,539,14,14
kopati,prekopati,pre,303,1526,14,14
raditi,preraditi,pre,7532,64503,14,33
računati,preračunati,pre,456,2707,14,16
slikati,preslikati,pre,236,726,14,14
uveličavati,preuveličavati,pre,30,31,14,14
spavati,prospavati,pro,3002,15366,14,14
stenjati,prostenjati,pro,111,222,14,14
mašiti,domašiti,do,215,861,14,14
birati,ubirati,u,474,3615,14,17
mlatiti,umlatiti,u,60,241,14,14
kriviti,zakriviti,za,343,703,14,14
gruvati,ugruvati,u,12,12,14,14
hraniti,uhraniti,u,406,1653,14,14
seći,naseći,na,246,1970,14,14
kucati,ukucati,u,329,1323,14,16
tjerati,natjerati,na,6,16,14,25
sloviti,usloviti,u,15,47,14,51
odenuti,zaodenuti,za,229,459,14,14
kloniti,sakloniti,sa,68,344,14,14
voziti,uvoziti,u,857,4422,14,26
vrebati,uvrebati,u,167,177,14,14
rešavati,razrešavati,raz,227,402,14,25
laziti,uzlaziti,uz,11,111,13,13
mrskati,razmrskati,raz,19,19,13,13
mahati,razmahati,raz,547,1096,13,14
levati,razlevati,raz,42,42,13,13
igrati,razigrati,raz,2814,20305,13,20
davati,razdavati,raz,2395,22346,13,13
ukrštati,izukrštati,iz,94,105,13,13
seći,proseći,pro,246,1970,13,13
kopati,prokopati,pro,303,1526,13,13
boraviti,proboraviti,pro,356,1058,13,13
štedeti,prištedeti,pri,54,110,13,13
grabiti,prigrabiti,pri,199,998,13,17
živjeti,preživjeti,pre,127,422,13,32
znojiti,preznojiti,pre,254,254,13,13
staviti,prestaviti,pre,2536,15573,13,15
slušati,preslušati,pre,4092,16590,13,15
sipati,presipati,pre,257,794,13,13
rediti,razrediti,raz,20,200,13,15
učestvovati,saučestvovati,sa,603,2277,13,19
vrstati,razvrstati,raz,8,8,13,20
udariti,podudariti,pod,1155,1191,13,14
mazati,podmazati,pod,66,397,13,15
lomiti,odlomiti,od,281,1693,13,13
voziti,odvoziti,od,857,4422,13,19
nakaziti,iznakaziti,iz,8,16,13,13
slušati,odslušati,od,4092,16590,13,14
lepiti,izlepiti,iz,125,884,13,14
tješiti,utješiti,u,6,6,13,13
treskati,zatreskati,za,23,24,13,13
huktati,zahuktati,za,45,45,13,16
letati,doletati,do,5,60,13,13
imati,doimati,do,29631,130463,13,15
živeti,uživeti,u,2266,17078,13,13
padati,prepadati,pre,2594,18264,13,13
meriti,premeriti,pre,155,1361,13,13
vikati,nadvikati,nad,2049,8201,13,13
sladiti,nasladiti,na,32,65,13,13
cakliti,zacakliti,za,48,49,13,13
valjati,uvaljati,u,1405,1441,13,14
škrabati,naškrabati,na,12,12,13,13
moliti,umoliti,u,2871,14368,13,14
ciljati,naciljati,na,135,149,13,13
gurati,nagurati,na,620,4365,13,13
ceniti,uceniti,u,235,967,13,13
ceriti,naceriti,na,50,50,13,13
ružiti,naružiti,na,25,38,13,13
kidati,zakidati,za,250,752,13,13
pomoći,pripomoći,pri,1807,3086,12,14
trnuti,protrnuti,pro,52,156,12,12
viđati,previđati,pre,680,2756,12,21
računiti,proračuniti,pro,26,28,12,12
metati,prometati,pro,125,1376,12,12
mrljati,zamrljati,za,16,32,12,12
žeti,užeti,u,1995,5985,12,12
grnuti,zagrnuti,za,8,40,12,12
crniti,zacrniti,za,34,34,12,12
sedati,usedati,u,224,1346,12,12
teći,nateći,na,826,5048,12,12
platiti,uplatiti,u,1147,3717,12,91
sesti,usesti,u,2497,4995,12,12
puderisati,napuderisati,na,8,9,12,12
delovati,sudelovati,su,1537,1953,12,15
motati,namotati,na,185,1111,12,12
prsnuti,naprsnuti,na,283,283,12,12
cvrkutati,zacvrkutati,za,40,80,12,12
pešačiti,prepešačiti,pre,54,63,12,13
naglasiti,prenaglasiti,pre,192,1093,12,12
maštati,izmaštati,iz,281,295,12,14
gurati,odgurati,od,620,4365,12,12
vetriti,izvetriti,iz,26,53,12,12
rastati,izrastati,iz,373,2258,12,13
ranjaviti,izranjaviti,iz,5,5,12,12
čuti,dočuti,do,10341,62563,12,12
derati,izderati,iz,245,735,12,13
zvečati,zazvečati,za,26,26,12,12
vrištati,zavrištati,za,197,198,12,12
svetlucati,zasvetlucati,za,146,149,12,12
stiditi,zastiditi,za,259,266,12,12
rezati,zarezati,za,79,791,12,12
oštriti,zaoštriti,za,28,84,12,15
mrziti,zamrziti,za,21,35,12,12
liti,podliti,pod,96,961,11,11
ceniti,preceniti,pre,235,967,11,12
tkati,pretkati,pre,47,236,11,11
zdraviti,prezdraviti,pre,136,272,11,11
kratiti,prikratiti,pri,23,47,11,11
gegati,odgegati,od,42,84,11,11
lizati,oblizati,ob,155,466,11,11
glačati,izglačati,iz,17,35,11,11
oružati,oboružati,ob,11,33,11,11
škripiti,zaškripiti,za,102,102,11,13
ljubiti,obljubiti,ob,1005,5033,11,12
lepiti,oblepiti,ob,125,884,11,11
pržiti,zapržiti,za,80,92,11,11
prečiti,zaprečiti,za,22,44,11,11
močiti,zamočiti,za,20,60,11,11
komplikovati,zakomplikovati,za,39,51,11,14
ribati,izribati,iz,40,41,11,11
šetati,odšetati,od,805,2452,11,12
lokati,izlokati,iz,40,96,11,11
recitovati,odrecitovati,od,87,180,11,11
goniti,odgoniti,od,484,3398,11,11
osećati,saosećati,sa,6516,6996,11,17
odenuti,razodenuti,raz,229,459,11,11
hvatati,dohvatati,do,984,3948,11,11
krijumčariti,prokrijumčariti,pro,13,21,11,11
ključati,proključati,pro,93,188,11,12
stojati,pristojati,pri,36,140,11,11
mahnuti,razmahnuti,raz,289,869,11,12
dati,razdati,raz,5896,54495,11,11
vjeriti,provjeriti,pro,30,60,11,185
tkati,protkati,pro,47,236,11,11
sediti,prosediti,pro,1849,1888,11,11
rotiti,urotiti,u,26,26,11,12
turati,naturati,na,26,106,11,12
kvasiti,ukvasiti,u,62,124,11,11
glancati,uglancati,u,14,29,11,11
mračiti,namračiti,na,29,58,11,11
legati,nalegati,na,26,82,11,11
kazati,nakazati,na,16617,101685,11,12
kalemiti,nakalemiti,na,13,13,11,11
hvaliti,nahvaliti,na,365,741,11,12
goreti,zagoreti,za,551,4409,11,11
brojiti,ubrojiti,u,230,960,11,11
imati,zaimati,za,29631,130463,11,11
hrkati,zahrkati,za,74,74,11,11
hladiti,zahladiti,za,110,230,11,11
prostiti,uprostiti,u,149,166,11,11
tiskati,utiskati,u,115,230,11,11
vrdati,izvrdati,iz,14,14,10,11
rešetati,izrešetati,iz,9,18,10,10
tužiti,dotužiti,do,167,200,10,10
stajati,dostajati,do,6069,48949,10,10
brusiti,izbrusiti,iz,19,41,10,11
batinati,izbatinati,iz,54,54,10,10
tamniti,zatamniti,za,219,219,10,10
skičati,zaskičati,za,13,13,10,10
rediti,zarediti,za,20,200,10,10
peći,zapeći,za,313,1286,10,12
ogrtati,zaogrtati,za,11,11,10,10
odevati,zaodevati,za,59,118,10,10
žeći,sažeći,sa,36,108,10,10
strugati,sastrugati,sa,61,61,10,10
uveravati,razuveravati,raz,389,403,10,10
očaravati,razočaravati,raz,43,47,10,10
sedati,prosedati,pro,224,1346,10,10
plakati,proplakati,pro,1782,3579,10,10
birati,probirati,pro,474,3615,10,10
tkati,pritkati,pri,47,236,10,10
stavljati,ustavljati,u,934,5825,10,30
veriti,uzveriti,uz,100,401,10,10
beleti,zabeleti,za,57,59,10,10
duvati,zaduvati,za,387,1174,10,10
seći,podseći,pod,246,1970,10,12
domišljati,predomišljati,pre,16,16,10,10
čuti,prečuti,pre,10341,62563,10,11
meriti,primeriti,pri,155,1361,10,11
cvokotati,zacvokotati,za,91,92,10,10
glasati,nadglasati,nad,228,587,10,10
vrbovati,zavrbovati,za,18,21,10,10
močiti,namočiti,na,20,60,10,11
ganuti,uganuti,u,148,150,10,11
sititi,nasititi,na,18,36,10,11
mastiti,umastiti,u,67,145,10,10
prazniti,uprazniti,u,241,241,10,10
kolutati,zakolutati,za,62,63,10,10
kotrljati,zakotrljati,za,161,325,10,10
kreštati,zakreštati,za,47,47,10,10
mjeriti,zamjeriti,za,36,79,10,11
tovariti,pretovariti,pre,79,239,9,9
stavljati,prestavljati,pre,934,5825,9,12
krojiti,prekrojiti,pre,34,36,9,9
goniti,pregoniti,pre,484,3398,9,9
mekšati,razmekšati,raz,13,26,9,9
grabiti,razgrabiti,raz,199,998,9,9
krvariti,prokrvariti,pro,75,156,9,10
kisnuti,prokisnuti,pro,11,11,9,9
venčati,privenčati,pri,253,262,9,9
stavljati,pristavljati,pri,934,5825,9,9
mamiti,primamiti,pri,215,1076,9,10
daviti,pridaviti,pri,287,873,9,9
žvrljati,nažvrljati,na,8,9,9,9
turiti,uturiti,u,62,372,9,9
napredovati,uznapredovati,uz,313,487,9,11
vitlati,uzvitlati,uz,121,242,9,9
dimiti,zadimiti,za,88,88,9,9
sladiti,zasladiti,za,32,65,9,15
lagati,oblagati,ob,732,5866,9,13
škrgutati,zaškrgutati,za,30,30,9,9
reći,ureći,u,32340,196862,9,11
resiti,uresiti,u,25,26,9,9
okruživati,zaokruživati,za,307,344,9,24
koričiti,ukoričiti,u,8,8,9,9
oblačiti,naoblačiti,na,347,703,9,9
moliti,namoliti,na,2871,14368,9,9
micati,namicati,na,387,3097,9,9
beliti,nabeliti,na,28,85,9,9
deliti,izdeliti,iz,844,3603,9,9
vijati,obvijati,ob,60,722,9,9
skakutati,doskakutati,do,166,332,9,9
letati,odletati,od,5,60,9,11
sanjati,odsanjati,od,1217,1252,9,9
mlatiti,izmlatiti,iz,60,241,9,9
voziti,izvoziti,iz,857,4422,9,40
govoriti,podgovoriti,pod,13834,139978,9,9
mrdati,razmrdati,raz,101,104,9,11
žvakati,sažvakati,sa,251,253,9,9
vređati,izvređati,iz,286,305,9,9
napiti,podnapiti,pod,182,367,9,9
gutati,nagutati,na,368,738,9,9
mrviti,izmrviti,iz,72,72,9,9
uhvatiti,poduhvatiti,pod,2470,5019,9,15
pustiti,pripustiti,pri,2341,16513,8,8
čeprkati,pročeprkati,pro,63,63,8,8
graditi,razgraditi,raz,543,4169,8,13
lupati,razlupati,raz,397,795,8,8
ložiti,razložiti,raz,97,874,8,20
baviti,probaviti,pro,1006,7505,8,9
cijeniti,procijeniti,pro,33,43,8,15
goreti,progoreti,pro,551,4409,8,8
studirati,prostudirati,pro,219,350,8,10
prodati,preprodati,pre,602,1363,8,10
grnuti,prigrnuti,pri,8,40,8,8
pitati,pripitati,pri,6008,18292,8,8
vidati,zavidati,za,60,120,8,8
svetleti,zasvetleti,za,56,60,8,8
pištati,zapištati,za,53,106,8,8
piljiti,zapiljiti,za,205,410,8,8
pakovati,zapakovati,za,56,145,8,8
njištati,zanjištati,za,19,19,8,8
kovitlati,zakovitlati,za,51,51,8,8
jaukati,zajaukati,za,82,82,8,8
crtati,zacrtati,za,103,433,8,14
bleštiti,zableštiti,za,43,43,8,8
letiti,doletiti,do,598,4208,8,8
goniti,dogoniti,do,484,3398,8,8
šivati,ušivati,u,10,33,8,9
peći,prepeći,pre,313,1286,8,8
mašiti,premašiti,pre,215,861,8,50
kucati,prekucati,pre,329,1323,8,8
komandovati,prekomandovati,pre,98,111,8,8
secati,podsecati,pod,6,37,8,10
šmrknuti,ušmrknuti,u,15,15,8,8
vidati,izvidati,iz,60,120,8,8
rovati,izrovati,iz,16,48,8,8
opštiti,izopštiti,iz,30,90,8,8
učiti,odučiti,od,1173,8449,8,8
umirati,odumirati,od,510,1051,8,9
masirati,izmasirati,iz,50,56,8,8
turati,doturati,do,26,106,8,8
glancati,izglancati,iz,14,29,8,9
rubiti,obrubiti,ob,5,10,8,8
živeti,zaživeti,za,2266,17078,8,21
žmirkati,zažmirkati,za,149,149,8,8
rastati,dorastati,do,373,2258,8,8
vredeti,zavredeti,za,246,259,8,8
šeprtljati,ušeprtljati,u,12,12,8,8
vlažiti,navlažiti,na,29,31,8,14
vrteti,uzvrteti,uz,334,1014,8,8
đubriti,nađubriti,na,12,13,8,8
siriti,usiriti,u,150,156,8,8
trljati,natrljati,na,237,476,8,8
raniti,uraniti,u,285,575,8,16
vikati,navikati,na,2049,8201,8,8
militi,umiliti,u,41,41,8,8
krcati,nakrcati,na,8,16,8,8
kreveljiti,nakreveljiti,na,39,39,8,8
marširati,umarširati,u,56,69,8,8
igrati,nadigrati,nad,2814,20305,8,11
buljiti,izbuljiti,iz,83,84,7,7
žeći,zažeći,za,36,108,7,7
beliti,izbeliti,iz,28,85,7,7
prijeti,doprijeti,do,29,32,7,9
kvariti,ukvariti,u,183,187,7,7
sapunjati,nasapunjati,na,9,9,7,7
prskati,uprskati,u,60,62,7,7
računati,uračunati,u,456,2707,7,20
secati,usecati,u,6,37,7,7
zidati,nazidati,na,305,1223,7,7
sitniti,usitniti,u,20,21,7,10
smrdeti,usmrdeti,u,147,148,7,7
čitati,načitati,na,2974,9076,7,7
žuljati,nažuljati,na,20,21,7,7
trpati,utrpati,u,76,305,7,7
veseliti,uveseliti,u,254,509,7,7
mutiti,uzmutiti,uz,115,236,7,7
vinuti,uzvinuti,uz,83,83,7,7
cvrčati,zacvrčati,za,37,37,7,7
drmati,zadrmati,za,45,138,7,7
govoriti,zagovoriti,za,13834,139978,7,7
graditi,zagraditi,za,543,4169,7,7
metati,dometati,do,125,1376,7,7
jemčiti,zajemčiti,za,33,35,7,8
misliti,domisliti,do,11168,79097,7,15
kukurikati,zakukurikati,za,29,29,7,7
lelujati,zalelujati,za,79,79,7,8
penušati,zapenušati,za,8,8,7,7
pevušiti,zapevušiti,za,155,156,7,7
ređati,zaređati,za,155,315,7,7
senčiti,zasenčiti,za,13,13,7,7
igrati,obigrati,ob,2814,20305,7,7
kljukati,nakljukati,na,27,28,7,7
debljati,udebljati,u,10,10,7,7
jahati,ujahati,u,568,3976,7,7
rumeniti,narumeniti,na,99,200,7,7
birati,razbirati,raz,474,3615,7,7
šištati,prošištati,pro,33,33,7,7
češljati,pročešljati,pro,133,266,7,7
tutnjiti,protutnjiti,pro,55,111,7,7
secati,prosecati,pro,6,37,7,7
njuškati,pronjuškati,pro,60,61,7,7
nicati,pronicati,pro,178,363,7,7
mašati,promašati,pro,10,10,7,7
disati,prodisati,pro,784,3167,7,7
diskutovati,prodiskutovati,pro,35,147,7,11
cvrkutati,procvrkutati,pro,40,80,7,7
šivati,prišivati,pri,10,33,7,7
peći,pripeći,pri,313,1286,7,7
gledati,prigledati,pri,11256,135464,7,7
doći,pridoći,pri,11147,13489,7,7
dodavati,pridodavati,pri,604,1434,7,8
stupiti,prestupiti,pre,452,2866,7,7
sedati,presedati,pre,224,1346,7,9
platiti,preplatiti,pre,1147,3717,7,7
otimati,preotimati,pre,372,377,7,7
čitati,dočitati,do,2974,9076,7,7
riti,podriti,pod,75,300,7,10
buniti,podbuniti,pod,302,913,7,7
javiti,odjaviti,od,1382,8457,7,33
viđati,izviđati,iz,680,2756,7,7
uvijati,izuvijati,iz,157,316,7,7
riti,izriti,iz,75,300,7,7
puniti,sapuniti,sa,347,1415,7,8
gnjiti,sagnjiti,sa,16,16,7,7
videti,razvideti,raz,10954,78196,7,7
rovati,razrovati,raz,16,48,7,7
graničiti,razgraničiti,raz,49,70,7,9
uživati,oduživati,od,1503,3630,7,7
slikati,odslikati,od,236,726,7,7
skakutati,odskakutati,od,166,332,7,7
šunjati,došunjati,do,50,150,7,7
masakrirati,izmasakrirati,iz,8,9,7,7
momčiti,zamomčiti,za,78,78,6,6
lomiti,zalomiti,za,281,1693,6,7
maskirati,zamaskirati,za,29,32,6,10
brujati,zabrujati,za,39,40,6,7
brazditi,zabrazditi,za,19,19,6,6
kotrljati,dokotrljati,do,161,325,6,6
ličiti,zaličiti,za,2067,6252,6,6
kričati,zakričati,za,32,32,6,6
jamčiti,zajamčiti,za,39,61,6,10
groktati,zagroktati,za,8,8,6,6
graktati,zagraktati,za,26,26,6,6
opštiti,uopštiti,u,30,90,6,6
slijediti,naslijediti,na,23,118,6,10
kovrdžati,ukovrdžati,u,13,13,6,6
rezati,narezati,na,79,791,6,7
kiseliti,ukiseliti,u,19,20,6,6
razgovarati,narazgovarati,na,2930,3765,6,6
pjev,napjev,na,12,12,6,6
buđati,ubuđati,u,6,6,6,6
kačiti,nakačiti,na,46,139,6,6
goreti,nagoreti,na,551,4409,6,7
gnječiti,nagnječiti,na,81,164,6,6
štaviti,uštaviti,u,5,5,6,6
tovar,utovar,u,129,129,6,6
tapkati,utapkati,u,50,52,6,7
saglasiti,usaglasiti,u,49,188,6,32
predati,upredati,u,1154,2468,6,6
pajati,zapajati,za,7,14,6,6
posedati,zaposedati,za,64,64,6,8
prašiti,zaprašiti,za,7,9,6,6
redati,zaredati,za,412,825,6,6
svrbeti,zasvrbeti,za,30,30,6,6
uzdavati,zauzdavati,za,26,78,6,6
veslati,zaveslati,za,74,74,6,6
puzati,dopuzati,do,57,58,6,6
vijoriti,zavijoriti,za,74,74,6,6
zveckati,zazveckati,za,51,51,6,6
bičevati,izbičevati,iz,38,38,6,6
reći,doreći,do,32340,196862,6,6
raniti,obraniti,ob,285,575,6,7
drkati,izdrkati,iz,8,8,6,6
glasati,izglasati,iz,228,587,6,20
gnjaviti,izgnjaviti,iz,85,171,6,6
goniti,izgoniti,iz,484,3398,6,6
grnuti,odgrnuti,od,8,40,6,6
teći,doteći,do,826,5048,6,6
reagovati,odreagovati,od,232,468,6,9
živjeti,doživjeti,do,127,422,6,20
opijati,izopijati,iz,131,134,6,6
redati,izredati,iz,412,825,6,6
vedriti,izvedriti,iz,44,89,6,6
baciti,podbaciti,pod,2546,20423,6,7
jariti,podjariti,pod,16,32,6,6
gurati,pregurati,pre,620,4365,6,8
kaliti,prekaliti,pre,16,17,6,6
oblikovati,preoblikovati,pre,110,313,6,13
okretati,preokretati,pre,1538,3130,6,6
savijati,presavijati,pre,225,454,6,6
testerisati,pretesterisati,pre,7,7,6,6
uraniti,preuraniti,pre,8,16,6,6
uređivati,preuređivati,pre,98,284,6,6
dobijati,pridobijati,pri,755,2248,6,9
dolaziti,pridolaziti,pri,4696,10436,6,6
igrati,proigrati,pro,2814,20305,6,6
kazivati,prokazivati,pro,567,2838,6,6
pištati,propištati,pro,53,106,6,6
rešetati,prorešetati,pro,9,18,6,6
vodati,provodati,pro,19,19,6,6
šišati,prošišati,pro,39,83,6,6
živjeti,proživjeti,pro,127,422,6,7
juriti,razjuriti,raz,730,3664,6,6
listati,razlistati,raz,100,311,6,6
odevati,razodevati,raz,59,118,6,6
umiti,razumiti,raz,186,562,6,14
lomiti,salomiti,sa,281,1693,6,6
prezati,uprezati,u,48,99,5,5
skladištiti,uskladištiti,u,19,32,5,8
soliti,usoliti,u,41,43,5,5
tucati,utucati,u,48,96,5,5
gegati,dogegati,do,42,84,5,5
batrgati,zabatrgati,za,57,59,5,5
belasati,zabelasati,za,51,52,5,5
videti,provideti,pro,10954,78196,5,5
dužiti,razdužiti,raz,41,170,5,5
duvati,razduvati,raz,387,1174,5,5
rezati,razrezati,raz,79,791,5,5
mariti,samariti,sa,420,426,5,10
vonjati,zavonjati,za,55,55,5,5
zvrjati,zazvrjati,za,16,16,5,5
zoriti,zazoriti,za,71,71,5,5
šivati,zašivati,za,10,33,5,6
krpati,zakrpati,za,97,98,5,5
krvariti,zakrvariti,za,75,156,5,5
klatiti,zaklatiti,za,137,139,5,5
beliti,zabeliti,za,28,85,5,5
šuškati,zašuškati,za,68,136,5,5
drobiti,izdrobiti,iz,24,25,5,5
mamiti,odmamiti,od,215,1076,5,5
miti,izmiti,iz,346,1041,5,5
ložiti,podložiti,pod,97,874,5,5
rovati,podrovati,pod,16,48,5,5
defilovati,prodefilovati,pro,16,16,5,5
drmusati,prodrmusati,pro,51,51,5,5
zidati,dozidati,do,305,1223,5,5
nicati,iznicati,iz,178,363,5,5
varati,izvarati,iz,506,1026,5,5
lokati,podlokati,pod,40,96,5,5
fućkati,profućkati,pro,26,26,5,5
tutnjiti,zatutnjiti,za,55,111,5,5
toptati,zatoptati,za,7,7,5,5
svoditi,zasvoditi,za,169,220,5,5
mastiti,zamastiti,za,67,145,5,5
mrzeti,zamrzeti,za,850,856,5,5
pljuštati,zapljuštati,za,53,55,5,5
puštati,zapuštati,za,786,4759,5,5
tegliti,protegliti,pro,61,61,5,5
rezati,prorezati,pro,79,791,5,5
listati,prolistati,pro,100,311,5,6
knjižiti,proknjižiti,pro,24,27,5,6
vajati,podvajati,pod,15,45,5,5
vezati,podvezati,pod,1111,7803,5,5
voditi,podvoditi,pod,5046,56924,5,7
brisati,prebrisati,pre,492,1544,5,10
farbati,prefarbati,pre,18,22,5,6
grejati,pregrejati,pre,183,747,5,6
imenovati,preimenovati,pre,116,334,5,13
kapati,prekapati,pre,197,197,5,5
oblačiti,preoblačiti,pre,347,703,5,5
riti,preriti,pre,75,300,5,5
spojiti,prespojiti,pre,239,314,5,5
udesiti,preudesiti,pre,216,434,5,5
učiti,preučiti,pre,1173,8449,5,5
vaspitati,prevaspitati,pre,94,95,5,5
kucati,prikucati,pri,329,1323,5,6
skakati,priskakati,pri,509,2042,5,5
običavati,uobičavati,u,85,85,5,5
obručiti,uobručiti,u,6,6,5,5
pišati,upišati,u,75,76,5,5
pljuvati,upljuvati,u,131,132,5,5
bediti,nabediti,na,12,24,5,5
bubriti,nabubriti,na,24,24,5,9
lepiti,nalepiti,na,125,884,5,9
ljubiti,naljubiti,na,1005,5033,5,5
