base_verb,prefixed_verb,prefix,freq_base,freq_base,freq_prefixed,freq_prefixed
vladati,zavladati,za,920,3747,274,282
ključati,zaključati,za,93,188,273,289
viđati,uviđati,u,680,2756,273,288
šaputati,prošaputati,pro,703,707,273,273
ticati,uticati,u,1501,10978,272,1121
ćutati,zaćutati,za,1851,5553,272,274
micati,izmicati,iz,387,3097,270,275
dahnuti,udahnuti,u,22,88,269,277
nalaziti,pronalaziti,pro,4753,17813,268,345
raditi,zaraditi,za,7532,64503,268,324
širiti,proširiti,pro,1168,1331,268,488
sticati,podsticati,pod,217,402,267,468
tumačiti,protumačiti,pro,339,412,266,277
meriti,odmeriti,od,155,1361,265,271
radovati,obradovati,ob,433,526,264,299
brisati,izbrisati,iz,492,1544,263,335
graditi,sagraditi,sa,543,4169,255,301
pisati,zapisati,za,3704,26386,254,276
graditi,izgraditi,iz,543,4169,254,557
padati,upadati,u,2594,18264,252,260
šetati,prošetati,pro,805,2452,252,278
ljutiti,naljutiti,na,529,1076,252,256
videti,uvideti,u,10954,78196,251,285
zvoniti,zazvoniti,za,370,745,249,257
živeti,proživeti,pro,2266,17078,249,260
trčati,dotrčati,do,1327,7978,248,250
juriti,odjuriti,od,730,3664,247,247
služiti,zaslužiti,za,1740,5663,247,279
slediti,uslediti,u,771,2533,246,401
spraviti,uspraviti,u,33,33,244,246
voleti,izvoleti,iz,2369,7590,243,244
viti,saviti,sa,221,2431,242,487
sretati,susretati,su,362,778,242,367
ostajati,preostajati,pre,1983,6402,242,266
tiskati,pritiskati,pri,115,230,240,241
gledati,sagledati,sa,11256,135464,239,350
drhtati,zadrhtati,za,983,1966,239,241
videti,zavideti,za,10954,78196,237,238
beležiti,zabeležiti,za,288,988,236,343
micati,promicati,pro,387,3097,233,241
stupiti,nastupiti,na,452,2866,228,357
padati,napadati,na,2594,18264,226,248
pamtiti,upamtiti,u,745,1573,226,228
nuti,prenuti,pre,7,18,226,227
vijati,savijati,sa,60,722,225,454
gledati,razgledati,raz,11256,135464,225,238
stati,sastati,sa,4131,24927,225,547
disati,udisati,u,784,3167,224,241
uhvatiti,obuhvatiti,ob,2470,5019,223,392
tešiti,utešiti,u,192,195,223,224
oružati,naoružati,na,11,33,223,226
goniti,progoniti,pro,484,3398,222,229
blažiti,ublažiti,u,84,85,221,258
voditi,prevoditi,pre,5046,56924,219,258
izvoditi,proizvoditi,pro,344,949,219,597
mucati,promucati,pro,188,376,218,218
robiti,zarobiti,za,9,10,218,229
desiti,udesiti,u,2247,4832,216,434
desiti,zadesiti,za,2247,4832,216,239
umiti,naumiti,na,186,562,214,217
ticati,doticati,do,1501,10978,214,232
stajati,sastajati,sa,6069,48949,213,242
sećati,prisećati,pri,2475,7505,213,242
kloniti,zakloniti,za,68,344,212,212
micati,primicati,pri,387,3097,212,215
saditi,dosaditi,do,41,214,211,220
počinjati,započinjati,za,1996,2464,209,308
goniti,nagoniti,na,484,3398,208,209
gušiti,ugušiti,u,409,1239,207,216
rediti,prirediti,pri,20,200,207,255
slaviti,proslaviti,pro,392,510,205,297
metati,nametati,na,125,1376,205,287
puštati,propuštati,pro,786,4759,205,225
turati,preturati,pre,26,106,203,204
razumevati,podrazumevati,pod,154,161,202,807
pasti,zapasti,za,3900,19608,202,218
činiti,sačiniti,sa,8487,44291,202,245
roniti,izroniti,iz,41,169,201,205
sporiti,usporiti,u,35,42,201,232
vraćati,uzvraćati,uz,2954,9115,199,201
teći,proteći,pro,826,5048,199,294
