word,frequency
ресити,22
одморити,22
погађати,22
снаћи,22
растати,22
ценити,22
подигнути,22
одвајати,22
nekuda,22
noćas,22
проширити,22
зидати,22
погинути,22
страховито,22
умотати,22
успут,22
заправо,22
zbunjeno,22
саслушати,21
одлетети,21
постићи,21
намерно,21
искључиво,21
заплакати,21
извлачити,21
одлично,21
загрлити,21
испустити,21
увући,21
увидети,21
друкчије,21
смешити,21
таман,21
упућивати,21
љубазно,21
псовати,21
дерати,21
натерати,21
гушити,21
одиграти,21
прибрати,21
довршити,21
повикати,21
nestrpljivo,21
ozbiljno,21
nečujno,21
окруживати,21
тешити,21
odozgo,21
vešto,21
истовремено,20
разилазити,20
клатити,20
запазити,20
скупити,20
испадати,20
полагати,20
упалити,20
израдити,20
јурнути,20
отегнути,20
мрмљати,20
шчепати,20
сејати,20
обрадовати,20
кидати,20
зарадити,20
грлити,20
трести,20
претећи,20
заћутати,20
исплатити,20
развијати,20
ситно,20
унутра,20
састављати,20
освојити,20
обавестити,20
свеједно,20
склапати,20
појављивати,20
камоли,20
подаље,20
гинути,20
neprekidno,20
nemoguće,20
odatle,20
nekad,20
danju,20
odnekud,20
sinoć,20
snažno,20
сакупљати,20
увијек,20
тумачити,20
испети,20
отворено,20
прикривати,20
растурити,20
подједнако,20
одати,20
стрепити,20
вредети,20
ранити,20
gorko,20
uznemireno,20
дувати,19
честитати,19
забранити,19
искочити,19
располагати,19
помирити,19
узгред,19
поручити,19
планути,19
одобравати,19
откривати,19
скретати,19
описивати,19
потписати,19
победити,19
преместити,19
исправити,19
одавати,19
продирати,19
вечито,19
предлагати,19
кварити,19
умало,19
љутити,19
запамтити,19
штедети,19
унијети,19
неодољиво,19
ишчезавати,19
приближити,19
огледати,19
мрзити,19
удати,19
смислити,19
strogo,19
loše,19
večito,19
neobično,19
apsolutno,19
nežno,19
otprilike,19
napolju,19
лагано,19
довикивати,19
заносити,19
сагледати,19
нападати,19
огорчити,19
постепено,19
заштитити,19
pop,19
uglavnom,19
začuđeno,19
posebno,19
придржавати,18
укочити,18
узбуђивати,18
попреко,18
преселити,18
потрести,18
прекрити,18
закључати,18
певушити,18
