infinitive_latin,frequency,infinitive_latin_norm
неустрашиво,2,neustrašivo
заграбити,2,zagrabiti
истегнути,2,istegnuti
загњуривати,2,zagnjurivati
досећати,2,dosećati
зачешљати,2,začešljati
извиривати,2,izvirivati
испланирати,2,isplanirati
величанствено,2,veličanstveno
одвратно,2,odvratno
поплашити,2,poplašiti
невесело,2,neveselo
нацедити,2,nacediti
испродавати,2,isprodavati
докотрљати,2,dokotrljati
умиљавати,2,umiljavati
скљокати,2,skljokati
благотворно,2,blagotvorno
шврљати,2,švrljati
аљкаво,2,aljkavo
успињати,2,uspinjati
резервисати,2,rezervisati
доликовати,2,dolikovati
придавити,2,pridaviti
уметнички,2,umetnički
поштапати,2,poštapati
располутити,2,raspolutiti
избуљити,2,izbuljiti
клецати,2,klecati
измолити,2,izmoliti
живахнути,2,živahnuti
критички,2,kritički
поблесавити,2,poblesaviti
раздрагати,2,razdragati
надувати,2,naduvati
очврснути,2,očvrsnuti
трезнити,2,trezniti
почути,2,počuti
отећи,2,oteći
кресати,2,kresati
махнитати,2,mahnitati
раскомадати,2,raskomadati
израсти,2,izrasti
брбљати,2,brbljati
протегнути,2,protegnuti
отпуштати,2,otpuštati
дремнути,2,dremnuti
умрљати,2,umrljati
оријентисати,2,orijentisati
растрести,2,rastresti
јаукнути,2,jauknuti
омакнути,2,omaknuti
претопити,2,pretopiti
прострелити,2,prostreliti
uslovljavati,2,uslovljavati
potrzati,2,potrzati
aktivno,2,aktivno
goditi,2,goditi
sarađivati,2,sarađivati
tumačiti,2,tumačiti
sunčati,2,sunčati
žiti,2,žiti
danima,2,danima
rasuti,2,rasuti
prekorevati,2,prekorevati
ije,2,ije
spopasti,2,spopasti
zarđati,2,zarđati
valjano,2,valjano
ispoljavati,2,ispoljavati
slabiti,2,slabiti
izboriti,2,izboriti
zaceliti,2,zaceliti
prerađivati,2,prerađivati
razumno,2,razumno
putem,2,putem
oglašavati,2,oglašavati
spokojno,2,spokojno
ugaziti,2,ugaziti
utoliti,2,utoliti
odmotati,2,odmotati
obazreti,2,obazreti
pojiti,2,pojiti
suzdržavati,2,suzdržavati
priželjkivati,2,priželjkivati
odspavati,2,odspavati
lo,2,lo
mutno,2,mutno
raspremiti,2,raspremiti
otkopčavati,2,otkopčavati
neosporno,2,neosporno
matiti,2,matiti
cvet,2,cvet
ugađati,2,ugađati
neizmerno,2,neizmerno
srozati,2,srozati
uspavati,2,uspavati
obitavati,2,obitavati
kričati,2,kričati
preživljivati,2,preživljivati
donde,2,donde
dodijati,2,dodijati
piljiti,2,piljiti
naivno,2,naivno
očajno,2,očajno
zaljubiti,2,zaljubiti
ureći,2,ureći
kamo,2,kamo
olako,2,olako
kartati,2,kartati
proždirati,2,proždirati
prikrasti,2,prikrasti
ubuđati,2,ubuđati
poučavati,2,poučavati
proživjeti,2,proživjeti
ludovati,2,ludovati
usrećiti,2,usrećiti
šumiti,2,šumiti
pojačavati,2,pojačavati
podavati,2,podavati
zgodno,2,zgodno
ovamo-onati,2,ovamo-onati
darovito,2,darovito
nerado,2,nerado
naviknuti,2,naviknuti
raseći,2,raseći
uplatiti,2,uplatiti
upečatljivo,2,upečatljivo
on,2,on
zaključavati,2,zaključavati
saletati,2,saletati
zračiti,2,zračiti
pritrčavati,2,pritrčavati
obgrliti,2,obgrliti
nepogrešivo,2,nepogrešivo
urasti,2,urasti
sakrivati,2,sakrivati
гадати,2,gadati
мијешати,2,miješati
дворити,2,dvoriti
огулити,2,oguliti
скидошити,2,skidošiti
залуд,2,zalud
напријед,2,naprijed
достити,2,dostiti
разгртати,2,razgrtati
узмахивати,2,uzmahivati
висок,2,visok
остуденити,2,ostudeniti
лијево,2,lijevo
ти-ридати,2,ti-ridati
уситнити,2,usitniti
precvetati,2,precvetati
podjednako,2,podjednako
nabrati,2,nabrati
nevidljivo,2,nevidljivo
prećutkivati,2,prećutkivati
складно,2,skladno
озидати,2,ozidati
неразмрсиво,2,nerazmrsivo
прогурати,2,progurati
гнездти,2,gnezdti
рве,2,rve
тамновати,2,tamnovati
оканути,2,okanuti
сакати,2,sakati
сврставати,2,svrstavati
угостити,2,ugostiti
акшати,2,akšati
изнемогати,2,iznemogati
испреплести,2,ispreplesti
окисати,2,okisati
сакатити,2,sakatiti
јаукати,2,jaukati
дељати,2,deljati
преламати,2,prelamati
усељавати,2,useljavati
догледати,2,dogledati
глобити,2,globiti
испроваљивати,2,isprovaljivati
зепсти,2,zepsti
краћати,2,kraćati
срачунавати,2,sračunavati
самосвесно,2,samosvesno
како-тако,2,kako-tako
удивити,2,udiviti
сагласити,2,saglasiti
жалостиво,2,žalostivo
мумлати,2,mumlati
унижавати,2,unižavati
додворити,2,dodvoriti
испраскати,2,ispraskati
неопажено,2,neopaženo
прележати,2,preležati
кратити,2,kratiti
размрсити,2,razmrsiti
стражарити,2,stražariti
кроз,2,kroz
одспавати,2,odspavati
упрљати,2,uprljati
принесои,2,prinesoi
повраћати,2,povraćati
одухнути,2,oduhnuti
загасито,2,zagasito
уковати,2,ukovati
чудновато,2,čudnovato
набадати,2,nabadati
клекнути,2,kleknuti
забијати,2,zabijati
хладнети,2,hladneti
подадути,2,podaduti
дрмати,2,drmati
подупријети,2,poduprijeti
испршити,2,ispršiti
обамирати,2,obamirati
скапавати,2,skapavati
намаћи,2,namaći
зарицати,2,zaricati
простити,2,prostiti
чешкати,2,češkati
кривати,2,krivati
најпослије,2,najposlije
вити,2,viti
пркосити,2,prkositi
присвојити,2,prisvojiti
намакнути,2,namaknuti
одливати,2,odlivati
сужавати,2,sužavati
издевати,2,izdevati
подигосити,2,podigositi
огорчено,2,ogorčeno
ишибати,2,išibati
находати,2,nahodati
наслушати,2,naslušati
утабати,2,utabati
пресахнути,2,presahnuti
задочнити,2,zadočniti
огрести,2,ogresti
гнездити,2,gnezditi
приженити,2,priženiti
раздужити,2,razdužiti
отпочеш,2,otpočeš
пресушити,2,presušiti
грезнути,2,greznuti
хоџати,2,hodžati
запушити,2,zapušiti
доплавити,2,doplaviti
помрачити,2,pomračiti
тлачити,2,tlačiti
разумно,2,razumno
васкрсавати,2,vaskrsavati
важно,2,važno
појависати,2,pojavisati
натицати,2,naticati
сапрати,2,saprati
ужљебити,2,užljebiti
немити,2,nemiti
оталити,2,otaliti
саучесно,2,saučesno
отрати,2,otrati
окадити,2,okaditi
освештати,2,osveštati
углачати,2,uglačati
налактити,2,nalaktiti
спузнути,2,spuznuti
загушити,2,zagušiti
набрекнути,2,nabreknuti
поудати,2,poudati
закикотати,2,zakikotati
обесхрабривати,2,obeshrabrivati
зарећи,2,zareći
окрилатити,2,okrilatiti
зарати,2,zarati
изучити,2,izučiti
отанчати,2,otančati
изметнути,2,izmetnuti
тронуто,2,tronuto
неумитно,2,neumitno
неувијено,2,neuvijeno
сажално,2,sažalno
потржати,2,potržati
заглављивати,2,zaglavljivati
црпети,2,crpeti
разбећи,2,razbeći
изумрети,2,izumreti
оштетисати,2,oštetisati
поткивати,2,potkivati
трунути,2,trunuti
разоружавати,2,razoružavati
слетјети,2,sletjeti
врцати,2,vrcati
затурити,2,zaturiti
накриво,2,nakrivo
рапортирати,2,raportirati
заблеснути,2,zablesnuti
жуто,2,žuto
обелоданити,2,obelodaniti
нагристи,2,nagristi
поседити,2,posediti
закрпити,2,zakrpiti
иструлети,2,istruleti
мученички,2,mučenički
пређости,2,pređosti
усталисати,2,ustalisati
прострујати,2,prostrujati
начути,2,načuti
светковати,2,svetkovati
ишчачкати,2,iščačkati
шумети,2,šumeti
узмути,2,uzmuti
замести,2,zamesti
кречити,2,krečiti
хујити,2,hujiti
чедно,2,čedno
непрописно,2,nepropisno
уздрхтати,2,uzdrhtati
насмејано,2,nasmejano
надмудривати,2,nadmudrivati
подређивати,2,podređivati
изненадно,2,iznenadno
зимовати,2,zimovati
заплести,2,zaplesti
хајдуковати,2,hajdukovati
бризнути,2,briznuti
ојадити,2,ojaditi
ухранити,2,uhraniti
расплитати,2,rasplitati
одједанпут,2,odjedanput
званично,2,zvanično
отписати,2,otpisati
искоришћивати,2,iskorišćivati
ђе,2,đe
ђаволски,2,đavolski
задобити,2,zadobiti
скитати,2,skitati
заговарати,2,zagovarati
полупати,2,polupati
нажалост,2,nažalost
загасити,2,zagasiti
тобожити,2,tobožiti
огријати,2,ogrijati
лудовати,2,ludovati
заглушивати,2,zaglušivati
разметати,2,razmetati
крилати,2,krilati
исплакати,2,isplakati
побјећи,2,pobjeći
подговорити,2,podgovoriti
душмански,2,dušmanski
испребијати,2,isprebijati
спомињати,2,spominjati
изјести,2,izjesti
притворити,2,pritvoriti
напрсти,2,naprsti
џаба,2,džaba
издобрити,2,izdobriti
дијелити,2,dijeliti
опоганити,2,opoganiti
исмејати,2,ismejati
фотографисати,2,fotografisati
одвлачити,2,odvlačiti
довлачити,2,dovlačiti
возати,2,vozati
заграјати,2,zagrajati
унапријед,2,unaprijed
изгладити,2,izgladiti
навијати,2,navijati
похлепно,2,pohlepno
одмерати,2,odmerati
доброћудно,2,dobroćudno
напречац,2,naprečac
прокоцкати,2,prokockati
снажити,2,snažiti
изоштрити,2,izoštriti
анализирати,2,analizirati
рјешавати,2,rješavati
зачусити,2,začusiti
правно,2,pravno
мијењати,2,mijenjati
засјати,2,zasjati
тријумфовати,2,trijumfovati
пренушити,2,prenušiti
помрсити,2,pomrsiti
увјеравати,2,uvjeravati
раздражити,2,razdražiti
заувијек,2,zauvijek
несразмјерно,2,nesrazmjerno
залудити,2,zaluditi
укаљати,2,ukaljati
презрети,2,prezreti
преградити,2,pregraditi
поудавати,2,poudavati
својски,2,svojski
посити,2,positi
валати,2,valati
окопавати,2,okopavati
требити,2,trebiti
ознојити,2,oznojiti
гранати,2,granati
растрзати,2,rastrzati
прећутно,2,prećutno
преображавати,2,preobražavati
оличавати,2,oličavati
круто,2,kruto
натрпати,2,natrpati
сединити,2,sediniti
обређивати,2,obređivati
пребродити,2,prebroditi
прштати,2,prštati
опкорачивати,2,opkoračivati
изиграти,2,izigrati
полетести,2,poletesti
загонетно,2,zagonetno
поодавно,2,poodavno
узбрдо,2,uzbrdo
разгаљивати,2,razgaljivati
укарарити,2,ukarariti
издисати,2,izdisati
mimoići,2,mimoići
zamrsiti,2,zamrsiti
zbacivati,2,zbacivati
svoditi,2,svoditi
opširno,2,opširno
публиковати,2,publikovati
уцртати,2,ucrtati
гњечити,2,gnječiti
разгоропадити,2,razgoropaditi
полемисати,2,polemisati
размењивати,2,razmenjivati
неизбежно,2,neizbežno
наново,2,nanovo
могућно,2,mogućno
реконструисати,2,rekonstruisati
преостајати,2,preostajati
лаћати,2,laćati
олабавити,2,olabaviti
окајати,2,okajati
упртити,2,uprtiti
истодобно,2,istodobno
војнички,2,vojnički
додељивати,2,dodeljivati
хитнути,2,hitnuti
одјездити,2,odjezditi
запечати,2,zapečati
залетети,2,zaleteti
препознадити,2,prepoznaditi
занемозити,2,zanemoziti
одстојати,2,odstojati
засејати,2,zasejati
наравнити,2,naravniti
изљубити,2,izljubiti
истрезнити,2,istrezniti
разрушити,2,razrušiti
обманути,2,obmanuti
препасти,2,prepasti
побезати,2,pobezati
штогод,2,štogod
заклапати,2,zaklapati
придодати,2,pridodati
обрачунати,2,obračunati
прикључити,2,priključiti
примисати,2,primisati
зачуђено,2,začuđeno
буктати,2,buktati
узвикан,2,uzvikan
пробирати,2,probirati
цимати,2,cimati
мастити,2,mastiti
равноправно,2,ravnopravno
потпадати,2,potpadati
бекнути,2,beknuti
удворити,2,udvoriti
преокренути,2,preokrenuti
поништити,2,poništiti
сит,2,sit
ословљавати,2,oslovljavati
освањивати,2,osvanjivati
упловити,2,uploviti
утркивати,2,utrkivati
постадошити,2,postadošiti
одрезати,2,odrezati
зацељивати,2,zaceljivati
изучавати,2,izučavati
нацртати,2,nacrtati
претицати,2,preticati
жуљити,2,žuljiti
похвално,2,pohvalno
оћелавити,2,oćelaviti
трулити,2,truliti
пазарити,2,pazariti
зазорјети,2,zazorjeti
посејати,2,posejati
пожети,2,požeti
пресвлачити,2,presvlačiti
испилити,2,ispiliti
склупчати,2,sklupčati
припустити,2,pripustiti
практично,2,praktično
незаинтересовано,2,nezainteresovano
задевати,2,zadevati
проходати,2,prohodati
раскопати,2,raskopati
изгнати,2,izgnati
скотурати,2,skoturati
одлутати,2,odlutati
надлетати,2,nadletati
изделити,2,izdeliti
одрицати,2,odricati
обитавати,2,obitavati
именовати,2,imenovati
обиснути,2,obisnuti
исковати,2,iskovati
струнати,2,strunati
заридати,2,zaridati
достигнути,2,dostignuti
потплаћивати,2,potplaćivati
прогледати,2,progledati
сневати,2,snevati
удруживати,2,udruživati
расплодити,2,rasploditi
пречити,2,prečiti
улучити,2,ulučiti
кретошити,2,kretošiti
дрешати,2,drešati
размотати,2,razmotati
разјапити,2,razjapiti
докторирати,2,doktorirati
лакати,2,lakati
пролепшати,2,prolepšati
наспавати,2,naspavati
гнушати,2,gnušati
расањивати,2,rasanjivati
белити,2,beliti
уронити,2,uroniti
опаметити,2,opametiti
упирати,2,upirati
поганити,2,poganiti
пресудити,2,presuditi
отцепити,2,otcepiti
прикупљати,2,prikupljati
прерадити,2,preraditi
симболисати,2,simbolisati
ушетати,2,ušetati
кривити,2,kriviti
загорчати,2,zagorčati
даждети,2,daždeti
клесати,2,klesati
стопити,2,stopiti
практиковати,2,praktikovati
загристи,2,zagristi
ујесен,2,ujesen
остало,2,ostalo
јужно,2,južno
тарати,2,tarati
аречитати,2,arečitati
шиљати,2,šiljati
штавише,2,štaviše
набирати,2,nabirati
халапљиво,2,halapljivo
привати,2,privati
рашанити,2,rašaniti
прибисати,2,pribisati
запечатити,2,zapečatiti
лињати,2,linjati
срестати,2,srestati
свидјети,2,svidjeti
сјурити,2,sjuriti
проживјети,2,proživjeti
здробити,2,zdrobiti
пастити,2,pastiti
ништа,2,ništa
извидати,2,izvidati
подмићивати,2,podmićivati
прекоревати,2,prekorevati
дипломирати,2,diplomirati
коракнути,2,koraknuti
устребати,2,ustrebati
примирити,2,primiriti
претрести,2,pretresti
коврџати,2,kovrdžati
левати,2,levati
тамно,2,tamno
обручити,2,obručiti
утажити,2,utažiti
испљувати,2,ispljuvati
развидети,2,razvideti
павити,2,paviti
заледити,2,zalediti
стадосмити,2,stadosmiti
потрбушке,2,potrbuške
оплакивати,2,oplakivati
оћутао,2,oćutao
кретосмити,2,kretosmiti
стигати,2,stigati
другде,2,drugde
учестати,2,učestati
некажњено,2,nekažnjeno
приопштити,2,priopštiti
терорисати,2,terorisati
претегнути,2,pretegnuti
niklovati,2,niklovati
obarati,2,obarati
potcenjivati,2,potcenjivati
ostvarivati,2,ostvarivati
izdržavati,2,izdržavati
pridobijati,2,pridobijati
poštediti,2,poštediti
izjednačivati,2,izjednačivati
raskidati,2,raskidati
vanredno,2,vanredno
dopunjavati,2,dopunjavati
osetisati,2,osetisati
sužavati,2,sužavati
podešavati,2,podešavati
započiti,2,započiti
odricati,2,odricati
zaključivati,2,zaključivati
прежалити,2,prežaliti
једав,2,jedav
миран,2,miran
смео,2,smeo
заустависати,2,zaustavisati
подстаћи,2,podstaći
зрети,2,zreti
сажети,2,sažeti
чула,2,čula
доцнија,2,docnija
стојећи,2,stojeći
непоштедно,2,nepoštedno
урећи,2,ureći
поуздати,2,pouzdati
блиско,2,blisko
новусти,2,novusti
razduvavati,2,razduvavati
leti,2,leti
isuviše,2,isuviše
maltretirati,2,maltretirati
šetkati,2,šetkati
slepo,2,slepo
olaziti,2,olaziti
gladiti,2,gladiti
sanjariti,2,sanjariti
neznano,2,neznano
strašiti,2,strašiti
dočuti,2,dočuti
linuti,2,linuti
setisati,2,setisati
odobrovoljiti,2,odobrovoljiti
поумира,2,poumira
зрело,2,zrelo
озловољити,2,ozlovoljiti
zloupotrebiti,2,zloupotrebiti
sablažnjavati,2,sablažnjavati
dočepati,2,dočepati
oblizivati,2,oblizivati
свагда,2,svagda
омирисати,2,omirisati
призвати,2,prizvati
čunjati,2,čunjati
сажаљевати,2,sažaljevati
седосмити,2,sedosmiti
bodriti,2,bodriti
рђати,2,rđati
izmetnuti,2,izmetnuti
наимати,2,naimati
посљети,2,posljeti
naizgled,2,naizgled
поносито,2,ponosito
zapovedati,2,zapovedati
naglavačke,2,naglavačke
ponadati,2,ponadati
kasati,2,kasati
mudro,2,mudro
poravnati,2,poravnati
вали,2,vali
zapadati,2,zapadati
prepuštati,2,prepuštati
uzmicati,2,uzmicati
упрети,2,upreti
ogrejati,2,ogrejati
кружно,2,kružno
srknuti,2,srknuti
kljucati,2,kljucati
odgonetnuti,2,odgonetnuti
cenjkati,2,cenjkati
гладовати,2,gladovati
takoreći,2,takoreći
црнети,2,crneti
zamrznuti,2,zamrznuti
lenjo,2,lenjo
prišivati,2,prišivati
zabraditi,2,zabraditi
namotavati,2,namotavati
radoznati,2,radoznati
тртљати,2,trtljati
izravnati,2,izravnati
ćušnuti,2,ćušnuti
вабити,2,vabiti
отмено,2,otmeno
stojati,2,stojati
умолити,2,umoliti
šiti,2,šiti
isprašiti,2,isprašiti
motati,2,motati
наспело,2,naspelo
probušiti,2,probušiti
obučavati,2,obučavati
vežbati,2,vežbati
пленити,2,pleniti
otrpiti,2,otrpiti
narugati,2,narugati
закољати,2,zakoljati
испсовати,2,ispsovati
ispsovati,2,ispsovati
закти,2,zakti
pokolebati,2,pokolebati
blagoizvoleti,2,blagoizvoleti
избрбљати,2,izbrbljati
prividno,2,prividno
izbrbljati,2,izbrbljati
gatati,2,gatati
uklapati,2,uklapati
oprobati,2,oprobati
банути,2,banuti
опколишити,2,opkolišiti
потказивати,2,potkazivati
ispipati,2,ispipati
klevetati,2,klevetati
gadno,2,gadno
утегнути,2,utegnuti
ustreptati,2,ustreptati
prožeti,2,prožeti
отржати,2,otržati
причувати,2,pričuvati
ganuti,2,ganuti
zlopamtiti,2,zlopamtiti
nepristojno,2,nepristojno
grozno,2,grozno
ospodati,2,ospodati
napasati,2,napasati
трескати,2,treskati
bacakati,2,bacakati
zaustavisati,2,zaustavisati
venčati,2,venčati
речити,2,rečiti
корити,2,koriti
zamerati,2,zamerati
uočiti,2,uočiti
poludjeti,2,poludjeti
naseliti,2,naseliti
odsutno,2,odsutno
naspelo,2,naspelo
presedeti,2,presedeti
тајити,2,tajiti
запажати,2,zapažati
pokrstiti,2,pokrstiti
sazvati,2,sazvati
исколачити,2,iskolačiti
зверати,2,zverati
osvajati,2,osvajati
позлити,2,pozliti
islužiti,2,islužiti
ravno,2,ravno
nadahnuti,2,nadahnuti
gromko,2,gromko
okupisati,2,okupisati
dogovarati,2,dogovarati
izgubisati,2,izgubisati
stegati,2,stegati
usplamteti,2,usplamteti
буљати,2,buljati
iscepati,2,iscepati
збогити,2,zbogiti
zbogati,2,zbogati
досути,2,dosuti
razleći,2,razleći
hrabriti,2,hrabriti
utihnuti,2,utihnuti
namaći,2,namaći
poturiti,2,poturiti
врисни,2,vrisni
наврат-нанос,2,navrat-nanos
зајечати,2,zaječati
занемогати,2,zanemogati
častiti,2,častiti
donekle,2,donekle
obuzdavati,2,obuzdavati
pljačkati,2,pljačkati
зечјити,2,zečjiti
парити,2,pariti
pariti,2,pariti
спорити,2,sporiti
језиво,2,jezivo
доконати,2,dokonati
редом,2,redom
бејати,2,bejati
zapeti,2,zapeti
шкиљити,2,škiljiti
копрчнути,2,koprčnuti
mrgodno,2,mrgodno
надох,2,nadoh
razbacivati,2,razbacivati
gromoglasno,2,gromoglasno
omaknuti,2,omaknuti
sevnušiti,2,sevnušiti
pokrasti,2,pokrasti
rositi,2,rositi
blagodariti,2,blagodariti
нештати,2,neštati
pojahati,2,pojahati
заувар,2,zauvar
ogoliti,2,ogoliti
rezati,2,rezati
okušati,2,okušati
istresti,2,istresti
međusobno,2,međusobno
sašaptavati,2,sašaptavati
bezbedno,2,bezbedno
udesetostručiti,2,udesetostručiti
pretrpeti,2,pretrpeti
uspešno,2,uspešno
iznuriti,2,iznuriti
nasrnuti,2,nasrnuti
kliknuti,2,kliknuti
doturiti,2,doturiti
izbezumljeno,2,izbezumljeno
sinuti,2,sinuti
разрачунавати,2,razračunavati
projahati,2,projahati
pobedonosno,2,pobedonosno
uzverati,2,uzverati
sivati,2,sivati
oblepiti,2,oblepiti
вредати,2,vredati
вред,2,vred
потпалити,2,potpaliti
утакати,2,utakati
suprotstaviti,2,suprotstaviti
njuško,2,njuško
поиграти,2,poigrati
оспорити,2,osporiti
iskupiti,2,iskupiti
kljuvati,2,kljuvati
kljunuti,2,kljunuti
stigositi,2,stigositi
неповерљиво,2,nepoverljivo
изнебухати,2,iznebuhati
priskočiti,2,priskočiti
осетисати,2,osetisati
naškrabati,2,naškrabati
кадгод,2,kadgod
надиграти,2,nadigrati
baktati,2,baktati
razgaliti,2,razgaliti
ујединити,2,ujediniti
razjuriti,2,razjuriti
stisliti,2,stisliti
отпоћи,2,otpoći
осорно,2,osorno
poveravati,2,poveravati
uplesti,2,uplesti
zazvečati,2,zazvečati
javno,2,javno
opovrgnuti,2,opovrgnuti
pakosno,2,pakosno
prigrliti,2,prigrliti
изливати,2,izlivati
испливати,2,isplivati
isploviti,2,isploviti
plahovito,2,plahovito
uplitati,2,uplitati
užurbati,2,užurbati
uklonisati,2,uklonisati
pripisivati,2,pripisivati
radoznao,2,radoznao
pretendovati,2,pretendovati
nabrajati,2,nabrajati
iznenađivati,2,iznenađivati
neizbežno,2,neizbežno
naširoko,2,naširoko
zbližavati,2,zbližavati
ograđivati,2,ograđivati
prebiti,2,prebiti
ispucati,2,ispucati
vrpoljiti,2,vrpoljiti
nesebično,2,nesebično
podsmehnuti,2,podsmehnuti
naglašavati,2,naglašavati
zastupiti,2,zastupiti
proletos,2,proletos
nebitno,2,nebitno
konsultovati,2,konsultovati
socijalno,2,socijalno
kapirati,2,kapirati
podrazumevati,2,podrazumevati
izujedati,2,izujedati
zaraziti,2,zaraziti
praktično,2,praktično
proticati,2,proticati
porađati,2,porađati
konspirativno,2,konspirativno
izuti,2,izuti
koncentrisati,2,koncentrisati
bataliti,2,bataliti
zatrudneti,2,zatrudneti
primamljivo,2,primamljivo
kulturno,2,kulturno
otklopiti,2,otklopiti
fino,2,fino
ponosno,2,ponosno
uživo,2,uživo
razmatrati,2,razmatrati
figurativno,2,figurativno
ugojiti,2,ugojiti
istraživati,2,istraživati
asocirati,2,asocirati
naizmenično,2,naizmenično
razbrbljati,2,razbrbljati
miroljubivo,2,miroljubivo
delikatno,2,delikatno
odškrinuti,2,odškrinuti
odosmi,2,odosmi
slikovito,2,slikovito
izmusti,2,izmusti
zlurado,2,zlurado
prostodušno,2,prostodušno
progoniti,2,progoniti
iznervirati,2,iznervirati
intimno,2,intimno
zaploviti,2,zaploviti
osmisliti,2,osmisliti
rezimirati,2,rezimirati
ispoljiti,2,ispoljiti
izjednačiti,2,izjednačiti
otkloniti,2,otkloniti
ovlaš,2,ovlaš
zašiti,2,zašiti
pištati,2,pištati
raspeti,2,raspeti
zacrveneti,2,zacrveneti
umilno,2,umilno
konverzirati,2,konverzirati
našati,2,našati
pljusnuti,2,pljusnuti
nepravilno,2,nepravilno
optrčati,2,optrčati
adekvatno,2,adekvatno
dosezati,2,dosezati
došapnuti,2,došapnuti
ovekovečiti,2,ovekovečiti
oćutao,2,oćutao
setno,2,setno
žuteti,2,žuteti
namakati,2,namakati
obrezati,2,obrezati
beć,2,beć
poslovno,2,poslovno
izdizati,2,izdizati
poticati,2,poticati
kritikovati,2,kritikovati
neustrašivo,2,neustrašivo
pretući,2,pretući
citirati,2,citirati
trezveno,2,trezveno
pobuditi,2,pobuditi
puknuti,2,puknuti
prostiti,2,prostiti
kositi,2,kositi
izvajati,2,izvajati
umiljato,2,umiljato
dresirati,2,dresirati
izobličiti,2,izobličiti
uzdihati,2,uzdihati
izdvajati,2,izdvajati
jeftino,2,jeftino
kitnjasto,2,kitnjasto
saslušavati,2,saslušavati
raskopčati,2,raskopčati
iznajmljivati,2,iznajmljivati
ispravno,2,ispravno
sputavati,2,sputavati
crknuti,2,crknuti
maglovito,2,maglovito
krasiti,2,krasiti
pozabaviti,2,pozabaviti
ukošo,2,ukošo
posediti,2,posediti
razvezivati,2,razvezivati
bledo,2,bledo
blijedo,2,blijedo
prostirati,2,prostirati
zakočiti,2,zakočiti
golicati,2,golicati
dopuniti,2,dopuniti
navijati,2,navijati
udubiti,2,udubiti
jadati,2,jadati
dogurati,2,dogurati
posluživati,2,posluživati
pohranjivati,2,pohranjivati
ukvasiti,2,ukvasiti
odbraviti,2,odbraviti
namirisati,2,namirisati
odbrusiti,2,odbrusiti
otkasati,2,otkasati
vejao,2,vejao
raskošno,2,raskošno
rasprodati,2,rasprodati
odličiti,2,odličiti
unekoliko,2,unekoliko
skidoh,2,skidoh
izračunati,2,izračunati
useljavati,2,useljavati
zavrtati,2,zavrtati
lepiti,2,lepiti
jednovremeno,2,jednovremeno
curiti,2,curiti
iti,2,iti
ostarjeti,2,ostarjeti
izbrijeti,2,izbrijeti
izbrojati,2,izbrojati
svejednako,2,svejednako
izazov,2,izazov
nastojati,2,nastojati
iščezavati,2,iščezavati
uredno,2,uredno
kušati,2,kušati
spraviti,2,spraviti
poderati,2,poderati
narezati,2,narezati
dvoumiti,2,dvoumiti
zagristi,2,zagristi
oštetiti,2,oštetiti
krvariti,2,krvariti
nikud,2,nikud
zagaziti,2,zagaziti
vaskrsavati,2,vaskrsavati
obratno,2,obratno
više-manje,2,više-manje
naručivati,2,naručivati
usrdno,2,usrdno
etruščiti,2,etruščiti
zareći,2,zareći
ubacivati,2,ubacivati
letimično,2,letimično
pogotovu,2,pogotovu
opčiniti,2,opčiniti
naslediti,2,naslediti
lizati,2,lizati
glačati,2,glačati
preoteti,2,preoteti
liti,2,liti
odgajiti,2,odgajiti
poodrasti,2,poodrasti
važno,2,važno
prebroditi,2,prebroditi
vračati,2,vračati
iscediti,2,iscediti
lunjati,2,lunjati
začudo,2,začudo
oploditi,2,oploditi
ukrug,2,ukrug
ukrcati,2,ukrcati
pokuljati,2,pokuljati
izdahnuti,2,izdahnuti
obrnuti,2,obrnuti
mukati,2,mukati
kaliti,2,kaliti
izvrtati,2,izvrtati
crnookog,2,crnookog
izmoliti,2,izmoliti
kav,2,kav
namah,2,namah
masli,2,masli
osramotiti,2,osramotiti
raspoznati,2,raspoznati
osloviti,2,osloviti
otirati,2,otirati
znojiti,2,znojiti
zaplesti,2,zaplesti
razduvati,2,razduvati
izgrditi,2,izgrditi
pribojavati,2,pribojavati
izučiti,2,izučiti
izdevetati,2,izdevetati
dupke,2,dupke
prikupljati,2,prikupljati
obuzešati,2,obuzešati
izudarati,2,izudarati
planuti,2,planuti
donesti,2,donesti
podati,2,podati
dovršavati,2,dovršavati
odvrnuti,2,odvrnuti
potkradati,2,potkradati
korakan,2,korakan
domileti,2,domileti
željno,2,željno
stašiti,2,stašiti
isprečiti,2,isprečiti
zatopotasiti,2,zatopotasiti
halapljivo,2,halapljivo
opraviti,2,opraviti
neizostavno,2,neizostavno
rekvirirati,2,rekvirirati
uzjahivati,2,uzjahivati
raspustiti,2,raspustiti
gordo,2,gordo
sitno,2,sitno
uznemirivati,2,uznemirivati
prosvirati,2,prosvirati
uskomešati,2,uskomešati
poodavno,2,poodavno
osmeliti,2,osmeliti
zabranjivati,2,zabranjivati
srati,2,srati
razletjeti,2,razletjeti
igda,2,igda
potstaknuti,2,potstaknuti
larmati,2,larmati
poplašiti,2,poplašiti
njihalati,2,njihalati
neuljudno,2,neuljudno
bezumno,2,bezumno
prenemagati,2,prenemagati
kudikamo,2,kudikamo
zametnuti,2,zametnuti
razjariti,2,razjariti
navisati,2,navisati
zakuvati,2,zakuvati
kivno,2,kivno
tobož,2,tobož
poslušno,2,poslušno
