word,frequency,comment
neočekivano,137,не похоже на глагол
завршити,136,не похоже на глагол
веома,135,не похоже на глагол
прићи,134,не похоже на глагол
ujutru,133,не похоже на глагол
ноћу,132,не похоже на глагол
ухватити,132,не похоже на глагол
blizu,131,не похоже на глагол
предати,130,не похоже на глагол
бранити,130,не похоже на глагол
verovatno,130,не похоже на глагол
појавити,129,не похоже на глагол
prosto,129,не похоже на глагол
једва,128,не похоже на глагол
сањати,128,не похоже на глагол
зауставити,128,не похоже на глагол
познавати,128,не похоже на глагол
прочитати,127,не похоже на глагол
otkud,127,не похоже на глагол
показивати,126,не похоже на глагол
дешавати,126,не похоже на глагол
после,126,не похоже на глагол
понекад,126,не похоже на глагол
очекивати,126,не похоже на глагол
ukratko,126,не похоже на глагол
пролазити,124,не похоже на глагол
жељети,123,не похоже на глагол
odlično,123,не похоже на глагол
nigde,123,не похоже на глагол
lagano,123,не похоже на глагол
успети,122,не похоже на глагол
ваљати,122,не похоже на глагол
седити,121,не похоже на глагол
јављати,121,не похоже на глагол
сазнати,121,не похоже на глагол
slučajno,121,не похоже на глагол
једино,120,не похоже на глагол
дубоко,120,не похоже на глагол
узимати,120,не похоже на глагол
умријети,119,не похоже на глагол
мучити,119,не похоже на глагол
обично,118,не похоже на глагол
сећати,117,не похоже на глагол
личити,117,не похоже на глагол
unapred,117,не похоже на глагол
сетити,116,не похоже на глагол
наравно,116,не похоже на глагол
трајати,116,не похоже на глагол
довести,116,не похоже на глагол
заувек,116,не похоже на глагол
отварати,115,не похоже на глагол
учити,115,не похоже на глагол
ударити,114,не похоже на глагол
тврдити,114,не похоже на глагол
наредити,113,не похоже на глагол
retko,113,не похоже на глагол
пола,112,не похоже на глагол
излазити,112,не похоже на глагол
јавити,112,не похоже на глагол
кретати,112,не похоже на глагол
окретати,112,не похоже на глагол
ljutito,112,не похоже на глагол
veselo,112,не похоже на глагол
desno,112,не похоже на глагол
сести,111,не похоже на глагол
некако,111,не похоже на глагол
родити,110,не похоже на глагол
угледати,110,не похоже на глагол
valjda,110,не похоже на глагол
neprestano,109,не похоже на глагол
davno,109,не похоже на глагол
хватати,108,не похоже на глагол
заборављати,108,не похоже на глагол
strašno,108,не похоже на глагол
бојати,107,не похоже на глагол
спремати,107,не похоже на глагол
јасно,107,не похоже на глагол
prilično,107,не похоже на глагол
odista,107,не похоже на глагол
викнути,106,не похоже на глагол
припадати,106,не похоже на глагол
ћутати,106,не похоже на глагол
постајати,106,не похоже на глагол
dovoljno,106,не похоже на глагол
око,105,не похоже на глагол
najpre,105,не похоже на глагол
beh,105,не похоже на глагол
затворити,104,не похоже на глагол
тећи,103,не похоже на глагол
пажљиво,103,не похоже на глагол
упутити,103,не похоже на глагол
бежати,103,не похоже на глагол
сутра,103,не похоже на глагол
dotle,103,не похоже на глагол
тихо,102,не похоже на глагол
прелазити,102,не похоже на глагол
пуштати,102,не похоже на глагол
ćutke,102,не похоже на глагол
подићи,101,не похоже на глагол
napolju,101,не похоже на глагол
полако,100,не похоже на глагол
мирно,100,не похоже на глагол
смести,100,не похоже на глагол
sporo,100,не похоже на глагол
levo,100,не похоже на глагол
провести,99,не похоже на глагол
бацати,99,не похоже на глагол
када,99,не похоже на глагол
објаснити,99,не похоже на глагол
наићи,99,не похоже на глагол
узалуд,99,не похоже на глагол
пробудити,98,не похоже на глагол
врло,98,не похоже на глагол
нагло,98,не похоже на глагол
повући,98,не похоже на глагол
сувише,98,не похоже на глагол
neobično,98,не похоже на глагол
oštro,98,не похоже на глагол
спустити,97,не похоже на глагол
доносити,97,не похоже на глагол
besno,97,не похоже на глагол
помоћи,96,не похоже на глагол
казивати,96,не похоже на глагол
чувати,96,не похоже на глагол
istovremeno,96,не похоже на глагол
начинити,95,не похоже на глагол
примати,95,не похоже на глагол
свуда,95,не похоже на глагол
одвести,95,не похоже на глагол
uzgred,95,не похоже на глагол
žao,95,не похоже на глагол
тачно,94,не похоже на глагол
путовати,94,не похоже на глагол
kratko,94,не похоже на глагол
замислити,93,не похоже на глагол
касно,93,не похоже на глагол
владати,93,не похоже на глагол
odlučno,93,не похоже на глагол
смејати,92,не похоже на глагол
jednako,92,не похоже на глагол
odnekud,92,не похоже на глагол
умирати,91,не похоже на глагол
крити,91,не похоже на глагол
oduvek,91,не похоже на глагол
dočno,91,не похоже на глагол
улазити,90,не похоже на глагол
ставити,90,не похоже на глагол
позвати,90,не похоже на глагол
остављати,90,не похоже на глагол
danju,90,не похоже на глагол
кући,89,не похоже на глагол
ширити,89,не похоже на глагол
oprezno,89,не похоже на глагол
јако,88,не похоже на глагол
никако,88,не похоже на глагол
поставити,88,не похоже на глагол
најпосле,88,не похоже на глагол
убити,88,не похоже на глагол
najposle,88,не похоже на глагол
вући,87,не похоже на глагол
гласно,87,не похоже на глагол
настати,87,не похоже на глагол
прекидати,87,не похоже на глагол
закључити,86,не похоже на глагол
настављати,86,не похоже на глагол
везати,86,не похоже на глагол
nedavno,86,не похоже на глагол
слати,84,не похоже на глагол
шапутати,84,не похоже на глагол
просто,83,не похоже на глагол
непрестано,83,не похоже на глагол
опростити,83,не похоже на глагол
делити,83,не похоже на глагол
napolje,83,не похоже на глагол
најпре,83,не похоже на глагол
понављати,82,не похоже на глагол
трчати,82,не похоже на глагол
правити,82,не похоже на глагол
сутрадан,82,не похоже на глагол
једнако,82,не похоже на глагол
променити,82,не похоже на глагол
памтити,82,не похоже на глагол
давити,82,не похоже на глагол
naprotiv,82,не похоже на глагол
решити,81,не похоже на глагол
нестати,81,не похоже на глагол
срести,81,не похоже на глагол
створити,81,не похоже на глагол
настојати,81,не похоже на глагол
dvaput,81,не похоже на глагол
radosno,81,не похоже на глагол
ljubazno,81,не похоже на глагол
visoko,81,не похоже на глагол
дочекати,80,не похоже на глагол
гонити,80,не похоже на глагол
tužno,80,не похоже на глагол
rado,80,не похоже на глагол
одлучити,79,не похоже на глагол
стизати,79,не похоже на глагол
одувек,79,не похоже на глагол
povremeno,79,не похоже на глагол
umalo,79,не похоже на глагол
одвратити,78,не похоже на глагол
загледати,78,не похоже на глагол
