base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,,prefix,base_verb
goreti,razgoreti,raz,375,26,,,
jahati,zajahati,za,375,16,,,
vezati,uvezati,u,375,9,,,
pucati,upucati,u,367,1859,,,
ticati,priticati,pri,367,219,,,
dati,pridati,pri,367,185,,,
topiti,pretopiti,pre,367,110,,,
uzeti,poduzeti,pod,367,14,,,
slediti,proslediti,pro,366,123,,,
krenuti,zakrenuti,za,366,117,,,
gađati,odgađati,od,363,15,,,
ostajati,izostajati,iz,363,10,,,
gledati,odgledati,od,360,174,,,
miriti,podmiriti,pod,360,101,,,
skočiti,doskočiti,do,360,26,,,
joguniti,uzjoguniti,uz,360,5,,,
pisati,dopisati,do,359,100,,,
spavati,naspavati,na,359,8,,,
mesiti,umesiti,u,359,6,,,
krštavati,ukrštavati,u,358,84,,,
rumeniti,zarumeniti,za,354,19,,,
gibati,ugibati,u,350,22,,,
pucati,pripucati,pri,350,12,,,
videti,prevideti,pre,350,8,,,
prodavati,preprodavati,pre,350,7,,,
nalaziti,iznalaziti,iz,347,3324,,,
gluv,nagluv,na,347,32,,,
sukati,zasukati,za,344,147,,,
denuti,udenuti,u,344,54,,,
rediti,nadrediti,nad,341,7,,,
letati,nadletati,nad,339,62,,,
kukati,zakukati,za,336,47,,,
kovati,zakovati,za,336,31,,,
vijati,dovijati,do,336,32,,,
žeći,užeći,u,336,9,,,
rediti,obrediti,ob,336,7,,,
grebati,zagrebati,za,332,445,,,
sedati,zasedati,za,330,429,,,
izići,proizići,pro,330,271,,,
recitovati,izrecitovati,iz,330,96,,,
uzdati,razuzdati,raz,329,53,,,
čuvati,pričuvati,pri,324,2481,,,
vezivati,odvezivati,od,324,4508,,,
naduti,podnaduti,pod,324,11,,,
saditi,nasaditi,na,322,710,,,
vikati,zavikati,za,322,11,,,
voditi,razvoditi,raz,320,30,,,
misliti,namisliti,na,320,15,,,
vezivati,razvezivati,raz,320,9,,,
pričati,napričati,na,319,13,,,
inatiti,zainatiti,za,318,44,,,
sisati,usisati,u,308,141,,,
pucati,zapucati,za,308,52,,,
stupiti,zastupiti,za,308,39,,,
brbljati,izbrbljati,iz,308,8,,,
šiljiti,zašiljiti,za,304,321,,,
služiti,odslužiti,od,303,179,,,
ispitati,preispitati,pre,301,242,,,
ubijati,izubijati,iz,301,20,,,
čistiti,prečistiti,pre,301,9,,,
izaći,proizaći,pro,301,5,,,
svetliti,prosvetliti,pro,300,5263,,,
grabiti,zagrabiti,za,300,48,,,
celiti,zaceliti,za,294,64,,,
zvati,zazvati,za,294,14,,,
hladneti,zahladneti,za,293,85,,,
ceniti,zaceniti,za,288,24,,,
slušati,naslušati,na,287,247,,,
plesati,zaplesati,za,287,144,,,
pakovati,upakovati,u,287,92,,,
zidati,sazidati,sa,287,23,,,
roniti,odroniti,od,287,22,,,
rušiti,razrušiti,raz,286,63,,,
obraćati,saobraćati,sa,286,15,,,
lepršati,zalepršati,za,283,15,,,
motati,odmotati,od,279,40,,,
imenovati,naimenovati,na,279,8,,,
rogušiti,narogušiti,na,278,17,,,
bivati,izbivati,iz,274,41,,,
bljuvati,izbljuvati,iz,272,145,,,
vejati,zavejati,za,272,63,,,
pojiti,pripojiti,pri,272,11,,,
bledeti,ubledeti,u,272,12,,,
ređati,naređati,na,265,20,,,
secati,odsecati,od,263,640,,,
zvoniti,odzvoniti,od,263,46,,,
mazati,razmazati,raz,263,40,,,
letati,zaletati,za,263,13,,,
mazati,zamazati,za,262,225,,,
treptati,zatreptati,za,262,209,,,
kuvati,zakuvati,za,262,179,,,
sedati,nasedati,na,262,165,,,
mešati,promešati,pro,262,123,,,
gurati,progurati,pro,262,102,,,
viditi,providiti,pro,262,53,,,
piti,propiti,pro,262,52,,,
vrpoljiti,uzvrpoljiti,uz,262,27,,,
naći,iznaći,iz,259,77,,,
voziti,dovoziti,do,259,8,,,
saditi,presaditi,pre,257,98,,,
hraniti,prehraniti,pre,257,63,,,
ispitivati,preispitivati,pre,257,24,,,
videti,privideti,pri,253,396,,,
šuštati,zašuštati,za,253,62,,,
postaviti,zapostaviti,za,253,13,,,
oštriti,naoštriti,na,251,88,,,
klesati,uklesati,u,251,676,,,
lepršati,odlepršati,od,251,24,,,
graditi,pregraditi,pre,251,20,,,
mileti,izmileti,iz,249,27,,,
umirati,izumirati,iz,248,113,,,
sloviti,prosloviti,pro,248,40,,,
tanjiti,utanjiti,u,247,69,,,
metati,zametati,za,247,44,,,
pucketati,zapucketati,za,247,71,,,
prljati,zaprljati,za,247,11,,,
mreškati,namreškati,na,247,12,,,
krkljati,zakrkljati,za,247,11,,,
klimati,zaklimati,za,247,10,,,
ostavljati,izostavljati,iz,244,29,,,
čuti,pričuti,pri,244,14,,,
stizati,prestizati,pre,244,10,,,
ležati,preležati,pre,244,5,,,
veličati,uveličati,u,243,74,,,
dirati,izdirati,iz,242,146,,,
tovariti,utovariti,u,242,47,,,
gnječiti,prignječiti,pri,242,10,,,
usmeriti,preusmeriti,pre,238,239,,,
okretati,zaokretati,za,238,19,,,
plivati,doplivati,do,238,5,,,
temeljiti,utemeljiti,u,237,143,,,
leteti,saleteti,sa,237,19,,,
tutnjati,protutnjati,pro,234,531,,,
tkati,utkati,u,232,269,,,
liti,doliti,do,232,65,,,
dirati,zadirati,za,232,40,,,
tucati,natucati,na,232,11,,,
nuti,sunuti,su,226,15,,,
kupovati,nakupovati,na,225,29,,,
trčati,zatrčati,za,225,14,,,
mahnuti,izmahnuti,iz,223,62,,,
svetiti,prosvetiti,pro,222,23,,,
sećati,dosećati,do,222,14,,,
testirati,protestirati,pro,222,7,,,
ovladavati,preovladavati,pre,220,30,,,
visiti,nadvisiti,nad,219,7,,,
mrsiti,promrsiti,pro,214,39,,,
šetati,ušetati,u,213,55,,,
uživati,nauživati,na,213,20,,,
taložiti,nataložiti,na,213,14,,,
kazati,prokazati,pro,212,10,,,
svirati,prosvirati,pro,212,6,,,
turati,proturati,pro,208,30,,,
uzimati,izuzimati,iz,207,43,,,
jebati,zajebati,za,206,1310,,,
lečiti,zalečiti,za,206,278,,,
mucati,zamucati,za,206,94,,,
buniti,zabuniti,za,206,8,,,
patiti,zapatiti,za,205,241,,,
upitati,priupitati,pri,205,23,,,
peniti,zapeniti,za,203,388,,,
taknuti,utaknuti,u,203,45,,,
tabati,utabati,u,202,26,,,
blagodariti,zablagodariti,za,202,23,,,
postavljati,zapostavljati,za,202,14,,,
peći,upeći,u,201,3058,,,
ploviti,doploviti,do,201,1304,,,
gledati,dogledati,do,201,1662,,,
secati,zasecati,za,201,656,,,
stideti,zastideti,za,201,135,,,
suditi,dosuditi,do,201,48,,,
jesti,izjesti,iz,201,80,,,
ustavljati,obustavljati,ob,201,23,,,
brojati,odbrojati,od,201,24,,,
živiti,uživiti,u,201,39,,,
želeti,uželeti,u,201,10,,,
uzimati,poduzimati,pod,200,91,,,
luditi,izluditi,iz,199,122,,,
goreti,pregoreti,pre,199,42,,,
blenuti,zablenuti,za,199,18,,,
gasnuti,ugasnuti,u,199,5,,,
skočiti,naskočiti,na,198,11,,,
šunjati,prišunjati,pri,198,5,,,
patiti,prepatiti,pre,196,448,,,
uveličati,preuveličati,pre,196,85,,,
huškati,nahuškati,na,196,17,,,
općiti,saopćiti,sa,195,22,,,
magarčiti,namagarčiti,na,194,20,,,
krstariti,prokrstariti,pro,193,148,,,
venuti,provenuti,pro,189,222,,,
iskriti,zaiskriti,za,189,185,,,
mahati,zamahati,za,189,138,,,
ćaskati,proćaskati,pro,189,22,,,
dvoriti,dodvoriti,do,185,10,,,
rušiti,urušiti,u,185,16,,,
mamiti,domamiti,do,185,5,,,
faliti,zafaliti,za,183,131,,,
pasati,napasati,na,181,3096,,,
lučiti,ulučiti,u,181,2263,,,
gađati,ugađati,u,181,77,,,
ići,uzići,uz,179,60,,,
brisati,ubrisati,u,179,40,,,
dojiti,zadojiti,za,179,8,,,
ridati,zaridati,za,178,92,,,
jaloviti,izjaloviti,iz,175,4436,,,
vibrirati,zavibrirati,za,174,1764,,,
ovladati,preovladati,pre,174,6,,,
nagliti,prenagliti,pre,174,6,,,
mrcvariti,izmrcvariti,iz,173,18,,,
rezati,podrezati,pod,173,6,,,
okrenuti,izokrenuti,iz,172,94,,,
kockati,prokockati,pro,172,143,,,
parirati,preparirati,pre,172,46,,,
trpiti,pretrpiti,pre,172,17,,,
drešiti,razdrešiti,raz,171,46,,,
žderati,prožderati,pro,171,30,,,
pevati,propevati,pro,171,25,,,
meškoljiti,promeškoljiti,pro,170,71,,,
curiti,procuriti,pro,170,47,,,
luditi,zaluditi,za,169,7,,,
borati,izborati,iz,167,133,,,
škiljiti,zaškiljiti,za,167,49,,,
lagati,prilagati,pri,165,72,,,
pomenuti,pripomenuti,pri,165,20,,,
praviti,pripraviti,pri,164,424,,,
vezati,obvezati,ob,164,157,,,
bolovati,odbolovati,od,164,46,,,
negovati,odnegovati,od,164,41,,,
grejati,podgrejati,pod,164,39,,,
kipeti,prekipeti,pre,163,13,,,
množiti,namnožiti,na,161,9,,,
patiti,napatiti,na,159,48,,,
kapirati,ukapirati,u,158,39,,,
ticati,naticati,na,157,78,,,
piškiti,upiškiti,u,157,63,,,
gasiti,zagasiti,za,157,99,,,
kaniti,nakaniti,na,157,12,,,
lickati,nalickati,na,154,7,,,
popiti,zapopiti,za,153,129,,,
turiti,naturiti,na,153,80,,,
svetliti,zasvetliti,za,153,31,,,
meriti,razmeriti,raz,153,12,,,
vikati,izvikati,iz,153,17,,,
lagati,razlagati,raz,152,303,,,
strujiti,prostrujiti,pro,152,48,,,
mekšati,umekšati,u,152,18,,,
rastati,zarastati,za,152,8,,,
brundati,zabrundati,za,151,8,,,
kretati,zakretati,za,151,7,,,
lizati,zalizati,za,150,32,,,
sejati,zasejati,za,149,130,,,
laknuti,odlaknuti,od,149,50,,,
metati,izmetati,iz,149,32,,,
vežbati,izvežbati,iz,149,6,,,
vesti,podvesti,pod,147,185,,,
kopati,prekopati,pre,147,48,,,
raditi,preraditi,pre,147,62,,,
računati,preračunati,pre,147,32,,,
slikati,preslikati,pre,147,26,,,
uveličavati,preuveličavati,pre,147,8,,,
spavati,prospavati,pro,146,77,,,
stenjati,prostenjati,pro,146,36,,,
mašiti,domašiti,do,146,15,,,
birati,ubirati,u,146,5,,,
mlatiti,umlatiti,u,143,23,,,
kriviti,zakriviti,za,143,13,,,
gruvati,ugruvati,u,142,7406,,,
hraniti,uhraniti,u,142,62,,,
seći,naseći,na,142,60,,,
kucati,ukucati,u,142,31,,,
tjerati,natjerati,na,142,16,,,
sloviti,usloviti,u,142,7,,,
odenuti,zaodenuti,za,141,11,,,
kloniti,sakloniti,sa,139,110,,,
voziti,uvoziti,u,139,140,,,
vrebati,uvrebati,u,139,69,,,
rešavati,razrešavati,raz,139,18,,,
laziti,uzlaziti,uz,139,7,,,
mrskati,razmrskati,raz,135,79,,,
mahati,razmahati,raz,135,332,,,
levati,razlevati,raz,135,19,,,
igrati,razigrati,raz,135,13,,,
davati,razdavati,raz,134,83,,,
ukrštati,izukrštati,iz,134,22,,,
seći,proseći,pro,133,117,,,
kopati,prokopati,pro,133,112,,,
boraviti,proboraviti,pro,133,47,,,
štedeti,prištedeti,pri,133,27,,,
grabiti,prigrabiti,pri,132,69,,,
živjeti,preživjeti,pre,131,27,,,
znojiti,preznojiti,pre,129,150,,,
staviti,prestaviti,pre,129,146,,,
slušati,preslušati,pre,129,249,,,
sipati,presipati,pre,129,42,,,
rediti,razrediti,raz,129,38,,,
učestvovati,saučestvovati,sa,129,39,,,
vrstati,razvrstati,raz,129,6,,,
udariti,podudariti,pod,127,87,,,
mazati,podmazati,pod,127,84,,,
lomiti,odlomiti,od,127,51,,,
voziti,odvoziti,od,127,11,,,
nakaziti,iznakaziti,iz,126,91,,,
slušati,odslušati,od,125,36,,,
lepiti,izlepiti,iz,125,11,,,
tješiti,utješiti,u,124,3574,,,
treskati,zatreskati,za,124,336,,,
huktati,zahuktati,za,124,38,,,
letati,doletati,do,124,29,,,
imati,doimati,do,123,33,,,
živeti,uživeti,u,123,24,,,
padati,prepadati,pre,123,10,,,
meriti,premeriti,pre,123,6,,,
vikati,nadvikati,nad,122,15,,,
sladiti,nasladiti,na,121,123,,,
cakliti,zacakliti,za,121,29,,,
valjati,uvaljati,u,121,8,,,
škrabati,naškrabati,na,121,8,,,
moliti,umoliti,u,120,40078,,,
ciljati,naciljati,na,120,16832,,,
gurati,nagurati,na,120,4074,,,
ceniti,uceniti,u,120,4695,,,
ceriti,naceriti,na,120,5714,,,
ružiti,naružiti,na,120,3412,,,
kidati,zakidati,za,120,2334,,,
pomoći,pripomoći,pri,120,841,,,
trnuti,protrnuti,pro,120,361,,,
viđati,previđati,pre,120,41,,,
računiti,proračuniti,pro,120,15,,,
metati,prometati,pro,120,45,,,
mrljati,zamrljati,za,118,48,,,
žeti,užeti,u,115,209,,,
grnuti,zagrnuti,za,115,111,,,
crniti,zacrniti,za,115,56,,,
sedati,usedati,u,115,39,,,
teći,nateći,na,115,19,,,
platiti,uplatiti,u,115,16,,,
sesti,usesti,u,115,15,,,
puderisati,napuderisati,na,115,10,,,
delovati,sudelovati,su,115,6,,,
motati,namotati,na,115,8,,,
prsnuti,naprsnuti,na,114,71,,,
cvrkutati,zacvrkutati,za,113,128,,,
pešačiti,prepešačiti,pre,113,7,,,
naglasiti,prenaglasiti,pre,113,5,,,
maštati,izmaštati,iz,111,25,,,
gurati,odgurati,od,111,32,,,
vetriti,izvetriti,iz,110,505,,,
rastati,izrastati,iz,110,29,,,
ranjaviti,izranjaviti,iz,110,14,,,
čuti,dočuti,do,110,13,,,
derati,izderati,iz,109,26,,,
zvečati,zazvečati,za,108,22,,,
vrištati,zavrištati,za,108,10,,,
svetlucati,zasvetlucati,za,108,15,,,
stiditi,zastiditi,za,108,7,,,
rezati,zarezati,za,106,58,,,
oštriti,zaoštriti,za,106,8,,,
mrziti,zamrziti,za,106,6,,,
liti,podliti,pod,105,552,,,
ceniti,preceniti,pre,104,73,,,
tkati,pretkati,pre,104,19,,,
zdraviti,prezdraviti,pre,103,390,,,
kratiti,prikratiti,pri,103,58,,,
gegati,odgegati,od,103,51,,,
lizati,oblizati,ob,103,157,,,
glačati,izglačati,iz,102,124,,,
oružati,oboružati,ob,102,70,,,
škripiti,zaškripiti,za,102,14,,,
ljubiti,obljubiti,ob,100,7,,,
lepiti,oblepiti,ob,99,15,,,
pržiti,zapržiti,za,98,214,,,
prečiti,zaprečiti,za,98,47,,,
močiti,zamočiti,za,98,24,,,
komplikovati,zakomplikovati,za,98,41,,,
ribati,izribati,iz,98,13,,,
šetati,odšetati,od,97,2941,,,
lokati,izlokati,iz,97,84,,,
recitovati,odrecitovati,od,97,29,,,
goniti,odgoniti,od,97,13,,,
osećati,saosećati,sa,97,7,,,
odenuti,razodenuti,raz,97,6,,,
hvatati,dohvatati,do,97,6,,,
krijumčariti,prokrijumčariti,pro,96,54,,,
ključati,proključati,pro,96,53,,,
stojati,pristojati,pri,96,18,,,
mahnuti,razmahnuti,raz,96,6,,,
dati,razdati,raz,95,47,,,
vjeriti,provjeriti,pro,95,21,,,
tkati,protkati,pro,94,19,,,
sediti,prosediti,pro,93,66,,,
rotiti,urotiti,u,93,39,,,
turati,naturati,na,93,41,,,
kvasiti,ukvasiti,u,93,11,,,
glancati,uglancati,u,93,6,,,
mračiti,namračiti,na,92,79,,,
legati,nalegati,na,92,52,,,
kazati,nakazati,na,92,21,,,
kalemiti,nakalemiti,na,92,34,,,
hvaliti,nahvaliti,na,92,7,,,
goreti,zagoreti,za,91,19,,,
brojiti,ubrojiti,u,91,10,,,
imati,zaimati,za,91,26,,,
hrkati,zahrkati,za,90,90,,,
hladiti,zahladiti,za,90,5,,,
prostiti,uprostiti,u,89,81,,,
tiskati,utiskati,u,88,602,,,
vrdati,izvrdati,iz,88,329,,,
rešetati,izrešetati,iz,88,128,,,
tužiti,dotužiti,do,88,90,,,
stajati,dostajati,do,88,73,,,
brusiti,izbrusiti,iz,88,36,,,
batinati,izbatinati,iz,88,29,,,
tamniti,zatamniti,za,88,22,,,
skičati,zaskičati,za,87,20,,,
rediti,zarediti,za,87,9,,,
peći,zapeći,za,87,12,,,
ogrtati,zaogrtati,za,87,5,,,
odevati,zaodevati,za,85,13,,,
žeći,sažeći,sa,85,5,,,
strugati,sastrugati,sa,84,13,,,
uveravati,razuveravati,raz,84,8,,,
očaravati,razočaravati,raz,83,28,,,
sedati,prosedati,pro,83,5,,,
plakati,proplakati,pro,82,130,,,
birati,probirati,pro,81,5307,,,
tkati,pritkati,pri,81,516,,,
stavljati,ustavljati,u,81,24,,,
veriti,uzveriti,uz,81,63,,,
beleti,zabeleti,za,81,7,,,
duvati,zaduvati,za,81,5,,,
seći,podseći,pod,80,89,,,
domišljati,predomišljati,pre,80,12,,,
čuti,prečuti,pre,80,7,,,
meriti,primeriti,pri,79,60,,,
cvokotati,zacvokotati,za,79,28,,,
glasati,nadglasati,nad,79,16,,,
vrbovati,zavrbovati,za,78,79,,,
močiti,namočiti,na,78,12,,,
ganuti,uganuti,u,78,9,,,
sititi,nasititi,na,78,6,,,
mastiti,umastiti,u,78,9,,,
prazniti,uprazniti,u,77,51,,,
kolutati,zakolutati,za,76,36,,,
kotrljati,zakotrljati,za,76,13,,,
kreštati,zakreštati,za,75,28,,,
mjeriti,zamjeriti,za,75,27,,,
tovariti,pretovariti,pre,75,67,,,
stavljati,prestavljati,pre,74,11,,,
krojiti,prekrojiti,pre,73,13,,,
goniti,pregoniti,pre,73,50,,,
mekšati,razmekšati,raz,72,14,,,
grabiti,razgrabiti,raz,72,14,,,
krvariti,prokrvariti,pro,71,435,,,
kisnuti,prokisnuti,pro,71,19,,,
venčati,privenčati,pri,71,5,,,
stavljati,pristavljati,pri,70,39,,,
mamiti,primamiti,pri,70,19,,,
daviti,pridaviti,pri,70,191,,,
žvrljati,nažvrljati,na,69,80,,,
turiti,uturiti,u,69,26,,,
napredovati,uznapredovati,uz,69,17,,,
vitlati,uzvitlati,uz,68,136,,,
dimiti,zadimiti,za,68,56,,,
sladiti,zasladiti,za,67,78,,,
lagati,oblagati,ob,67,74,,,
škrgutati,zaškrgutati,za,67,126,,,
reći,ureći,u,67,18,,,
resiti,uresiti,u,67,17,,,
okruživati,zaokruživati,za,67,12,,,
koričiti,ukoričiti,u,67,1228,,,
oblačiti,naoblačiti,na,67,9,,,
moliti,namoliti,na,67,16,,,
micati,namicati,na,66,10,,,
beliti,nabeliti,na,65,108,,,
deliti,izdeliti,iz,65,21,,,
vijati,obvijati,ob,65,5,,,
skakutati,doskakutati,do,64,20,,,
letati,odletati,od,64,20,,,
sanjati,odsanjati,od,64,10,,,
mlatiti,izmlatiti,iz,64,7,,,
voziti,izvoziti,iz,63,55,,,
govoriti,podgovoriti,pod,63,28,,,
mrdati,razmrdati,raz,63,10,,,
žvakati,sažvakati,sa,63,13,,,
vređati,izvređati,iz,62,722,,,
napiti,podnapiti,pod,62,90,,,
gutati,nagutati,na,62,46,,,
mrviti,izmrviti,iz,62,6,,,
uhvatiti,poduhvatiti,pod,61,36,,,
pustiti,pripustiti,pri,60,86,,,
čeprkati,pročeprkati,pro,60,79,,,
graditi,razgraditi,raz,60,57,,,
lupati,razlupati,raz,60,53,,,
ložiti,razložiti,raz,60,60,,,
baviti,probaviti,pro,60,56,,,
cijeniti,procijeniti,pro,60,42,,,
goreti,progoreti,pro,60,32,,,
studirati,prostudirati,pro,60,28,,,
prodati,preprodati,pre,60,30,,,
grnuti,prigrnuti,pri,60,21,,,
pitati,pripitati,pri,60,14,,,
vidati,zavidati,za,60,13,,,
svetleti,zasvetleti,za,60,13,,,
pištati,zapištati,za,60,12,,,
piljiti,zapiljiti,za,60,11,,,
pakovati,zapakovati,za,60,15,,,
njištati,zanjištati,za,60,8,,,
kovitlati,zakovitlati,za,59,94,,,
jaukati,zajaukati,za,59,19,,,
crtati,zacrtati,za,58,56,,,
bleštiti,zableštiti,za,58,11,,,
letiti,doletiti,do,58,10,,,
goniti,dogoniti,do,58,5,,,
šivati,ušivati,u,57,26,,,
peći,prepeći,pre,56,112,,,
mašiti,premašiti,pre,56,41,,,
kucati,prekucati,pre,56,26,,,
komandovati,prekomandovati,pre,56,20,,,
secati,podsecati,pod,56,5,,,
šmrknuti,ušmrknuti,u,55,28,,,
vidati,izvidati,iz,55,24,,,
rovati,izrovati,iz,55,5,,,
opštiti,izopštiti,iz,54,75,,,
učiti,odučiti,od,54,8,,,
umirati,odumirati,od,53,780,,,
masirati,izmasirati,iz,53,29,,,
turati,doturati,do,53,6,,,
glancati,izglancati,iz,52,2413,,,
rubiti,obrubiti,ob,52,645,,,
živeti,zaživeti,za,52,54,,,
žmirkati,zažmirkati,za,52,28,,,
rastati,dorastati,do,52,14,,,
vredeti,zavredeti,za,51,64,,,
šeprtljati,ušeprtljati,u,51,38,,,
vlažiti,navlažiti,na,51,13,,,
vrteti,uzvrteti,uz,51,5,,,
đubriti,nađubriti,na,51,5,,,
siriti,usiriti,u,50,185,,,
trljati,natrljati,na,50,54,,,
raniti,uraniti,u,50,29,,,
vikati,navikati,na,50,20,,,
militi,umiliti,u,50,13,,,
krcati,nakrcati,na,50,17,,,
kreveljiti,nakreveljiti,na,50,8,,,
marširati,umarširati,u,50,15,,,
igrati,nadigrati,nad,50,8,,,
buljiti,izbuljiti,iz,50,7,,,
žeći,zažeći,za,50,5,,,
beliti,izbeliti,iz,49,15,,,
prijeti,doprijeti,do,48,59,,,
kvariti,ukvariti,u,48,47,,,
sapunjati,nasapunjati,na,48,24,,,
prskati,uprskati,u,48,17,,,
računati,uračunati,u,48,15,,,
secati,usecati,u,48,7,,,
zidati,nazidati,na,47,59,,,
sitniti,usitniti,u,47,74,,,
smrdeti,usmrdeti,u,47,11,,,
čitati,načitati,na,47,10,,,
žuljati,nažuljati,na,46,1638,,,
trpati,utrpati,u,46,13,,,
veseliti,uveseliti,u,46,20,,,
mutiti,uzmutiti,uz,45,27,,,
vinuti,uzvinuti,uz,44,286,,,
cvrčati,zacvrčati,za,44,8,,,
drmati,zadrmati,za,44,8,,,
govoriti,zagovoriti,za,43,61,,,
graditi,zagraditi,za,43,182,,,
metati,dometati,do,42,83,,,
jemčiti,zajemčiti,za,42,13,,,
misliti,domisliti,do,42,16,,,
kukurikati,zakukurikati,za,42,11,,,
lelujati,zalelujati,za,42,8,,,
penušati,zapenušati,za,41,269,,,
pevušiti,zapevušiti,za,41,39,,,
ređati,zaređati,za,41,10,,,
senčiti,zasenčiti,za,40,53,,,
igrati,obigrati,ob,40,44,,,
kljukati,nakljukati,na,40,26,,,
debljati,udebljati,u,40,26,,,
jahati,ujahati,u,40,27,,,
rumeniti,narumeniti,na,40,20,,,
birati,razbirati,raz,40,12,,,
šištati,prošištati,pro,40,8,,,
češljati,pročešljati,pro,40,10,,,
tutnjiti,protutnjiti,pro,40,6,,,
secati,prosecati,pro,39,31,,,
njuškati,pronjuškati,pro,39,15,,,
nicati,pronicati,pro,39,11,,,
mašati,promašati,pro,39,8,,,
disati,prodisati,pro,39,6,,,
diskutovati,prodiskutovati,pro,38,906,,,
cvrkutati,procvrkutati,pro,38,21,,,
šivati,prišivati,pri,38,16,,,
peći,pripeći,pri,38,12,,,
gledati,prigledati,pri,37,35,,,
doći,pridoći,pri,37,1061,,,
dodavati,pridodavati,pri,37,27,,,
stupiti,prestupiti,pre,37,11,,,
sedati,presedati,pre,37,7,,,
platiti,preplatiti,pre,36,116,,,
otimati,preotimati,pre,36,87,,,
čitati,dočitati,do,36,37,,,
riti,podriti,pod,36,17,,,
buniti,podbuniti,pod,36,13,,,
javiti,odjaviti,od,36,9,,,
viđati,izviđati,iz,35,79,,,
uvijati,izuvijati,iz,35,16,,,
riti,izriti,iz,35,7,,,
puniti,sapuniti,sa,35,6,,,
gnjiti,sagnjiti,sa,34,256,,,
videti,razvideti,raz,34,53,,,
rovati,razrovati,raz,34,131,,,
graničiti,razgraničiti,raz,33,256,,,
uživati,oduživati,od,33,75,,,
slikati,odslikati,od,33,12,,,
skakutati,odskakutati,od,33,8,,,
šunjati,došunjati,do,33,6,,,
masakrirati,izmasakrirati,iz,32,56,,,
momčiti,zamomčiti,za,32,12,,,
lomiti,zalomiti,za,31,923,,,
maskirati,zamaskirati,za,31,75,,,
brujati,zabrujati,za,31,9,,,
brazditi,zabrazditi,za,31,6,,,
kotrljati,dokotrljati,do,30,58,,,
ličiti,zaličiti,za,30,5,,,
kričati,zakričati,za,29,7,,,
jamčiti,zajamčiti,za,29,7,,,
groktati,zagroktati,za,29,9,,,
graktati,zagraktati,za,28,728,,,
opštiti,uopštiti,u,28,94,,,
slijediti,naslijediti,na,28,29,,,
kovrdžati,ukovrdžati,u,28,16,,,
rezati,narezati,na,28,11,,,
kiseliti,ukiseliti,u,28,10,,,
razgovarati,narazgovarati,na,27,231,,,
pjev,napjev,na,27,39,,,
buđati,ubuđati,u,27,18,,,
kačiti,nakačiti,na,27,16,,,
goreti,nagoreti,na,27,15,,,
gnječiti,nagnječiti,na,27,9,,,
štaviti,uštaviti,u,27,7,,,
tovar,utovar,u,26,1276,,,
tapkati,utapkati,u,26,40,,,
saglasiti,usaglasiti,u,26,19,,,
predati,upredati,u,26,12,,,
pajati,zapajati,za,26,13,,,
posedati,zaposedati,za,26,6,,,
prašiti,zaprašiti,za,26,5,,,
redati,zaredati,za,26,5,,,
svrbeti,zasvrbeti,za,26,17,,,
uzdavati,zauzdavati,za,25,65,,,
veslati,zaveslati,za,25,29,,,
puzati,dopuzati,do,24,946,,,
vijoriti,zavijoriti,za,24,32,,,
zveckati,zazveckati,za,24,24,,,
bičevati,izbičevati,iz,24,26,,,
reći,doreći,do,24,43,,,
raniti,obraniti,ob,24,18,,,
drkati,izdrkati,iz,24,14,,,
glasati,izglasati,iz,24,6,,,
gnjaviti,izgnjaviti,iz,24,11,,,
goniti,izgoniti,iz,24,9,,,
grnuti,odgrnuti,od,23,129,,,
teći,doteći,do,23,121,,,
reagovati,odreagovati,od,23,39,,,
živjeti,doživjeti,do,23,28,,,
opijati,izopijati,iz,23,18,,,
redati,izredati,iz,23,14,,,
vedriti,izvedriti,iz,23,13,,,
baciti,podbaciti,pod,22,8,,,
jariti,podjariti,pod,21,23,,,
gurati,pregurati,pre,21,15,,,
kaliti,prekaliti,pre,20,43,,,
oblikovati,preoblikovati,pre,20,32,,,
okretati,preokretati,pre,20,12,,,
savijati,presavijati,pre,20,7,,,
testerisati,pretesterisati,pre,20,6,,,
uraniti,preuraniti,pre,19,194,,,
uređivati,preuređivati,pre,19,53,,,
dobijati,pridobijati,pri,19,13,,,
dolaziti,pridolaziti,pri,19,8,,,
igrati,proigrati,pro,19,8,,,
kazivati,prokazivati,pro,19,8,,,
pištati,propištati,pro,19,7,,,
rešetati,prorešetati,pro,19,7,,,
vodati,provodati,pro,18,2522,,,
šišati,prošišati,pro,18,271,,,
živjeti,proživjeti,pro,18,220,,,
juriti,razjuriti,raz,18,117,,,
listati,razlistati,raz,18,31,,,
odevati,razodevati,raz,18,13,,,
umiti,razumiti,raz,18,5,,,
lomiti,salomiti,sa,17,24,,,
prezati,uprezati,u,17,19,,,
skladištiti,uskladištiti,u,17,16,,,
soliti,usoliti,u,17,15,,,
tucati,utucati,u,17,6,,,
gegati,dogegati,do,16,61,,,
batrgati,zabatrgati,za,16,25,,,
belasati,zabelasati,za,16,15,,,
videti,provideti,pro,16,13,,,
dužiti,razdužiti,raz,15,230,,,
duvati,razduvati,raz,15,80,,,
rezati,razrezati,raz,15,17,,,
mariti,samariti,sa,15,13,,,
vonjati,zavonjati,za,15,11,,,
zvrjati,zazvrjati,za,15,8,,,
