base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,,prefix,base_verb
videti,zavideti,za,11829,165,,,važiti
beležiti,zabeležiti,za,11829,33,,,pretiti
micati,promicati,pro,11829,21,,,varati
stupiti,nastupiti,na,11378,507,,,vezati
padati,napadati,na,10921,88,,,brusiti
pamtiti,upamtiti,u,10756,21,,,liti
nuti,prenuti,pre,10720,216,,,prljati
vijati,savijati,sa,10720,188,,,uzrokovati
gledati,razgledati,raz,10720,98,,,upirati
stati,sastati,sa,10592,244,,,drmati
disati,udisati,u,10592,183,,,magliti
uhvatiti,obuhvatiti,ob,10592,83,,,putovati
tešiti,utešiti,u,10526,327,,,žaliti
oružati,naoružati,na,10526,53,,,tući
goniti,progoniti,pro,10367,365,,,kašljati
blažiti,ublažiti,u,10367,1521,,,pratiti
voditi,prevoditi,pre,10367,437,,,računati
izvoditi,proizvoditi,pro,10367,1142,,,bivati
mucati,promucati,pro,10367,49,,,prtiti
robiti,zarobiti,za,10367,63,,,rušiti
desiti,udesiti,u,9961,3800,,,platiti
desiti,zadesiti,za,9961,9,,,krutiti
umiti,naumiti,na,9961,7,,,šaliti
ticati,doticati,do,9836,45,,,cediti
stajati,sastajati,sa,9658,4516,,,mazati
sećati,prisećati,pri,9658,861,,,gunđati
kloniti,zakloniti,za,9658,286,,,obratiti
micati,primicati,pri,9658,62,,,uditi
saditi,dosaditi,do,9658,67,,,slepiti
počinjati,započinjati,za,9658,14,,,trpeti
goniti,nagoniti,na,9658,5,,,vrteti
gušiti,ugušiti,u,9502,5437,,,užiti
rediti,prirediti,pri,9502,5228,,,pečatiti
slaviti,proslaviti,pro,9502,4630,,,legati
metati,nametati,na,9502,2242,,,želiti
puštati,propuštati,pro,9502,40,,,mučiti
turati,preturati,pre,9502,188,,,gurati
razumevati,podrazumevati,pod,9449,355,,,općiti
pasti,zapasti,za,9449,285,,,jecati
činiti,sačiniti,sa,9449,165,,,snivati
roniti,izroniti,iz,9145,588,,,listati
sporiti,usporiti,u,9145,1051,,,veseliti
vraćati,uzvraćati,uz,9145,86,,,roditi
teći,proteći,pro,9145,118,,,manjiti
valiti,prevaliti,pre,9020,8539,,,točiti
žmuriti,zažmuriti,za,9020,108,,,buniti
bledeti,prebledeti,pre,9020,60,,,kriviti
ići,razići,raz,9020,19,,,dragati
motati,umotati,u,8691,6,,,dosećati
slikati,naslikati,na,8605,385,,,svirati
rezati,urezati,u,8605,156,,,mamiti
gušiti,prigušiti,pri,8605,20,,,sušiti
glasiti,naglasiti,na,8551,490,,,brojati
vesti,zavesti,za,8551,57,,,tišati
grejati,zagrejati,za,8551,77,,,vedriti
ceniti,proceniti,pro,8403,1157,,,njušiti
okupiti,zaokupiti,za,8221,22,,,otkriti
