глагол,частота
iznenaditi,104
priuštiti,104
spriječiti,103
prouzrokovati,103
prekršiti,103
oporaviti,103
dostizati,103
sačekati,103
povrediti,103
reciklirati,102
polaziti,102
spuštati,102
obećavati,102
omogutiti,102
poznati,101
približavati,101
osloniti,101
uklopiti,101
skočiti,101
obilovati,101
uspjeti,100
magistrirati,100
pronađiti,100
upotpuniti,99
pretpostaviti,99
zarađivati,99
aplicirati,99
trenirati,99
tragati,98
proširivati,98
isteći,98
zaboravljati,98
hodati,98
obustaviti,97
konzumirati,96
pristići,96
otežavati,96
sviđati,96
sastaviti,96
ugrađivati,96
sakriti,96
oduševiti,96
šetati,95
obilaziti,95
snabdevati,95
suprotstaviti,95
ignorisati,95
zeleniti,95
odvajati,95
koordinirati,95
nestajati,95
vežbati,94
spasti,94
zabraniti,94
preispitati,94
uništavati,94
onemogućavati,94
rečiti,93
preseliti,93
proučavati,93
upisivati,92
zapitati,92
sakupljati,92
pridavati,92
živjeti,92
sklopiti,92
ujediniti,92
zabranjivati,92
nastojiti,92
zamenjivati,91
podvućati,91
davasti,91
dopuštati,91
ratifikovati,90
skretati,90
iskazivati,90
odazvati,90
uspiti,90
obnavljati,90
pozabaviti,90
aviti,89
precizirati,89
sačinjavati,89
negirati,89
pojačavati,88
dočekovati,88
optimizovati,88
isplaćivati,88
nalagati,88
ponositi,88
puštati,88
ideti,88
zvučiti,88
temeljati,88
deleti,88
mijenjati,87
portati,87
ublažiti,87
odraziti,87
komentarisati,87
peći,86
kuvati,86
bacati,86
odabirati,86
pribaviti,86
zaštiti,86
protestovati,86
čiti,85
izgovoriti,85
sakupiti,85
objedinjavati,85
pozicionirati,85
naplatiti,84
rezervisati,84
brinati,84
gavati,84
udružiti,84
pregovarati,84
proslediti,84
ubijati,84
izbaciti,83
interesivati,83
obogatiti,83
zanemariti,83
priložiti,83
pohranjivati,82
pobeći,82
dovršiti,82
primena,81
upitati,81
jučiti,81
zabrinjavati,81
riješiti,80
poteći,80
svesti,80
smiti,80
uvećati,79
intenzivirati,79
primjenjivati,79
izjasniti,79
zagovarati,79
uzmati,79
zapamtiti,78
zateći,78
nadograditi,78
izbjeći,78
uneseti,78
produžavati,78
mučiti,78
oko,78
suditi,77
popunjavati,77
pozoveti,77
narušavati,77
demonstrirati,77
dijeti,77
premašiti,76
ustati,76
izvoziti,76
načiniti,76
proizlaziti,76
rađati,76
umirati,76
idati,76
proisticati,76
pretraživati,75
nati,75
bežati,75
otkazati,74
štampati,74
ugledati,74
dobivati,74
izučavati,74
srušiti,74
željeti,74
usaglasiti,74
potrajati,74
počneti,74
opasti,73
sastavljati,73
najavati,73
ovisiti,73
nimati,73
prevoziti,73
izračunati,73
doživiti,73
uočavati,72
ispoljavati,72
informišati,72
narediti,72
poklanjati,72
dugovati,72
pomeriti,72
detektovati,72
okružovati,72
naložiti,71
ubediti,71
kazniti,71
sastajati,71
manifestovati,71
podrazumijevati,71
obučiti,71
ponlavljati,70
uvažavati,70
obučavati,70
slagiti,70
ugati,70
starati,70
ispoštovati,70
zaslužiti,70
učvrstiti,70
oživeti,69
usporiti,69
zaustavljati,69
prekidati,69
sediti,69
izbiti,69
iziskovati,69
pokreniti,69
proticati,69
lansirati,69
ovladati,69
okruživati,69
odreći,69
uštedeti,68
odlažiti,68
pridruživati,68
nadoknađivati,68
osjetiti,68
optužiti,68
prošetati,68
uzmeti,68
izreći,68
viđati,68
propisati,68
izostati,68
sačiniti,68
izvući,67
prići,67
odavati,67
porediti,67
ometati,67
otputovati,67
izviniti,67
prevarati,67
osposobiti,67
čuo,67
pretražiti,67
zabavljati,67
odisati,67
snaći,67
hraniti,67
oboriti,66
obrisati,66
apelovati,66
dopadati,66
učimiti,66
uviditi,66
izvestiti,66
afirmisati,66
skupljati,66
proizaći,65
uvećavati,65
klikneti,65
pokreneti,65
podešavati,65
citirati,65
oduzimati,65
obračunavati,65
oštetiti,65
formulisati,64
nagraditi,64
poželiti,64
obožavati,64
oslikavati,64
skidati,64
saznavati,64
registrirati,64
razdvajati,64
apsorbovati,64
upišiti,64
zastareti,64
dopasti,64
spomenuti,64
pospešivati,64
svežiti,64
odraditi,63
ubrajati,63
idemiti,63
raspisivati,63
cena,63
surađivati,63
produbiti,63
vaniti,63
kvalifikovati,63
dokumentovati,63
zamisati,62
apelivati,62
odustajati,62
funkcionirati,62
zadovoljati,62
uvideti,62
usklađivati,62
ocijeniti,62
npr.,62
skratiti,62
setati,62
sudjelovati,62
opremiti,62
uzvratiti,62
rizikovati,62
svrstati,61
paziti,61
donijeti,61
parceti,61
dopunjivati,61
obradovati,61
provestiti,61
pregledavati,61
izrasti,61
brojiti,60
popeti,60
trgovati,60
režirati,60
pivati,60
saslušati,60
posluživati,60
diktirati,60
zadati,60
žao,60
uhapsiti,60
udariti,60
pojasniti,60
br.niti,60
nabavljati,60
izmeriti,59
svrstavati,59
udati,59
čuditi,59
tužiti,59
propuštati,59
ilustrovati,59
ustupiti,59
objediniti,59
predočiti,59
razdvojiti,59
moderirati,59
valjati,59
proslavljati,59
smeštati,59
izgovarati,59
ceniti,58
povežiti,58
uplaćivati,58
usavršiti,58
unijeti,58
zanemarivati,58
prenijeti,58
padniti,58
stojati,58
prebacivati,58
fotografisati,58
zamijeniti,58
komponovati,58
zaobići,58
sadržavati,58
tući,58
pomakniti,57
napadati,57
udvostručiti,57
crtati,57
prekrivati,57
vjerivati,57
vakcinisati,57
skinuti,57
oprobati,57
saobraćati,57
utvrđovati,57
otiti,57
opterećivati,57
nađetati,57
ispasti,57
poslušati,57
dodeti,57
rušiti,57
konsultovati,57
oprostiti,56
skrivati,56
evidentirati,56
usporavati,56
odetiti,56
proglašavati,56
posveti,56
započneti,56
crveniti,56
zamišljati,56
kretiti,56
predviditi,56
procesuirati,56
predstojati,56
pritisnuti,55
optuživati,55
ulivati,55
pripisivati,55
pojednostaviti,55
sumirati,55
disati,55
odbacovati,55
dodirivati,55
otpustiti,55
reflektovati,55
utjecati,55
rekonstruisati,55
naslediti,55
podigneti,55
zabaviti,55
uvasti,55
izvlačiti,54
poslujati,54
boliti,54
prisećati,54
tj.,54
pogoršavati,54
simbolizovati,54
ugovoriti,54
upustiti,54
uzdizati,54
zovesti,54
poveriti,54
kandidovati,54
prikažiti,54
svjedočiti,54
pucati,54
intervenisati,54
opadati,54
nastavati,53
mapirati,53
obogaćivati,53
izvučiti,53
filtrirati,53
interpretirati,53
medjati,53
propasti,53
pogodovati,53
ublažavati,53
oslabiti,53
opredeti,53
osposobljavati,52
plivati,52
startovati,52
odmoriti,52
pogrešiti,52
usuditi,52
praktikovati,52
odjaviti,52
razumjeti,52
učestati,52
odigravati,52
zasnovati,52
usloviti,52
dodirati,51
produbljivati,51
otežati,51
premašivati,51
smisliti,51
podstići,51
pišiti,51
zaostajati,51
ukidati,51
primijeniti,51
sagledavati,51
sinkronizirati,51
otkupiti,51
opuštati,51
proisteći,50
nadoknaditi,50
nazad,50
reprodukovati,50
imatti,50
upotpunjivati,50
opravdavati,50
redukovati,50
uzgajati,50
narušiti,50
transportovati,50
sortirati,50
skenirati,50
kliknuti,50
poklapati,50
zahtjevati,50
izjasti,50
terati,50
žrtvovati,50
dopreti,50
doprinijeti,49
tipkiti,49
dođiti,49
gurati,49
sušiti,49
pogoršati,49
modernizovati,49
čestići,49
hati,49
locirati,49
puniti,49
apelujati,49
tolerisati,49
šaljetiti,49
smenjivati,48
vrednovati,48
probavati,48
ispisati,48
skupiti,48
podležiti,48
čistiti,48
dočeći,48
posvesti,48
preispitovati,48
razumivati,48
sam,48
skloniti,48
pakovati,48
požeti,47
brineti,47
postaniti,47
ujedinjivati,47
uporabiti,47
skraćivati,47
premestiti,47
zloupotrebljavati,47
podučavati,47
prosleđivati,47
sklapati,46
obilježiti,46
promišljati,46
kaći,46
poduzeti,46
zaraziti,46
vileti,46
smiriti,46
dodirnuti,46
stićiti,46
preplitati,46
ilustrojati,46
posredovati,46
sirati,46
popustiti,46
uskratiti,46
popravljati,46
osporavati,46
zaživeti,46
održiti,46
širok,45
davetiti,45
mimo,45
stabilizovati,45
dotaći,45
lokati,45
faliti,45
odmarati,45
razbiti,45
ponesiti,45
pozovesti,45
podudarati,45
zagađivati,45
vređati,45
podvući,45
preferirati,44
modifikovati,44
postigneti,44
kamoliti,44
pomiriti,44
progovoriti,44
diskriminisati,44
odlagati,44
publikovati,44
zeleti,44
upariti,44
sretiti,44
okupirati,44
zadesiti,44
rezervišeti,44
hoteti,44
zaljubiti,44
ispuštati,43
automatizovati,43
dodijeliti,43
edukovati,43
konvertovati,43
lečati,43
dodjeljivati,43
naseljavati,43
prijati,43
piseti,43
prijeđiti,43
spoznati,43
sečeti,43
počniti,43
pritisneti,43
rastiti,43
podležati,43
iznenađivati,43
doživjeti,42
iphoniti,42
kažnjavati,42
pokupiti,42
suprotstavljati,42
prihvaćati,42
založiti,42
ohladiti,42
pristajati,42
žaljati,42
razmena,42
saopštvavati,42
rasporediti,42
zahvatati,41
prilaziti,41
sipati,41
grejati,41
vezati,41
ispoljiti,41
magistrati,41
revidirati,41
izjednačiti,41
izostajati,41
masagati,41
pobrinuti,41
uštediti,41
izmisliti,41
sudjelivati,41
vrijediti,41
privesti,41
udaljiti,41
pospešiti,41
pripisati,41
uvažiti,41
uznemiravati,40
zadobiti,40
nagrađivati,40
razjasniti,40
veseti,40
mirisati,40
opredeljivati,40
ceneti,40
dvati,40
izbriseti,40
zakažiti,40
ometi,40
odstupati,40
oglašavati,40
osvežiti,40
raspitati,40
primorati,40
zainteresovati,40
priključivati,40
ulepšati,40
porazgovarati,40
zaključati,40
pribavljati,40
snalaziti,40
briniti,39
proizvestiti,39
zakoračiti,39
sjediniti,39
preskočiti,39
ispitivati,39
svideti,39
kružiti,39
otključati,39
biciti,39
upititi,39
evoluirati,39
ćasti,39
primeti,39
nazoviti,39
obezbedjivati,39
hidrocentrati,39
premjestiti,39
obavijestiti,39
zapisati,39
ostaniti,38
nagovestiti,38
pretplatiti,38
utjetiti,38
pomešati,38
doseći,38
probijati,38
koordinisati,38
maći,38
dogovarati,38
otati,38
presuditi,38
dospevati,38
jačiti,38
propadati,38
izračunavati,38
proučiti,38
podnijeti,38
dopirati,38
navesiti,38
pobegniti,38
pokažiti,38
razrešiti,38
prostirati,38
darovati,38
trčati,38
narasti,38
rivasti,38
podela,38
normalizovati,38
doticati,38
cijeti,38
glas,38
preusmeriti,37
servirati,37
seliti,37
strahovati,37
izbjegavati,37
premostiti,37
užiti,37
istrajati,37
isplanirati,37
umešati,37
izjavljivati,37
nadograđivati,37
istupiti,37
ukrasiti,37
sjećati,37
gajiti,37
prebroditi,37
zapaliti,37
letiti,37
prikrivati,37
pričekati,37
pobeđivati,37
teretiti,37
prevariti,37
preovladavati,37
napišiti,37
vučiti,37
poentirati,37
obnova,37
nadovezovati,37
školivati,37
kontrolirati,37
pojašnjavati,37
priređivati,36
preispitivati,36
približati,36
popiti,36
pristizati,36
upiti,36
prokomentarisati,36
rastati,36
ukrašavati,36
preživjeti,36
smesti,36
profitirati,36
rukovati,36
pomoziti,36
razmjenjivati,36
naseliti,36
igratiti,36
jamčiti,36
sufinansirati,36
stremiti,36
definirati,36
nadahnuti,36
graničiti,36
izjašnjavati,36
izbijati,36
okreniti,36
turnir,36
diviti,35
svratiti,35
edukivati,35
resetirati,35
udarati,35
ugasti,35
izvještavati,35
posjećivati,35
prožimati,35
ukagati,35
preživljavati,35
unaprijediti,35
sijati,35
otklanjati,35
vežiti,35
prerađivati,35
oštećivati,35
osporiti,35
izglasati,35
pogotovati,35
kontrolišeti,35
zloupotrebiti,35
preokrenuti,35
ispisivati,35
uplašiti,35
podsjetiti,35
manipulisati,35
pretočiti,34
neutralisati,34
odvoditi,34
obračunati,34
migrirati,34
zaokružiti,34
zabava,34
pušiti,34
naručivati,34
topasti,34
nađati,34
pojestiti,34
uslovljavati,34
minimizirati,34
reciti,34
podvlačiti,34
pomeneti,34
reagirati,34
vretati,34
zimati,34
čuvajtiti,34
žuriti,34
provjeravati,34
ćuti,34
zastati,34
trčiti,34
zagrevati,34
uciniti,33
značati,33
klasifikovati,33
prostiti,33
preovlađivati,33
preostajati,33
vilati,33
spašavati,33
zatrebati,33
percipirati,33
bolovati,33
prenestiti,33
zapasti,33
ljutiti,33
raspoređivati,33
ventiti,33
izlečiti,33
debitovati,33
oklevati,33
upijati,33
uskraćivati,33
izgrađivati,33
pobriniti,33
navršiti,33
svetati,33
skladišti,33
vaditi,33
uviđati,33
nagoveštavati,33
vredeti,33
juriti,32
uvoziti,32
oblačiti,32
razotkrivati,32
spati,32
korigovati,32
koncentrisati,32
upoređivati,32
rotirati,32
zakazivati,32
preraditi,32
podnestiti,32
usprotiviti,32
osvetljavati,32
zlostavljati,32
demantovati,32
napajati,32
glumiti,32
odrastati,32
protumačiti,32
nadziriti,32
sankcionisati,32
vrtiti,32
duvati,32
ispostavljati,32
uveravati,32
otkucati,32
razočarati,32
ratovati,32
skiniti,32
str.n,31
kriviti,31
postarati,31
implicirati,31
začiniti,31
okarakterisati,31
identificirati,31
odgajati,31
šaliti,31
vidiš,31
učitati,31
pokvariti,31
obojati,31
osvesti,31
usuđivati,31
okreneti,31
osuda,31
dosegnuti,31
poricati,31
raširiti,31
izbacovati,31
nadmašiti,31
lažiti,31
dočarati,31
zabilježiti,30
odemoti,30
lagati,30
pobegnuti,30
