verb_latin,frequency
odgovorio,2
Ležaću,2
gledati,2
zatvaraš,2
razgovaraš,2
fali,2
sklapaju,2
spavaš,2
Radio,2
oslabio,2
Donosio,2
razduvavao,2
držao,2
kovao,2
uvodio,2
potkivao,2
valjalo,2
raditi,2
nazivali,2
rasle,2
sede,2
stanovao,2
odlazio,2
vraćao,2
hranio,2
kupovao,2
nosio,2
hodao,2
providelo,2
oblačio,2
ostala,2
obuvao,2
krpio,2
noseći,2
kretao,2
ustajali,2
govorili,2
krenuo,2
ustajati,2
budili,2
iznajmio,2
Uzeo,2
smestio,2
uzeo,2
Prošlo,2
vodila,2
dolazili,2
oblačili,2
stavljali,2
šetale,2
igrala,2
zadrhtao,2
pozvao,2
uznemirio,2
počelo,2
prekinuo,2
Doneo,2
odvijala,2
nabavio,2
dogurao,2
spremljene,2
biste,2
kupili,2
poslužujući,2
Mogu,2
pokažem,2
Donesi,2
nemam,2
dopala,2
služila,2
pohranjivane,2
reče,2
otišla,2
svršilo,2
Udari,2
cveta,2
snila,2
sleću,2
izbičevaše,2
počivao,2
vladala,2
završavati,2
upletene,2
smejali,2
beležile,2
Starili,2
Znali,2
zvali,2
Treba,2
potroši,2
mislili,2
RAZGOVARAJTE,2
držaše,2
ukrašavahu,2
skraćeno,2
počele,2
pohitaše,2
trebalo,2
istaći,2
pokazati,2
grešio,2
pričao,2
prošla,2
dogoditi,2
Razume,2
otkrijmo,2
želeo,2
otkrije,2
zvala,2
opisao,2
uverava,2
pruže,2
trajalo,2
Sešće,2
piše,2
uzeti,2
naterati,2
izgledati,2
obrađen,2
zbio,2
naziva,2
gonjen,2
naseljavao,2
objavljen,2
davao,2
publikovao,2
Zna,2
dognali,2
pomisliti,2
obrijali,2
ošišali,2
osvežili,2
umrli,2
rađali,2
brijali,2
umirali,2
tekao,2
zamisliti,2
svetlucalo,2
pozaljubljivana,2
ometalo,2
mučila,2
susretao,2
ukrašene,2
pružila,2
popio,2
izlazio,2
nosila,2
odsijavali,2
čamili,2
NEMA,2
javi,2
zalutao,2
otvoren,2
dižući,2
nasmeših,2
dadoh,2
uspela,2
čekam,2
nagoveštava,2
čujem,2
mine,2
okrećem,2
dižem,2
uživam,2
uđe,2
ugledaju,2
videle,2
očekujem,2
utonem,2
daje,2
služi,2
pomuči,2
oženio,2
njiše,2
osipa,2
zamutio,2
suzio,2
upio,2
zuji,2
podilazi,2
viče,2
plovi,2
sjedi,2
pobijelio,2
nazire,2
topi,2
gleda,2
očekuje,2
makne,2
pokrene,2
ostane,2
umore,2
zatvara,2
okreće,2
potsjeća,2
bori,2
oživi,2
okrene,2
prene,2
zameo,2
oduzeo,2
iščezlo,2
vire,2
proprćena,2
meša,2
vlada,2
druguje,2
zaustavili,2
remeti,2
sastavljaju,2
ostale,2
gunđa,2
sabirao,2
trošeći,2
čuvao,2
grdi,2
naloži,2
događa,2
pregrađena,2
vidi.,2
zašlo,2
vraćaju,2
nosite,2
Razmišlja,2
shvatam,2
kalio,2
dolazio,2
odgovara,2
ustane,2
Podbuo,2
preteći,2
pogleda,2
prodirale,2
podigoše,2
posmatrala,2
sedite,2
mahnu,2
sedoše,2
Očice,2
usretsrediše,2
dođite,2
odgurnu,2
priđe,2
puši,2
odmileo,2
obasjao,2
pokrio,2
ostavljajući,2
nadnela,2
zabeležio,2
pokušavam,2
zabeležim,2
prošlo,2
nisam,2
zapisala,2
Moram,2
pomiriti,2
nađem,2
veli,2
liče,2
leti,2
obnevidela,2
gaziti,2
ulovi,2
preseca,2
liči,2
Možete,2
čujete,2
desiti,2
zanoćite,2
ispričaju,2
kazuju,2
protiče,2
proširuju,2
nastaje,2
pravi,2
ublizu,2
izgledaju,2
zatvoren,2
izvire,2
razmiču,2
stoji,2
posmatrano,2
teče,2
razliva,2
počinjući,2
nalazi,2
tvrditi,2
uzevši,2
ceni,2
cenimo,2
boli,2
zamišljamo,2
bismo,2
trpeli,2
smatramo,2
uveličava,2
postaje,2
užasavali,2
snaći,2
serazlikuju,2
zamišljali,2
umire,2
ljulja,2
ruši,2
uspostavlja,2
nreslagati,2
postojati,2
sećaju,2
izgovara,2
zaboravljena,2
uklopljene,2
posedeti,2
ustaje,2
izlizane,2
iskrivljene,2
srasle,2
postale,2
jest,2
sastaju,2
prepušteni,2
usudio,2
sedne,2
pije,2
zvalo,2
pretreseno,2
zaključeno,2
rešeno,2
javlja,2
donosi,2
jeste,2
Otpadaju,2
uslovljava,2
reći,2
očekivati,2
prima,2
strada,2
dejstvuje,2
ostaje,2
Probija,2
Kaže,2
pritisne,2
sluša,2
zalutati,2
stradati,2
spomenuto,2
seti,2
prelazi,2
dodamo,2
Dođe,2
zamolimo,2
sačuva,2
molimo,2
mimoiđe,2
moliti,2
vovedi,2
izbavi,2
smeta,2
dodirne,2
ubraja,2
nađeno,2
klasifikovano,2
imaju,2
usuđuje,2
spomenuti,2
recimo,2
brani,2
opstati,2
opravdati,2
oseća,2
Boji,2
pohvasta,2
boji,2
izživeo,2
izopačio,2
istovetovao,2
data,2
čuva,2
proći,2
izišlo,2
dato,2
ostalo,2
hrani,2
posrnu,2
pade,2
trajala,2
dalo,2
iziđe,2
nastavi,2
ostade,2
stišano,2
odražava,2
Živeći,2
zatočen,2
setio,2
odvode,2
Umrli,2
opervaze,2
podignu,2
odveli,2
Oda,2
zjapile,2
kostrešile,2
osušena,2
protezao,2
povuče,2
videli,2
olinjali,2
zverala,2
znajući,2
zabave,2
završilo,2
klikću,2
klize,2
miriše,2
viču,2
lezi,2
smeši,2
kažete,2
došla,2
podigli,2
prođoše,2
svira,2
Maknuše,2
provirivale,2
počeše,2
kupe,2
gađaju,2
pogodilo,2
izlazile,2
tuku,2
maše,2
postade,2
gada,2
sakupilo,2
nabujali,2
odneli,2
podrovali,2
gradili,2
opravljali,2
putovali,2
zaustavljali,2
dogradi,2
oprave,2
škripali,2
odjekivali,2
zaudarao,2
klali,2
sušile,2
razapete,2
zapela,2
putovao,2
išli,2
Otvorili,2
Pronosili,2
donose,2
prolazi,2
došlo,2
ljubim,2
hoće,2
uče,2
stide,2
dozivaju,2
pružaju,2
voli,2
udubila,2
eamo,2
hoćete,2
gube,2
izlaze,2
dižu,2
pobeđuju,2
čujemo,2
zove,2
drži,2
počiljemo,2
verovati,2
ulazimo,2
postajemo,2
razbuktati,2
odupiru,2
moraju,2
umreti,2
umiru,2
ubijaju,2
možemo,2
moramo,2
egzaltiraju,2
opravdana,2
postali,2
utučeno,2
potkradaju,2
obilazi,2
trošen,2
preliven,2
zgrčen,2
počišćen,2
kotrlja,2
prošao,2
oborio,2
zakopao,2
uvenuo,2
razapeli,2
otpadaju,2
zabodena,2
nakostrešila,2
stegla,2
pada,2
otkucava,2
Došlo,2
donelo,2
ućutka,2
prikrivaju,2
smeju,2
žuri,2
spavaju,2
odmaraju,2
zanemaruju,2
vole,2
igraju,2
probija,2
ježi,2
počinje,2
skraćene,2
prekinute,2
umrtvljenih,2
obamirati,2
prsnu,2
zbija,2
javljaju,2
ostanu,2
razduvati,2
otrovati,2
završiti,2
zakliktati,2
padaju,2
išle,2
izgubiti,2
prezvrjati,2
nesmisao,2
Čuvaj,1
pouči,1
kažeš,1
poumirali,1
pomrli,1
