type,verb,frequency,prefix,base_verb,derivatives_count
DERIVATIVE,pokazati,1098,po,kazati,
DERIVATIVE,ukazati,560,u,kazati,
DERIVATIVE,prikazati,294,pri,kazati,
DERIVATIVE,dokazati,147,do,kazati,
DERIVATIVE,zakazati,53,za,kazati,
DERIVATIVE,otkazati,49,ot,kazati,
DERIVATIVE,okazati,2,o,kazati,
DERIVATIVE,nakazati,1,na,kazati,
DERIVATIVE,prekazati,1,pre,kazati,
BASE,kupiti,395,,kupiti,9
DERIVATIVE,okupiti,283,o,kupiti,
DERIVATIVE,prikupiti,108,pri,kupiti,
DERIVATIVE,sakupiti,41,sa,kupiti,
DERIVATIVE,skupiti,25,s,kupiti,
DERIVATIVE,otkupiti,24,ot,kupiti,
DERIVATIVE,pokupiti,20,po,kupiti,
DERIVATIVE,zakupiti,17,za,kupiti,
DERIVATIVE,nakupiti,5,na,kupiti,
DERIVATIVE,izkupiti,1,iz,kupiti,
BASE,uzeti,218,,uzeti,9
DERIVATIVE,preuzeti,516,pre,uzeti,
DERIVATIVE,preduzeti,265,pred,uzeti,
DERIVATIVE,zauzeti,91,za,uzeti,
DERIVATIVE,oduzeti,70,od,uzeti,
DERIVATIVE,poduzeti,27,pod,uzeti,
DERIVATIVE,izuzeti,13,iz,uzeti,
DERIVATIVE,pouzeti,8,po,uzeti,
DERIVATIVE,obuzeti,5,ob,uzeti,
DERIVATIVE,pruzeti,4,pr,uzeti,
BASE,vezati,26,,vezati,9
DERIVATIVE,povezati,139,po,vezati,
DERIVATIVE,uvezati,5,u,vezati,
DERIVATIVE,obvezati,4,ob,vezati,
DERIVATIVE,odvezati,4,od,vezati,
DERIVATIVE,izvezati,3,iz,vezati,
DERIVATIVE,privezati,2,pri,vezati,
DERIVATIVE,prevezati,2,pre,vezati,
DERIVATIVE,predvezati,1,pred,vezati,
DERIVATIVE,zavezati,1,za,vezati,
BASE,leteti,3,,leteti,9
DERIVATIVE,odleteti,5,od,leteti,
DERIVATIVE,naleteti,4,na,leteti,
DERIVATIVE,poleteti,4,po,leteti,
DERIVATIVE,izleteti,3,iz,leteti,
DERIVATIVE,uleteti,2,u,leteti,
DERIVATIVE,uzleteti,2,uz,leteti,
DERIVATIVE,sleteti,2,s,leteti,
DERIVATIVE,zaleteti,1,za,leteti,
DERIVATIVE,proleteti,1,pro,leteti,
BASE,vijati,2,,vijati,9
DERIVATIVE,razvijati,630,raz,vijati,
DERIVATIVE,odvijati,306,od,vijati,
DERIVATIVE,navijati,11,na,vijati,
DERIVATIVE,nadvijati,5,nad,vijati,
DERIVATIVE,savijati,4,sa,vijati,
DERIVATIVE,zavijati,3,za,vijati,
DERIVATIVE,uvijati,2,u,vijati,
DERIVATIVE,dovijati,2,do,vijati,
DERIVATIVE,povijati,1,po,vijati,
BASE,reći,2822,,reći,8
DERIVATIVE,izreći,35,iz,reći,
DERIVATIVE,odreći,34,od,reći,
DERIVATIVE,poreći,6,po,reći,
DERIVATIVE,vreći,5,v,reći,
DERIVATIVE,sreći,2,s,reći,
DERIVATIVE,ureći,2,u,reći,
DERIVATIVE,proreći,1,pro,reći,
DERIVATIVE,zareći,1,za,reći,
BASE,živeti,1216,,živeti,8
DERIVATIVE,doživeti,203,do,živeti,
DERIVATIVE,preživeti,154,pre,živeti,
DERIVATIVE,oživeti,26,o,živeti,
DERIVATIVE,zaživeti,13,za,živeti,
DERIVATIVE,proživeti,11,pro,živeti,
DERIVATIVE,nadživeti,2,nad,živeti,
DERIVATIVE,poživeti,1,po,živeti,
DERIVATIVE,saživeti,1,sa,živeti,
BASE,misliti,921,,misliti,8
DERIVATIVE,zamisliti,156,za,misliti,
DERIVATIVE,pomisliti,98,po,misliti,
DERIVATIVE,razmisliti,87,raz,misliti,
DERIVATIVE,smisliti,19,s,misliti,
DERIVATIVE,promisliti,11,pro,misliti,
DERIVATIVE,izmisliti,10,iz,misliti,
DERIVATIVE,domisliti,1,do,misliti,
DERIVATIVE,umisliti,1,u,misliti,
BASE,davati,791,,davati,8
DERIVATIVE,prodavati,259,pro,davati,
DERIVATIVE,dodavati,226,do,davati,
DERIVATIVE,izdavati,150,iz,davati,
DERIVATIVE,predavati,99,pre,davati,
DERIVATIVE,pridavati,40,pri,davati,
DERIVATIVE,odavati,30,o,davati,
DERIVATIVE,zadavati,4,za,davati,
DERIVATIVE,udavati,1,u,davati,
BASE,ići,644,,ići,8
DERIVATIVE,otići,335,ot,ići,
DERIVATIVE,obići,170,ob,ići,
DERIVATIVE,naići,92,na,ići,
DERIVATIVE,prići,37,pr,ići,
DERIVATIVE,razići,9,raz,ići,
DERIVATIVE,sići,6,s,ići,
DERIVATIVE,izići,6,iz,ići,
DERIVATIVE,vići,5,v,ići,
BASE,ticati,471,,ticati,8
DERIVATIVE,uticati,849,u,ticati,
DERIVATIVE,poticati,230,po,ticati,
DERIVATIVE,sticati,185,s,ticati,
DERIVATIVE,proticati,30,pro,ticati,
DERIVATIVE,doticati,18,do,ticati,
DERIVATIVE,oticati,5,o,ticati,
DERIVATIVE,zaticati,3,za,ticati,
DERIVATIVE,preticati,1,pre,ticati,
BASE,računati,427,,računati,8
DERIVATIVE,izračunati,40,iz,računati,
DERIVATIVE,obračunati,15,ob,računati,
DERIVATIVE,uračunati,13,u,računati,
DERIVATIVE,proračunati,3,pro,računati,
DERIVATIVE,zaračunati,2,za,računati,
DERIVATIVE,preračunati,2,pre,računati,
DERIVATIVE,razračunati,1,raz,računati,
DERIVATIVE,predračunati,1,pred,računati,
BASE,graditi,368,,graditi,8
DERIVATIVE,izgraditi,303,iz,graditi,
DERIVATIVE,ugraditi,53,u,graditi,
DERIVATIVE,sagraditi,46,sa,graditi,
DERIVATIVE,nagraditi,31,na,graditi,
DERIVATIVE,ograditi,8,o,graditi,
DERIVATIVE,razgraditi,5,raz,graditi,
DERIVATIVE,pregraditi,1,pre,graditi,
DERIVATIVE,nadgraditi,1,nad,graditi,
BASE,stati,141,,stati,8
DERIVATIVE,postati,1786,po,stati,
DERIVATIVE,ostati,816,o,stati,
DERIVATIVE,nastati,570,na,stati,
DERIVATIVE,sastati,322,sa,stati,
DERIVATIVE,prestati,217,pre,stati,
DERIVATIVE,pristati,46,pri,stati,
DERIVATIVE,ustati,35,u,stati,
DERIVATIVE,zastati,18,za,stati,
BASE,teći,92,,teći,8
DERIVATIVE,steći,421,s,teći,
DERIVATIVE,proteći,95,pro,teći,
DERIVATIVE,poteći,55,po,teći,
DERIVATIVE,zateći,41,za,teći,
DERIVATIVE,priteći,6,pri,teći,
DERIVATIVE,preteći,5,pre,teći,
DERIVATIVE,oteći,2,o,teći,
DERIVATIVE,uteći,1,u,teći,
BASE,baciti,55,,baciti,8
DERIVATIVE,prebaciti,84,pre,baciti,
DERIVATIVE,odbaciti,78,od,baciti,
DERIVATIVE,ubaciti,44,u,baciti,
DERIVATIVE,izbaciti,31,iz,baciti,
DERIVATIVE,nabaciti,5,na,baciti,
DERIVATIVE,zabaciti,2,za,baciti,
DERIVATIVE,dobaciti,2,do,baciti,
DERIVATIVE,podbaciti,1,pod,baciti,
BASE,terati,27,,terati,8
DERIVATIVE,naterati,55,na,terati,
DERIVATIVE,oterati,8,o,terati,
DERIVATIVE,proterati,6,pro,terati,
DERIVATIVE,preterati,2,pre,terati,
DERIVATIVE,doterati,2,do,terati,
DERIVATIVE,priterati,1,pri,terati,
DERIVATIVE,rasterati,1,ras,terati,
DERIVATIVE,uterati,1,u,terati,
BASE,maći,22,,maći,8
DERIVATIVE,odmaći,10,od,maći,
DERIVATIVE,izmaći,5,iz,maći,
DERIVATIVE,pomaći,4,po,maći,
DERIVATIVE,promaći,4,pro,maći,
DERIVATIVE,primaći,2,pri,maći,
DERIVATIVE,zamaći,2,za,maći,
DERIVATIVE,umaći,1,u,maći,
DERIVATIVE,smaći,1,s,maći,
BASE,mati,7,,mati,8
DERIVATIVE,primati,215,pri,mati,
DERIVATIVE,uzmati,25,uz,mati,
DERIVATIVE,premati,4,pre,mati,
DERIVATIVE,umati,3,u,mati,
DERIVATIVE,omati,2,o,mati,
DERIVATIVE,smati,2,s,mati,
DERIVATIVE,namati,1,na,mati,
DERIVATIVE,izmati,1,iz,mati,
BASE,seći,2,,seći,8
DERIVATIVE,doseći,23,do,seći,
DERIVATIVE,oseći,6,o,seći,
DERIVATIVE,poseći,4,po,seći,
DERIVATIVE,useći,3,u,seći,
DERIVATIVE,odseći,3,od,seći,
DERIVATIVE,preseći,3,pre,seći,
DERIVATIVE,podseći,2,pod,seći,
DERIVATIVE,saseći,2,sa,seći,
BASE,kidati,2,,kidati,8
DERIVATIVE,ukidati,35,u,kidati,
DERIVATIVE,prekidati,24,pre,kidati,
DERIVATIVE,skidati,21,s,kidati,
DERIVATIVE,raskidati,6,ras,kidati,
DERIVATIVE,pokidati,3,po,kidati,
DERIVATIVE,dokidati,2,do,kidati,
DERIVATIVE,otkidati,2,ot,kidati,
DERIVATIVE,okidati,1,o,kidati,
BASE,niti,1,,niti,8
DERIVATIVE,doniti,13,do,niti,
DERIVATIVE,podniti,11,pod,niti,
DERIVATIVE,sniti,3,s,niti,
DERIVATIVE,izniti,3,iz,niti,
DERIVATIVE,odniti,3,od,niti,
DERIVATIVE,preniti,1,pre,niti,
DERIVATIVE,naniti,1,na,niti,
DERIVATIVE,razniti,1,raz,niti,
BASE,govoriti,1638,,govoriti,7
DERIVATIVE,odgovoriti,376,od,govoriti,
DERIVATIVE,dogovoriti,114,do,govoriti,
DERIVATIVE,izgovoriti,44,iz,govoriti,
DERIVATIVE,progovoriti,25,pro,govoriti,
DERIVATIVE,ugovoriti,23,u,govoriti,
DERIVATIVE,nagovoriti,4,na,govoriti,
DERIVATIVE,prigovoriti,2,pri,govoriti,
BASE,baviti,1469,,baviti,7
DERIVATIVE,obaviti,385,o,baviti,
DERIVATIVE,nabaviti,116,na,baviti,
DERIVATIVE,pribaviti,46,pri,baviti,
DERIVATIVE,zabaviti,32,za,baviti,
DERIVATIVE,izbaviti,6,iz,baviti,
DERIVATIVE,dobaviti,1,do,baviti,
DERIVATIVE,probaviti,1,pro,baviti,
BASE,vršiti,770,,vršiti,7
DERIVATIVE,završiti,810,za,vršiti,
DERIVATIVE,izvršiti,461,iz,vršiti,
DERIVATIVE,dovršiti,51,do,vršiti,
DERIVATIVE,navršiti,15,na,vršiti,
DERIVATIVE,površiti,3,po,vršiti,
DERIVATIVE,prevršiti,1,pre,vršiti,
DERIVATIVE,savršiti,1,sa,vršiti,
BASE,viditi,255,,viditi,7
DERIVATIVE,uviditi,32,u,viditi,
DERIVATIVE,predviditi,27,pred,viditi,
DERIVATIVE,sviditi,4,s,viditi,
DERIVATIVE,zaviditi,2,za,viditi,
DERIVATIVE,izviditi,2,iz,viditi,
DERIVATIVE,previditi,1,pre,viditi,
DERIVATIVE,providiti,1,pro,viditi,
BASE,praviti,255,,praviti,7
DERIVATIVE,napraviti,817,na,praviti,
DERIVATIVE,popraviti,79,po,praviti,
DERIVATIVE,prepraviti,4,pre,praviti,
DERIVATIVE,opraviti,2,o,praviti,
DERIVATIVE,pripraviti,2,pri,praviti,
DERIVATIVE,upraviti,1,u,praviti,
DERIVATIVE,raspraviti,1,ras,praviti,
BASE,zvati,247,,zvati,7
DERIVATIVE,pozvati,326,po,zvati,
DERIVATIVE,sazvati,140,sa,zvati,
DERIVATIVE,nazvati,99,na,zvati,
DERIVATIVE,prozvati,7,pro,zvati,
DERIVATIVE,prizvati,4,pri,zvati,
DERIVATIVE,dozvati,3,do,zvati,
DERIVATIVE,zazvati,1,za,zvati,
BASE,učiti,238,,učiti,7
DERIVATIVE,naučiti,400,na,učiti,
DERIVATIVE,obučiti,31,ob,učiti,
DERIVATIVE,proučiti,29,pro,učiti,
DERIVATIVE,vučiti,19,v,učiti,
DERIVATIVE,poučiti,4,po,učiti,
DERIVATIVE,podučiti,3,pod,učiti,
DERIVATIVE,izučiti,2,iz,učiti,
BASE,stavljati,221,,stavljati,7
DERIVATIVE,predstavljati,2675,pred,stavljati,
DERIVATIVE,postavljati,386,po,stavljati,
DERIVATIVE,nastavljati,385,na,stavljati,
DERIVATIVE,ostavljati,156,o,stavljati,
DERIVATIVE,dostavljati,110,do,stavljati,
DERIVATIVE,sastavljati,26,sa,stavljati,
DERIVATIVE,prestavljati,3,pre,stavljati,
BASE,uzimati,173,,uzimati,7
DERIVATIVE,zauzimati,161,za,uzimati,
DERIVATIVE,preuzimati,139,pre,uzimati,
DERIVATIVE,preduzimati,99,pred,uzimati,
DERIVATIVE,oduzimati,41,od,uzimati,
DERIVATIVE,poduzimati,9,pod,uzimati,
DERIVATIVE,izuzimati,5,iz,uzimati,
DERIVATIVE,obuzimati,2,ob,uzimati,
BASE,meriti,121,,meriti,7
DERIVATIVE,pomeriti,50,po,meriti,
DERIVATIVE,izmeriti,21,iz,meriti,
DERIVATIVE,odmeriti,6,od,meriti,
DERIVATIVE,zameriti,5,za,meriti,
DERIVATIVE,nameriti,4,na,meriti,
DERIVATIVE,razmeriti,2,raz,meriti,
DERIVATIVE,primeriti,1,pri,meriti,
BASE,stupati,48,,stupati,7
DERIVATIVE,nastupati,164,na,stupati,
DERIVATIVE,zastupati,107,za,stupati,
DERIVATIVE,postupati,95,po,stupati,
DERIVATIVE,pristupati,58,pri,stupati,
DERIVATIVE,odstupati,23,od,stupati,
DERIVATIVE,ustupati,7,u,stupati,
DERIVATIVE,prestupati,1,pre,stupati,
BASE,puniti,27,,puniti,7
DERIVATIVE,popuniti,123,po,puniti,
DERIVATIVE,napuniti,51,na,puniti,
DERIVATIVE,dopuniti,44,do,puniti,
DERIVATIVE,prepuniti,4,pre,puniti,
DERIVATIVE,sapuniti,1,sa,puniti,
DERIVATIVE,podpuniti,1,pod,puniti,
DERIVATIVE,spuniti,1,s,puniti,
BASE,letiti,22,,letiti,7
DERIVATIVE,uletiti,3,u,letiti,
DERIVATIVE,sletiti,3,s,letiti,
