type,verb,frequency,prefix,base_verb,derivatives_count
DERIVATIVE,upoznati,815,u,poznati,
DERIVATIVE,prepoznati,353,pre,poznati,
DERIVATIVE,spoznati,26,s,poznati,
DERIVATIVE,raspoznati,3,ras,poznati,
BASE,viđati,36,,viđati,4
DERIVATIVE,predviđati,243,pred,viđati,
DERIVATIVE,sviđati,38,s,viđati,
DERIVATIVE,uviđati,15,u,viđati,
DERIVATIVE,previđati,9,pre,viđati,
BASE,disati,31,,disati,4
DERIVATIVE,odisati,46,o,disati,
DERIVATIVE,udisati,17,u,disati,
DERIVATIVE,zadisati,1,za,disati,
DERIVATIVE,izdisati,1,iz,disati,
BASE,hraniti,29,,hraniti,4
DERIVATIVE,pohraniti,17,po,hraniti,
DERIVATIVE,nahraniti,7,na,hraniti,
DERIVATIVE,sahraniti,6,sa,hraniti,
DERIVATIVE,prehraniti,3,pre,hraniti,
BASE,nati,29,,nati,4
DERIVATIVE,snati,1,s,nati,
DERIVATIVE,nanati,1,na,nati,
DERIVATIVE,zanati,1,za,nati,
DERIVATIVE,iznati,1,iz,nati,
BASE,paziti,28,,paziti,4
DERIVATIVE,zapaziti,12,za,paziti,
DERIVATIVE,opaziti,3,o,paziti,
DERIVATIVE,spaziti,2,s,paziti,
DERIVATIVE,pripaziti,2,pri,paziti,
BASE,ceniti,27,,ceniti,4
DERIVATIVE,oceniti,342,o,ceniti,
DERIVATIVE,proceniti,108,pro,ceniti,
DERIVATIVE,preceniti,1,pre,ceniti,
DERIVATIVE,poceniti,1,po,ceniti,
BASE,čistiti,22,,čistiti,4
DERIVATIVE,očistiti,69,o,čistiti,
DERIVATIVE,pročistiti,5,pro,čistiti,
DERIVATIVE,počistiti,4,po,čistiti,
DERIVATIVE,prečistiti,1,pre,čistiti,
BASE,pivati,20,,pivati,4
DERIVATIVE,popivati,14,po,pivati,
DERIVATIVE,upivati,4,u,pivati,
DERIVATIVE,napivati,3,na,pivati,
DERIVATIVE,opivati,1,o,pivati,
BASE,sjetiti,18,,sjetiti,4
DERIVATIVE,posjetiti,131,po,sjetiti,
DERIVATIVE,osjetiti,28,o,sjetiti,
DERIVATIVE,podsjetiti,14,pod,sjetiti,
DERIVATIVE,prisjetiti,2,pri,sjetiti,
BASE,boliti,15,,boliti,4
DERIVATIVE,razboliti,5,raz,boliti,
DERIVATIVE,oboliti,3,o,boliti,
DERIVATIVE,obezboliti,1,obez,boliti,
DERIVATIVE,uboliti,1,u,boliti,
BASE,grejati,15,,grejati,4
DERIVATIVE,zagrejati,10,za,grejati,
DERIVATIVE,ugrejati,6,u,grejati,
DERIVATIVE,podgrejati,2,pod,grejati,
DERIVATIVE,pregrejati,1,pre,grejati,
BASE,hvatati,12,,hvatati,4
DERIVATIVE,prihvatati,192,pri,hvatati,
DERIVATIVE,shvatati,114,s,hvatati,
DERIVATIVE,zahvatati,14,za,hvatati,
DERIVATIVE,uhvatati,1,u,hvatati,
BASE,hvaliti,11,,hvaliti,4
DERIVATIVE,zahvaliti,300,za,hvaliti,
DERIVATIVE,pohvaliti,80,po,hvaliti,
DERIVATIVE,nahvaliti,1,na,hvaliti,
DERIVATIVE,ohvaliti,1,o,hvaliti,
BASE,tjerati,10,,tjerati,4
DERIVATIVE,natjerati,11,na,tjerati,
DERIVATIVE,protjerati,2,pro,tjerati,
DERIVATIVE,otjerati,2,o,tjerati,
DERIVATIVE,rastjerati,1,ras,tjerati,
BASE,gađati,10,,gađati,4
DERIVATIVE,događati,88,do,gađati,
DERIVATIVE,pogađati,66,po,gađati,
DERIVATIVE,odgađati,4,od,gađati,
DERIVATIVE,nagađati,2,na,gađati,
BASE,mirovati,10,,mirovati,4
DERIVATIVE,umirovati,15,u,mirovati,
DERIVATIVE,smirovati,13,s,mirovati,
DERIVATIVE,izmirovati,6,iz,mirovati,
DERIVATIVE,podmirovati,1,pod,mirovati,
BASE,dirati,9,,dirati,4
DERIVATIVE,dodirati,29,do,dirati,
DERIVATIVE,zadirati,9,za,dirati,
DERIVATIVE,prodirati,6,pro,dirati,
DERIVATIVE,nadirati,1,na,dirati,
BASE,variti,8,,variti,4
DERIVATIVE,prevariti,12,pre,variti,
DERIVATIVE,svariti,4,s,variti,
DERIVATIVE,zavariti,1,za,variti,
DERIVATIVE,otvariti,1,ot,variti,
BASE,dići,7,,dići,4
DERIVATIVE,podići,290,po,dići,
DERIVATIVE,uzdići,3,uz,dići,
DERIVATIVE,izdići,2,iz,dići,
DERIVATIVE,nadići,1,na,dići,
BASE,miješati,7,,miješati,4
DERIVATIVE,izmiješati,2,iz,miješati,
DERIVATIVE,umiješati,2,u,miješati,
DERIVATIVE,promiješati,1,pro,miješati,
DERIVATIVE,pomiješati,1,po,miješati,
BASE,mjeriti,7,,mjeriti,4
DERIVATIVE,izmjeriti,9,iz,mjeriti,
DERIVATIVE,pomjeriti,1,po,mjeriti,
DERIVATIVE,odmjeriti,1,od,mjeriti,
DERIVATIVE,zamjeriti,1,za,mjeriti,
BASE,lučiti,6,,lučiti,4
DERIVATIVE,odlučiti,686,od,lučiti,
DERIVATIVE,razlučiti,4,raz,lučiti,
DERIVATIVE,polučiti,1,po,lučiti,
DERIVATIVE,izlučiti,1,iz,lučiti,
BASE,dužiti,6,,dužiti,4
DERIVATIVE,produžiti,83,pro,dužiti,
DERIVATIVE,zadužiti,16,za,dužiti,
DERIVATIVE,odužiti,8,o,dužiti,
DERIVATIVE,pridužiti,2,pri,dužiti,
BASE,taći,5,,taći,4
DERIVATIVE,dotaći,20,do,taći,
DERIVATIVE,otaći,1,o,taći,
DERIVATIVE,potaći,1,po,taći,
DERIVATIVE,staći,1,s,taći,
BASE,goriti,5,,goriti,4
DERIVATIVE,zagoriti,2,za,goriti,
DERIVATIVE,izgoriti,1,iz,goriti,
DERIVATIVE,sagoriti,1,sa,goriti,
DERIVATIVE,odgoriti,1,od,goriti,
BASE,žiti,4,,žiti,4
DERIVATIVE,užiti,20,u,žiti,
DERIVATIVE,pržiti,12,pr,žiti,
DERIVATIVE,premažiti,8,prema,žiti,
DERIVATIVE,sažiti,2,sa,žiti,
BASE,čati,4,,čati,4
DERIVATIVE,pričati,387,pri,čati,
DERIVATIVE,očati,3,o,čati,
DERIVATIVE,načati,2,na,čati,
DERIVATIVE,prečati,2,pre,čati,
BASE,goditi,4,,goditi,4
DERIVATIVE,dogoditi,258,do,goditi,
DERIVATIVE,pogoditi,85,po,goditi,
DERIVATIVE,ugoditi,6,u,goditi,
DERIVATIVE,odgoditi,4,od,goditi,
BASE,iti,4,,iti,4
DERIVATIVE,protiviti,71,protiv,iti,
DERIVATIVE,naiti,10,na,iti,
DERIVATIVE,siti,9,s,iti,
DERIVATIVE,rasiti,1,ras,iti,
BASE,jasti,4,,jasti,4
DERIVATIVE,izjasti,24,iz,jasti,
DERIVATIVE,objasti,20,ob,jasti,
DERIVATIVE,prijasti,2,pri,jasti,
DERIVATIVE,razjasti,1,raz,jasti,
BASE,magati,3,,magati,4
DERIVATIVE,pomagati,852,po,magati,
DERIVATIVE,premagati,4,pre,magati,
DERIVATIVE,namagati,2,na,magati,
DERIVATIVE,odmagati,1,od,magati,
BASE,gaziti,3,,gaziti,4
DERIVATIVE,pregaziti,4,pre,gaziti,
DERIVATIVE,pogaziti,2,po,gaziti,
DERIVATIVE,zagaziti,2,za,gaziti,
DERIVATIVE,nagaziti,1,na,gaziti,
BASE,tresati,3,,tresati,4
DERIVATIVE,potresati,8,po,tresati,
DERIVATIVE,pretresati,3,pre,tresati,
DERIVATIVE,otresati,2,o,tresati,
DERIVATIVE,stresati,1,s,tresati,
BASE,šivati,3,,šivati,4
DERIVATIVE,premašivati,19,prema,šivati,
DERIVATIVE,sašivati,2,sa,šivati,
DERIVATIVE,ušivati,1,u,šivati,
DERIVATIVE,zašivati,1,za,šivati,
BASE,koriti,2,,koriti,4
DERIVATIVE,pokoriti,5,po,koriti,
DERIVATIVE,ukoriti,2,u,koriti,
DERIVATIVE,skoriti,1,s,koriti,
DERIVATIVE,prekoriti,1,pre,koriti,
BASE,titi,2,,titi,4
DERIVATIVE,pretiti,90,pre,titi,
DERIVATIVE,otiti,24,o,titi,
DERIVATIVE,rastiti,16,ras,titi,
DERIVATIVE,prititi,16,pri,titi,
BASE,dubiti,2,,dubiti,4
DERIVATIVE,produbiti,19,pro,dubiti,
DERIVATIVE,zadubiti,2,za,dubiti,
DERIVATIVE,udubiti,1,u,dubiti,
DERIVATIVE,izdubiti,1,iz,dubiti,
BASE,sedati,2,,sedati,4
DERIVATIVE,odsedati,4,od,sedati,
DERIVATIVE,zasedati,4,za,sedati,
DERIVATIVE,presedati,2,pre,sedati,
DERIVATIVE,nasedati,1,na,sedati,
BASE,turati,2,,turati,4
DERIVATIVE,rasturati,2,ras,turati,
DERIVATIVE,naturati,1,na,turati,
DERIVATIVE,preturati,1,pre,turati,
DERIVATIVE,poturati,1,po,turati,
BASE,misati,1,,misati,4
DERIVATIVE,zamisati,20,za,misati,
DERIVATIVE,pomisati,13,po,misati,
DERIVATIVE,promisati,2,pro,misati,
DERIVATIVE,primisati,1,pri,misati,
BASE,makniti,1,,makniti,4
DERIVATIVE,pomakniti,30,po,makniti,
DERIVATIVE,razmakniti,1,raz,makniti,
DERIVATIVE,odmakniti,1,od,makniti,
DERIVATIVE,promakniti,1,pro,makniti,
BASE,veriti,1,,veriti,4
DERIVATIVE,proveriti,191,pro,veriti,
DERIVATIVE,uveriti,113,u,veriti,
DERIVATIVE,poveriti,28,po,veriti,
DERIVATIVE,overiti,17,o,veriti,
BASE,čeći,1,,čeći,4
DERIVATIVE,dočeći,36,do,čeći,
DERIVATIVE,učeći,7,u,čeći,
DERIVATIVE,sačeći,3,sa,čeći,
DERIVATIVE,počeći,3,po,čeći,
BASE,mazati,1,,mazati,4
DERIVATIVE,premazati,9,pre,mazati,
DERIVATIVE,namazati,6,na,mazati,
DERIVATIVE,podmazati,2,pod,mazati,
DERIVATIVE,razmazati,1,raz,mazati,
BASE,trpati,1,,trpati,4
DERIVATIVE,strpati,4,s,trpati,
DERIVATIVE,zatrpati,2,za,trpati,
DERIVATIVE,pretrpati,2,pre,trpati,
DERIVATIVE,natrpati,1,na,trpati,
BASE,kačiti,1,,kačiti,4
DERIVATIVE,okačiti,8,o,kačiti,
DERIVATIVE,zakačiti,6,za,kačiti,
DERIVATIVE,otkačiti,1,ot,kačiti,
DERIVATIVE,prikačiti,1,pri,kačiti,
BASE,pastiti,1,,pastiti,4
DERIVATIVE,opastiti,3,o,pastiti,
DERIVATIVE,propastiti,3,pro,pastiti,
DERIVATIVE,raspastiti,2,ras,pastiti,
DERIVATIVE,prepastiti,1,pre,pastiti,
BASE,oriti,1,,oriti,4
DERIVATIVE,razoriti,9,raz,oriti,
DERIVATIVE,prioriti,3,pri,oriti,
DERIVATIVE,zaoriti,2,za,oriti,
DERIVATIVE,uzoriti,1,uz,oriti,
BASE,teti,1,,teti,4
DERIVATIVE,steti,7,s,teti,
DERIVATIVE,oteti,4,o,teti,
DERIVATIVE,rasteti,2,ras,teti,
DERIVATIVE,zateti,1,za,teti,
BASE,ljati,1,,ljati,4
DERIVATIVE,prljati,2,pr,ljati,
DERIVATIVE,doljati,1,do,ljati,
DERIVATIVE,vljati,1,v,ljati,
DERIVATIVE,poljati,1,po,ljati,
BASE,goreti,1,,goreti,4
DERIVATIVE,izgoreti,9,iz,goreti,
DERIVATIVE,sagoreti,2,sa,goreti,
DERIVATIVE,pregoreti,1,pre,goreti,
DERIVATIVE,nagoreti,1,na,goreti,
BASE,dobiti,2440,,dobiti,3
DERIVATIVE,zadobiti,26,za,dobiti,
DERIVATIVE,pridobiti,6,pri,dobiti,
DERIVATIVE,udobiti,1,u,dobiti,
BASE,nuditi,1292,,nuditi,3
DERIVATIVE,ponuditi,465,po,nuditi,
DERIVATIVE,iznuditi,7,iz,nuditi,
DERIVATIVE,prinuditi,2,pri,nuditi,
BASE,tražiti,1086,,tražiti,3
DERIVATIVE,zatražiti,365,za,tražiti,
DERIVATIVE,potražiti,155,po,tražiti,
DERIVATIVE,pretražiti,26,pre,tražiti,
BASE,značiti,1033,,značiti,3
DERIVATIVE,označiti,144,o,značiti,
DERIVATIVE,naznačiti,65,na,značiti,
DERIVATIVE,odznačiti,6,od,značiti,
BASE,voleti,483,,voleti,3
DERIVATIVE,zavoleti,5,za,voleti,
DERIVATIVE,privoleti,1,pri,voleti,
DERIVATIVE,izvoleti,1,iz,voleti,
BASE,ostajati,453,,ostajati,3
DERIVATIVE,zaostajati,28,za,ostajati,
DERIVATIVE,preostajati,24,pre,ostajati,
DERIVATIVE,izostajati,20,iz,ostajati,
BASE,tvrditi,392,,tvrditi,3
DERIVATIVE,utvrditi,443,u,tvrditi,
DERIVATIVE,potvrditi,373,po,tvrditi,
DERIVATIVE,pretvrditi,1,pre,tvrditi,
BASE,postavljati,386,,postavljati,3
DERIVATIVE,zapostavljati,4,za,postavljati,
DERIVATIVE,predpostavljati,3,pred,postavljati,
DERIVATIVE,upostavljati,1,u,postavljati,
BASE,boriti,355,,boriti,3
DERIVATIVE,izboriti,86,iz,boriti,
DERIVATIVE,oboriti,31,o,boriti,
DERIVATIVE,naboriti,1,na,boriti,
BASE,desiti,338,,desiti,3
DERIVATIVE,podesiti,176,po,desiti,
DERIVATIVE,zadesiti,23,za,desiti,
DERIVATIVE,udesiti,2,u,desiti,
BASE,krenuti,317,,krenuti,3
DERIVATIVE,pokrenuti,577,po,krenuti,
DERIVATIVE,okrenuti,80,o,krenuti,
DERIVATIVE,skrenuti,72,s,krenuti,
BASE,birati,297,,birati,3
DERIVATIVE,sabirati,9,sa,birati,
DERIVATIVE,ubirati,3,u,birati,
DERIVATIVE,prebirati,1,pre,birati,
BASE,putovati,235,,putovati,3
DERIVATIVE,otputovati,24,ot,putovati,
DERIVATIVE,doputovati,19,do,putovati,
DERIVATIVE,proputovati,7,pro,putovati,
BASE,slediti,220,,slediti,3
DERIVATIVE,uslediti,155,u,slediti,
DERIVATIVE,proslediti,42,pro,slediti,
DERIVATIVE,naslediti,21,na,slediti,
BASE,vidjeti,212,,vidjeti,3
DERIVATIVE,svidjeti,6,s,vidjeti,
DERIVATIVE,predvidjeti,4,pred,vidjeti,
DERIVATIVE,uvidjeti,3,u,vidjeti,
BASE,sticati,185,,sticati,3
DERIVATIVE,podsticati,201,pod,sticati,
DERIVATIVE,pristicati,1,pri,sticati,
DERIVATIVE,prosticati,1,pro,sticati,
BASE,brinuti,177,,brinuti,3
DERIVATIVE,pobrinuti,23,po,brinuti,
DERIVATIVE,zabrinuti,3,za,brinuti,
DERIVATIVE,prebrinuti,1,pre,brinuti,
BASE,gubiti,165,,gubiti,3
DERIVATIVE,izgubiti,364,iz,gubiti,
DERIVATIVE,pogubiti,8,po,gubiti,
DERIVATIVE,zagubiti,1,za,gubiti,
BASE,čitati,154,,čitati,3
DERIVATIVE,pročitati,284,pro,čitati,
DERIVATIVE,učitati,14,u,čitati,
DERIVATIVE,očitati,7,o,čitati,
BASE,pomenuti,132,,pomenuti,3
DERIVATIVE,napomenuti,152,na,pomenuti,
DERIVATIVE,spomenuti,36,s,pomenuti,
DERIVATIVE,opomenuti,3,o,pomenuti,
BASE,pominjati,130,,pominjati,3
DERIVATIVE,napominjati,64,na,pominjati,
DERIVATIVE,spominjati,50,s,pominjati,
DERIVATIVE,opominjati,10,o,pominjati,
BASE,slijediti,95,,slijediti,3
DERIVATIVE,uslijediti,7,u,slijediti,
DERIVATIVE,naslijediti,4,na,slijediti,
DERIVATIVE,proslijediti,3,pro,slijediti,
BASE,radovati,93,,radovati,3
DERIVATIVE,obradovati,35,ob,radovati,
DERIVATIVE,saradovati,1,sa,radovati,
DERIVATIVE,izradovati,1,iz,radovati,
BASE,diti,92,,diti,3
DERIVATIVE,saditi,9,sa,diti,
DERIVATIVE,uditi,5,u,diti,
DERIVATIVE,poditi,2,po,diti,
BASE,plašiti,81,,plašiti,3
DERIVATIVE,uplašiti,12,u,plašiti,
DERIVATIVE,preplašiti,3,pre,plašiti,
DERIVATIVE,zaplašiti,2,za,plašiti,
BASE,vezovati,81,,vezovati,3
DERIVATIVE,obvezovati,4,ob,vezovati,
DERIVATIVE,povezovati,4,po,vezovati,
DERIVATIVE,uvezovati,1,u,vezovati,
BASE,jačati,73,,jačati,3
DERIVATIVE,ojačati,118,o,jačati,
DERIVATIVE,pojačati,80,po,jačati,
DERIVATIVE,nadjačati,4,nad,jačati,
BASE,ploviti,70,,ploviti,3
DERIVATIVE,uploviti,6,u,ploviti,
DERIVATIVE,preploviti,2,pre,ploviti,
DERIVATIVE,doploviti,1,do,ploviti,
BASE,želiti,67,,želiti,3
DERIVATIVE,poželiti,35,po,želiti,
DERIVATIVE,uželiti,1,u,želiti,
DERIVATIVE,zaželiti,1,za,želiti,
BASE,živiti,45,,živiti,3
DERIVATIVE,doživiti,31,do,živiti,
DERIVATIVE,oživiti,5,o,živiti,
DERIVATIVE,preživiti,4,pre,živiti,
BASE,dijeti,34,,dijeti,3
DERIVATIVE,podijeti,8,po,dijeti,
DERIVATIVE,dodijeti,3,do,dijeti,
DERIVATIVE,odijeti,1,o,dijeti,
BASE,pakovati,33,,pakovati,3
DERIVATIVE,spakovati,8,s,pakovati,
DERIVATIVE,upakovati,4,u,pakovati,
DERIVATIVE,prepakovati,2,pre,pakovati,
BASE,tući,31,,tući,3
DERIVATIVE,pretući,9,pre,tući,
DERIVATIVE,potući,5,po,tući,
DERIVATIVE,rastući,1,ras,tući,
BASE,ceti,29,,ceti,3
DERIVATIVE,poceti,7,po,ceti,
DERIVATIVE,zaceti,3,za,ceti,
DERIVATIVE,naceti,1,na,ceti,
BASE,piseti,22,,piseti,3
DERIVATIVE,upiseti,14,u,piseti,
DERIVATIVE,napiseti,6,na,piseti,
DERIVATIVE,zapiseti,1,za,piseti,
BASE,plivati,21,,plivati,3
DERIVATIVE,zaplivati,3,za,plivati,
DERIVATIVE,otplivati,1,ot,plivati,
DERIVATIVE,preplivati,1,pre,plivati,
BASE,pijati,20,,pijati,3
DERIVATIVE,upijati,18,u,pijati,
DERIVATIVE,opijati,3,o,pijati,
DERIVATIVE,napijati,1,na,pijati,
BASE,slikati,18,,slikati,3
DERIVATIVE,oslikati,7,o,slikati,
DERIVATIVE,naslikati,5,na,slikati,
DERIVATIVE,uslikati,2,u,slikati,
BASE,sjećati,17,,sjećati,3
DERIVATIVE,osjećati,92,o,sjećati,
DERIVATIVE,podsjećati,7,pod,sjećati,
DERIVATIVE,prisjećati,2,pri,sjećati,
BASE,grešiti,17,,grešiti,3
DERIVATIVE,pogrešiti,22,po,grešiti,
DERIVATIVE,ogrešiti,2,o,grešiti,
DERIVATIVE,sagrešiti,1,sa,grešiti,
BASE,pušiti,15,,pušiti,3
DERIVATIVE,popušiti,1,po,pušiti,
DERIVATIVE,upušiti,1,u,pušiti,
DERIVATIVE,zapušiti,1,za,pušiti,
BASE,udarati,14,,udarati,3
DERIVATIVE,podudarati,29,pod,udarati,
DERIVATIVE,odudarati,6,od,udarati,
DERIVATIVE,sudarati,3,s,udarati,
BASE,varati,14,,varati,3
DERIVATIVE,otvarati,274,ot,varati,
DERIVATIVE,prevarati,21,pre,varati,
DERIVATIVE,zavarati,5,za,varati,
BASE,kupati,14,,kupati,3
DERIVATIVE,otkupati,7,ot,kupati,
DERIVATIVE,okupati,6,o,kupati,
DERIVATIVE,skupati,1,s,kupati,
BASE,moliti,13,,moliti,3
DERIVATIVE,zamoliti,40,za,moliti,
DERIVATIVE,pomoliti,2,po,moliti,
DERIVATIVE,umoliti,1,u,moliti,
BASE,sreti,13,,sreti,3
DERIVATIVE,presreti,2,pre,sreti,
DERIVATIVE,usreti,1,u,sreti,
DERIVATIVE,posreti,1,po,sreti,
BASE,duvati,13,,duvati,3
DERIVATIVE,oduvati,2,o,duvati,
DERIVATIVE,izduvati,2,iz,duvati,
DERIVATIVE,naduvati,1,na,duvati,
BASE,kreniti,12,,kreniti,3
DERIVATIVE,okreniti,27,o,kreniti,
DERIVATIVE,pokreniti,26,po,kreniti,
DERIVATIVE,skreniti,8,s,kreniti,
BASE,igratiti,12,,igratiti,3
DERIVATIVE,odigratiti,2,od,igratiti,
DERIVATIVE,zaigratiti,1,za,igratiti,
DERIVATIVE,poigratiti,1,po,igratiti,
BASE,periti,11,,periti,3
DERIVATIVE,operiti,11,o,periti,
DERIVATIVE,uperiti,5,u,periti,
DERIVATIVE,properiti,1,pro,periti,
BASE,listati,11,,listati,3
DERIVATIVE,prelistati,3,pre,listati,
DERIVATIVE,izlistati,1,iz,listati,
DERIVATIVE,prolistati,1,pro,listati,
BASE,kopati,11,,kopati,3
DERIVATIVE,zakopati,6,za,kopati,
DERIVATIVE,dokopati,3,do,kopati,
DERIVATIVE,ukopati,1,u,kopati,
BASE,bilježiti,10,,bilježiti,3
DERIVATIVE,zabilježiti,13,za,bilježiti,
DERIVATIVE,obilježiti,12,o,bilježiti,
DERIVATIVE,predbilježiti,1,pred,bilježiti,
BASE,goniti,10,,goniti,3
DERIVATIVE,progoniti,7,pro,goniti,
DERIVATIVE,pogoniti,6,po,goniti,
DERIVATIVE,nagoniti,1,na,goniti,
BASE,hladiti,10,,hladiti,3
DERIVATIVE,ohladiti,19,o,hladiti,
DERIVATIVE,prohladiti,5,pro,hladiti,
DERIVATIVE,rashladiti,1,ras,hladiti,
BASE,kočiti,10,,kočiti,3
DERIVATIVE,skočiti,48,s,kočiti,
DERIVATIVE,zakočiti,1,za,kočiti,
DERIVATIVE,ukočiti,1,u,kočiti,
BASE,dizati,8,,dizati,3
DERIVATIVE,podizati,120,po,dizati,
DERIVATIVE,uzdizati,21,uz,dizati,
DERIVATIVE,izdizati,12,iz,dizati,
BASE,loviti,8,,loviti,3
DERIVATIVE,uloviti,4,u,loviti,
DERIVATIVE,sloviti,2,s,loviti,
DERIVATIVE,naloviti,1,na,loviti,
BASE,stojiti,8,,stojiti,3
DERIVATIVE,nastojiti,36,na,stojiti,
DERIVATIVE,postojiti,3,po,stojiti,
DERIVATIVE,odstojiti,1,od,stojiti,
BASE,štetiti,7,,štetiti,3
DERIVATIVE,oštetiti,27,o,štetiti,
DERIVATIVE,uštetiti,7,u,štetiti,
DERIVATIVE,naštetiti,3,na,štetiti,
BASE,zati,6,,zati,3
DERIVATIVE,prezati,3,pre,zati,
DERIVATIVE,suzati,1,su,zati,
DERIVATIVE,sazati,1,sa,zati,
BASE,dignuti,6,,dignuti,3
DERIVATIVE,uzdignuti,6,uz,dignuti,
DERIVATIVE,podignuti,4,po,dignuti,
DERIVATIVE,izdignuti,1,iz,dignuti,
BASE,roniti,5,,roniti,3
DERIVATIVE,uroniti,9,u,roniti,
DERIVATIVE,zaroniti,6,za,roniti,
DERIVATIVE,izroniti,4,iz,roniti,
BASE,boleti,5,,boleti,3
DERIVATIVE,razboleti,9,raz,boleti,
DERIVATIVE,oboleti,3,o,boleti,
DERIVATIVE,zaboleti,1,za,boleti,
BASE,ređati,5,,ređati,3
DERIVATIVE,uređati,216,u,ređati,
DERIVATIVE,vređati,19,v,ređati,
DERIVATIVE,poređati,7,po,ređati,
BASE,kreneti,5,,kreneti,3
DERIVATIVE,pokreneti,27,po,kreneti,
DERIVATIVE,skreneti,12,s,kreneti,
DERIVATIVE,okreneti,10,o,kreneti,
BASE,meći,4,,meći,3
DERIVATIVE,uzmeći,1,uz,meći,
DERIVATIVE,umeći,1,u,meći,
DERIVATIVE,omeći,1,o,meći,
BASE,citi,4,,citi,3
DERIVATIVE,uciti,3,u,citi,
DERIVATIVE,priciti,1,pri,citi,
DERIVATIVE,naciti,1,na,citi,
BASE,trestiti,4,,trestiti,3
DERIVATIVE,strestiti,2,s,trestiti,
DERIVATIVE,otrestiti,1,o,trestiti,
DERIVATIVE,potrestiti,1,po,trestiti,
BASE,drzati,4,,drzati,3
DERIVATIVE,sadrzati,10,sa,drzati,
DERIVATIVE,odrzati,5,o,drzati,
DERIVATIVE,zadrzati,2,za,drzati,
BASE,nizati,4,,nizati,3
DERIVATIVE,nanizati,3,na,nizati,
DERIVATIVE,ponizati,2,po,nizati,
DERIVATIVE,snizati,2,s,nizati,
BASE,svetiti,4,,svetiti,3
DERIVATIVE,posvetiti,155,po,svetiti,
DERIVATIVE,osvetiti,4,o,svetiti,
DERIVATIVE,prosvetiti,1,pro,svetiti,
BASE,nići,3,,nići,3
DERIVATIVE,ponići,8,po,nići,
DERIVATIVE,iznići,6,iz,nići,
DERIVATIVE,pronići,5,pro,nići,
BASE,ciniti,3,,ciniti,3
DERIVATIVE,uciniti,10,u,ciniti,
DERIVATIVE,pociniti,2,po,ciniti,
DERIVATIVE,naciniti,2,na,ciniti,
BASE,pomeniti,3,,pomeniti,3
DERIVATIVE,napomeniti,8,na,pomeniti,
DERIVATIVE,spomeniti,2,s,pomeniti,
DERIVATIVE,opomeniti,1,o,pomeniti,
BASE,rati,3,,rati,3
DERIVATIVE,orati,4,o,rati,
DERIVATIVE,porati,2,po,rati,
DERIVATIVE,srati,1,s,rati,
BASE,jeći,3,,jeći,3
DERIVATIVE,prijeći,12,pri,jeći,
DERIVATIVE,odjeći,1,od,jeći,
DERIVATIVE,sjeći,1,s,jeći,
BASE,tati,3,,tati,3
DERIVATIVE,stati,141,s,tati,
DERIVATIVE,rastati,20,ras,tati,
DERIVATIVE,otati,12,o,tati,
BASE,uzdati,3,,uzdati,3
DERIVATIVE,obuzdati,9,ob,uzdati,
DERIVATIVE,pouzdati,5,po,uzdati,
DERIVATIVE,zauzdati,1,za,uzdati,
BASE,drmati,3,,drmati,3
DERIVATIVE,uzdrmati,6,uz,drmati,
DERIVATIVE,prodrmati,6,pro,drmati,
DERIVATIVE,razdrmati,1,raz,drmati,
BASE,uciti,3,,uciti,3
DERIVATIVE,obuciti,5,ob,uciti,
DERIVATIVE,vuciti,1,v,uciti,
DERIVATIVE,nauciti,1,na,uciti,
BASE,zoveti,2,,zoveti,3
DERIVATIVE,pozoveti,25,po,zoveti,
DERIVATIVE,nazoveti,7,na,zoveti,
DERIVATIVE,dozoveti,1,do,zoveti,
BASE,vriti,2,,vriti,3
DERIVATIVE,provriti,8,pro,vriti,
DERIVATIVE,navriti,1,na,vriti,
DERIVATIVE,otvriti,1,ot,vriti,
BASE,grliti,2,,grliti,3
DERIVATIVE,prigrliti,14,pri,grliti,
DERIVATIVE,zagrliti,5,za,grliti,
DERIVATIVE,obgrliti,1,ob,grliti,
BASE,zreti,2,,zreti,3
DERIVATIVE,sazreti,6,sa,zreti,
DERIVATIVE,nazreti,1,na,zreti,
DERIVATIVE,dozreti,1,do,zreti,
BASE,moriti,2,,moriti,3
DERIVATIVE,odmoriti,23,od,moriti,
DERIVATIVE,umoriti,5,u,moriti,
DERIVATIVE,zamoriti,1,za,moriti,
BASE,ključati,2,,ključati,3
DERIVATIVE,otključati,17,ot,ključati,
DERIVATIVE,zaključati,16,za,ključati,
DERIVATIVE,proključati,1,pro,ključati,
BASE,režiti,2,,režiti,3
DERIVATIVE,narežiti,3,na,režiti,
DERIVATIVE,izrežiti,3,iz,režiti,
DERIVATIVE,urežiti,1,u,režiti,
BASE,ginuti,2,,ginuti,3
DERIVATIVE,poginuti,60,po,ginuti,
DERIVATIVE,uginuti,7,u,ginuti,
DERIVATIVE,izginuti,1,iz,ginuti,
BASE,istati,2,,istati,3
DERIVATIVE,doistati,10,do,istati,
DERIVATIVE,odistati,6,od,istati,
DERIVATIVE,rasistati,2,ras,istati,
BASE,bratiti,2,,bratiti,3
DERIVATIVE,obratiti,530,o,bratiti,
DERIVATIVE,ubratiti,1,u,bratiti,
DERIVATIVE,izbratiti,1,iz,bratiti,
BASE,trati,1,,trati,3
DERIVATIVE,sutrati,5,su,trati,
