глагол,частота
ukinuti,158
pamtiti,158
trpeti,158
potrošiti,157
povuciti,157
raspravljati,156
iznajmljivati,156
razvivati,156
preminuti,155
uplatiti,155
uporediti,155
navestiti,154
okrenuti,154
inspirisati,154
nanositi,154
motivisati,153
snositi,153
produžiti,153
osvrnuti,152
zaposliti,152
plašiti,152
ploviti,151
priznavati,151
susreti,151
odbraniti,151
pretpostavljati,150
pokloniti,150
obnoviti,150
teći,149
pozoviti,149
dočekati,149
odgovor,147
jesti,147
dobrobiti,147
blokirati,146
roditi,146
razmeniti,145
zahtijevati,145
vladati,145
nailaziti,145
odbaciti,144
napominjati,144
opustiti,144
odbijati,144
prevazilaziti,143
dizajnirati,143
rukovoditi,143
želiti,143
pristupati,142
varirati,142
umanjiti,142
ispraviti,142
brojati,142
počivati,142
pristati,142
probuditi,142
osnažiti,141
skrenuti,141
predvideti,141
poneti,140
bivati,140
prestajati,140
plažiti,139
izbrisati,139
odvojiti,138
takmičiti,138
protiviti,138
opstati,137
zadržiti,137
potruditi,136
ograničavati,136
prodaja,135
okrugati,135
tumačiti,135
sretati,135
polagati,135
obrazovati,134
pojačati,134
dostignuti,134
upasti,134
usvajati,133
jačati,133
eliminisati,133
stupati,132
opredeliti,132
povlačiti,132
osuđivati,132
god,131
izvršavati,131
uništiti,131
napasti,131
istražovati,131
ispostaviti,131
kritikovati,130
piti,130
korist,130
napuniti,130
transformisati,130
izbegnuti,130
ponavljati,128
stimulisati,128
pevati,128
osvajati,128
štediti,128
uočiti,128
brisati,127
obavesti,127
pretrpeti,127
okretati,127
prouzrokovati,127
angažovati,126
otpočeti,126
usavršavati,126
posjedovati,125
naneti,125
zahvatiti,125
prirediti,125
vrediti,125
pošlajiti,125
interesovati,124
napuštati,124
proveravati,124
naznačiti,123
započniti,123
uklapati,123
isključivati,123
iskusiti,123
parkirati,123
sumnjati,122
usmeravati,122
projektovati,122
uspostavljati,122
spojiti,122
poginuti,122
lečiti,121
upoznavati,120
izložiti,120
opravdati,120
oslobađati,120
prethoditi,119
prijavljivati,119
baciti,119
datirati,119
organizirati,118
snabdevati,118
pripasti,116
onemogućiti,116
kiša,116
djelovati,116
očistiti,116
isteći,116
žaliti,116
prerasti,116
bojati,115
mešati,115
postupiti,115
preseliti,115
gostovati,115
upisivati,114
pogađati,114
dostizati,114
naterati,113
dopustiti,113
poručivati,113
elektromaterajati,112
zaštita,112
zatvarati,112
reproducirati,112
okončati,112
svoditi,112
izabereti,112
proizilaziti,111
potpisivati,111
distribuirati,111
isprobati,111
sviđati,111
zaraditi,110
uvrstiti,110
sanjati,110
mučiti,110
sedeti,110
oduzeti,110
konkurisati,110
nemotiti,109
ugrađivati,109
setiti,108
pati,108
spasiti,108
krasiti,107
ohrabriti,107
najavljivati,107
otežavati,107
iznenaditi,107
onemogućavati,107
ohrabrovati,107
pohvati,107
izdržati,106
zamoliti,106
proširivati,106
izvaditi,106
podijeliti,106
primećivati,106
spominjati,106
navići,105
živiti,105
približavati,105
iznajmiti,105
sakupljati,105
družiti,105
aplicirati,104
okrugiti,104
dospeti,103
ubaciti,103
omogutiti,103
naručiti,103
pozdravljati,103
protezati,103
trenirati,102
magistrirati,102
optimizovati,102
smestiti,102
suprotstaviti,102
razmenjivati,102
odobravati,102
ignorisati,101
preispitati,101
ublažiti,101
pronađiti,101
zakazati,101
odložiti,100
osuditi,100
paliti,100
poništiti,99
nadgledati,99
spasti,99
spuštati,98
doktorirati,98
deleti,98
prevesti,98
preuzmiti,97
obećavati,97
pošlajeti,97
povratiti,97
obraditi,97
odneti,96
negirati,96
sastaviti,96
nalagati,96
pozabaviti,96
osnivati,96
pridavati,96
ispratiti,95
demonstrirati,95
poći,95
ugraditi,94
hodati,94
obustaviti,94
prevoditi,94
upotpuniti,94
strujati,93
ličiti,93
ubijati,93
sakriti,93
pristići,92
prekršiti,92
rezervisati,92
zeleniti,92
haliti,92
pribaviti,92
odvajati,91
dugovati,91
dijeliti,91
odabirati,91
podvućati,90
dočekovati,90
ušteti,90
montirati,90
pregovarati,90
reciklirati,89
priuštiti,89
ovisiti,88
pojačavati,88
pomeriti,88
ponositi,88
komentarisati,88
uspjeti,88
polaziti,88
kopirati,88
ispitovati,87
primena,87
ubediti,87
uklopiti,87
udružiti,87
pretpostaviti,87
poteći,87
isplaćivati,87
obilovati,87
skretati,87
doživiti,86
uništavati,86
umanjivati,86
zvučiti,86
prošetati,86
puštati,85
zagovarati,85
okruživati,85
povežiti,85
mijenjati,85
poznati,84
odraziti,84
nestajati,84
priložiti,84
odisati,84
bacati,83
suditi,83
zabranjivati,83
precizirati,83
pomerati,83
uspiti,83
skočiti,82
spriječiti,82
interesivati,82
proučavati,82
sagraditi,82
sačiniti,82
primjenjivati,81
informišati,81
obogatiti,81
pozicionirati,81
obnavljati,81
potrajati,81
svesti,81
konzumirati,80
ubrzavati,80
saslušati,80
smiti,80
sklopiti,80
ispoljavati,80
oduzimati,80
najavati,80
uzmati,80
pretraživati,79
okružovati,79
dijeti,79
osloniti,79
portati,79
zabraniti,79
peći,79
nametnuti,79
spomenuti,79
režirati,78
ujediniti,78
manifestovati,78
oduševiti,78
ratifikovati,78
obilaziti,77
uvećati,77
zapitati,77
dovršiti,77
ubrajati,77
uštedeti,77
jučiti,77
sačekati,76
oslikavati,76
spustiti,76
trgovati,76
pohranjivati,76
zamenjivati,76
proisticati,76
dopuštati,76
umirati,76
nadoknađivati,75
objedinjavati,75
porediti,75
sastajati,75
načiniti,75
uvećavati,75
ovladati,75
odreći,75
nastojiti,75
funkcionirati,74
osjetiti,74
štampati,74
izbiti,74
sačinjavati,74
odazvati,74
svežiti,74
uočavati,74
izbaciti,74
zaboravljati,74
dokumentovati,74
podrazumijevati,73
evidentirati,73
učvrstiti,73
koordinirati,73
intenzivirati,73
fotografisati,73
temeljati,73
usaglasiti,72
naložiti,72
ideti,72
izgovoriti,72
narušavati,72
prići,72
idemiti,72
produžavati,72
kazniti,72
iskazivati,72
gavati,72
narediti,71
dopuniti,71
zadovoljati,71
apelivati,71
obučavati,71
protestovati,71
proizlaziti,71
odustajati,71
obračunavati,71
zaštiti,71
ugledati,71
osposobiti,71
povrediti,71
obrisati,71
popeti,71
formulisati,71
pokreneti,70
ometati,70
oporaviti,70
obožavati,70
unijeti,70
nimati,69
dopadati,69
snaći,69
kuvati,69
registrirati,69
zahtjevati,69
hraniti,69
izgovarati,68
sakupiti,68
izučavati,68
zaustavljati,68
detektovati,68
ugati,68
pobeći,68
oboriti,68
zanemariti,68
pokreniti,68
oštetiti,67
oko,67
riješiti,67
optužiti,67
poveriti,67
izračunati,67
živjeti,67
vežbati,66
tragati,66
donijeti,66
paziti,66
usporavati,66
zaobići,66
rađati,66
uhapsiti,66
ustati,66
naplatiti,66
šetati,66
uneseti,66
odetiti,66
izostati,66
slagiti,66
razumivati,65
skupljati,65
idati,65
nati,65
pojasniti,65
zamijeniti,65
izbjeći,65
sagledavati,65
obučiti,65
izvestiti,65
disati,65
citirati,65
svrstavati,65
svrstati,64
počneti,64
ocijeniti,64
izvoziti,64
sediti,64
dopasti,64
rečiti,64
kvalifikovati,63
naslediti,63
nađetati,63
željeti,63
prekidati,63
cena,63
žao,63
zapamtiti,63
upitati,63
izjasniti,63
pospešivati,63
opremiti,63
ulivati,63
davasti,63
moderirati,63
utjecati,63
zamišljati,63
čuditi,62
apelovati,62
pozoveti,62
izvući,62
proslediti,62
sadržavati,62
upustiti,62
bežati,62
pozovesti,62
poduzeti,62
proslavljati,61
aviti,61
usporiti,61
dobivati,61
zadati,61
zateći,61
srušiti,61
brojiti,61
smenjivati,61
dopunjivati,61
zarađivati,61
konsultovati,61
pridruživati,61
predočiti,61
zabavljati,60
ponlavljati,60
privesti,60
tj.,60
zaostajati,60
oživeti,60
sipati,60
stojati,60
premašiti,60
uviditi,59
sam,59
čiti,59
preispitovati,59
saznavati,59
uvasti,59
skupiti,59
ispoštovati,59
sudjelovati,59
skinuti,59
skratiti,59
pregledavati,59
odjaviti,59
udvostručiti,58
br.niti,58
ublažavati,58
komponovati,58
padniti,58
optuživati,58
zanemarivati,58
podležati,58
imatti,58
smeštati,58
reflektovati,58
nadograditi,58
prevoziti,58
afirmisati,58
intervenisati,58
vezati,58
prenijeti,58
zabrinjavati,58
surađivati,57
lečati,57
puniti,57
popunjavati,57
izvučiti,57
poželiti,57
brinati,57
otputovati,57
izrasti,57
pretražiti,57
praktikovati,57
klikneti,57
propisati,57
čuo,57
okreniti,57
oglašavati,57
medjati,56
prilaziti,56
prijati,56
pucati,56
zovesti,56
lansirati,56
skrivati,56
uvažavati,56
vrednovati,56
proticati,56
pogoršati,56
tući,56
pobrinuti,56
prebacivati,56
pivati,55
prerađivati,55
rizikovati,55
uzdizati,55
opadati,55
pomakniti,55
locirati,55
odavati,55
utvrđovati,54
opterećivati,54
zaživeti,54
sinkronizirati,54
nagraditi,54
podešavati,54
zaslužiti,54
provestiti,54
snalaziti,54
otkazati,54
kažnjavati,54
zabaviti,54
tolerisati,54
učimiti,53
iziskovati,53
dodeti,53
poslujati,53
pomešati,53
oprobati,53
startovati,53
magistrati,53
opravdavati,53
poslušati,53
gurati,53
ugovoriti,53
proizaći,53
viđati,53
produbiti,53
uvideti,53
odmoriti,53
preživjeti,53
poklanjati,53
raspisivati,53
sumirati,53
ćasti,53
usavršiti,53
napadati,53
otpustiti,52
premjestiti,52
pojednostaviti,52
nastavati,52
uzmeti,52
izmeriti,52
pripisivati,52
oprostiti,52
udati,52
opasti,52
popravljati,52
setati,51
npr.,51
razmena,51
razdvajati,51
narasti,51
tužiti,51
razdvojiti,51
šaljetiti,51
nadoknaditi,51
otključati,51
zadesiti,51
proizvestiti,51
vakcinisati,51
terati,50
predstojati,50
udariti,50
obradovati,50
plivati,50
uplaćivati,50
rekonstruisati,50
sjećati,49
rušiti,49
ometi,49
odbacovati,49
nabavljati,49
apsorbovati,49
pogodovati,49
uslovljavati,49
sušiti,49
popustiti,49
okupirati,49
premašivati,49
osposobljavati,49
pretplatiti,49
posjećivati,49
zamisati,49
kretiti,49
žaljati,49
jamčiti,49
usklađivati,49
diktirati,49
dođiti,49
produbljivati,48
narušiti,48
zadobiti,48
sastavljati,48
započneti,48
dopreti,48
primijeniti,48
podigneti,48
revidirati,48
upišiti,48
ukidati,48
izjasti,48
vaniti,48
vileti,48
sirati,48
rastiti,48
starati,48
razbiti,48
uzvratiti,48
zasnovati,48
zapisati,47
sortirati,47
prijeđiti,47
spoznati,47
postaniti,47
odraditi,47
preferirati,47
zeleti,47
razumjeti,47
simbolizovati,47
posveti,47
procesuirati,47
progovoriti,47
