base_verb,base_frequency,derivatives_count,derivatives_examples
piti,59,6,u+piti (23); po+piti (13); na+piti (3); pri+piti (2); za+piti (1); ras+piti (1)
setiti,51,6,po+setiti (623); pod+setiti (290); o+setiti (224); pri+setiti (10); do+setiti (5); od+setiti (2)
paliti,50,6,za+paliti (23); u+paliti (15); s+paliti (9); o+paliti (1); po+paliti (1); pri+paliti (1)
skočiti,48,6,pre+skočiti (30); u+skočiti (5); pri+skočiti (3); po+skočiti (1); od+skočiti (1); za+skočiti (1)
stojati,32,6,po+stojati (2993); sa+stojati (617); na+stojati (189); pred+stojati (29); od+stojati (15); za+stojati (1)
gurati,25,6,iz+gurati (5); pro+gurati (4); do+gurati (3); po+gurati (2); pre+gurati (2); u+gurati (1)
sipati,23,6,po+sipati (4); na+sipati (2); za+sipati (2); pro+sipati (1); do+sipati (1); o+sipati (1)
vučiti,19,6,iz+vučiti (30); pri+vučiti (7); od+vučiti (5); u+vučiti (5); raz+vučiti (1); pod+vučiti (1)
pišiti,19,6,u+pišiti (36); na+pišiti (6); o+pišiti (6); za+pišiti (2); pod+pišiti (1); pre+pišiti (1)
rušiti,17,6,s+rušiti (29); na+rušiti (27); u+rušiti (6); po+rušiti (6); ob+rušiti (3); raz+rušiti (2)
topiti,15,6,ras+topiti (10); po+topiti (7); u+topiti (6); o+topiti (3); na+topiti (2); s+topiti (1)
lepiti,9,6,za+lepiti (11); pre+lepiti (11); od+lepiti (7); s+lepiti (5); na+lepiti (4); iz+lepiti (1)
lomiti,7,6,s+lomiti (15); po+lomiti (7); pre+lomiti (6); iz+lomiti (2); za+lomiti (1); do+lomiti (1)
kažiti,6,6,pri+kažiti (24); za+kažiti (18); po+kažiti (14); ot+kažiti (11); u+kažiti (10); do+kažiti (2)
krivati,5,6,po+krivati (200); ot+krivati (169); s+krivati (24); pri+krivati (23); pre+krivati (18); sa+krivati (5)
klanjati,4,6,u+klanjati (79); po+klanjati (36); ot+klanjati (9); s+klanjati (6); za+klanjati (4); pri+klanjati (3)
miti,3,6,pri+miti (426); uz+miti (95); s+miti (28); u+miti (4); pre+miti (2); pod+miti (1)
kazivati,3,6,po+kazivati (702); u+kazivati (490); pri+kazivati (460); do+kazivati (70); za+kazivati (16); ot+kazivati (6)
premiti,2,6,pri+premiti (358); s+premiti (82); o+premiti (30); ot+premiti (4); do+premiti (3); ras+premiti (1)
pustati,1,6,po+pustati (14); do+pustati (4); pre+pustati (2); s+pustati (1); ot+pustati (1); na+pustati (1)
zirati,1,6,nad+zirati (12); na+zirati (11); do+zirati (7); pre+zirati (6); po+zirati (3); za+zirati (1)
secati,1,6,o+secati (8); od+secati (5); pre+secati (3); za+secati (2); pod+secati (2); sa+secati (1)
micati,1,6,po+micati (13); od+micati (9); pro+micati (8); iz+micati (5); pri+micati (3); uz+micati (2)
rezati,1,6,u+rezati (5); iz+rezati (3); pre+rezati (2); od+rezati (1); s+rezati (1); na+rezati (1)
vuciti,1,6,po+vuciti (85); pre+vuciti (5); od+vuciti (5); iz+vuciti (3); raz+vuciti (2); pri+vuciti (1)
moći,17189,5,po+moći (1279); s+moći (3); do+moći (2); od+moći (1); pre+moći (1)
imati,11939,5,ot+imati (5); po+imati (2); do+imati (2); nad+imati (1); u+imati (1)
videti,1518,5,pred+videti (67); u+videti (34); s+videti (24); pre+videti (4); za+videti (1)
naći,816,5,pro+naći (1026); s+naći (32); iz+naći (8); po+naći (1); bez+naći (1)
pitati,268,5,za+pitati (37); u+pitati (33); ras+pitati (8); pro+pitati (2); s+pitati (2)
slušati,222,5,po+slušati (37); sa+slušati (32); pre+slušati (2); od+slušati (1); na+slušati (1)
stizati,184,5,po+stizati (191); do+stizati (55); pri+stizati (13); pre+stizati (2); su+stizati (1)
ležati,175,5,pod+ležati (29); za+ležati (1); od+ležati (1); pre+ležati (1); na+ležati (1)
voziti,137,5,pre+voziti (38); iz+voziti (31); u+voziti (12); do+voziti (7); od+voziti (6)
braniti,99,5,od+braniti (83); za+braniti (35); o+braniti (1); u+braniti (1); sa+braniti (1)
glasiti,90,5,na+glasiti (709); pro+glasiti (112); o+glasiti (91); sa+glasiti (90); su+glasiti (1)
brojati,68,5,na+brojati (10); pre+brojati (5); iz+brojati (5); po+brojati (3); u+brojati (1)
vrediti,65,5,po+vrediti (24); u+vrediti (5); pri+vrediti (3); obez+vrediti (1); za+vrediti (1)
suditi,50,5,o+suditi (48); pre+suditi (24); u+suditi (22); pro+suditi (4); po+suditi (2)
mešati,49,5,po+mešati (16); u+mešati (15); iz+mešati (8); pro+mešati (7); s+mešati (4)
uzmeti,40,5,pred+uzmeti (7); pre+uzmeti (7); iz+uzmeti (2); za+uzmeti (1); od+uzmeti (1)
čiti,39,5,u+čiti (238); pro+čiti (12); o+čiti (5); za+čiti (1); na+čiti (1)
crtati,21,5,na+crtati (10); za+crtati (6); pod+crtati (4); u+crtati (2); pre+crtati (1)
rastati,20,5,od+rastati (11); iz+rastati (1); na+rastati (1); s+rastati (1); u+rastati (1)
trčati,16,5,po+trčati (4); pre+trčati (2); do+trčati (2); pro+trčati (2); o+trčati (1)
juriti,14,5,na+juriti (2); po+juriti (2); do+juriti (1); s+juriti (1); iz+juriti (1)
seliti,10,5,pre+seliti (54); na+seliti (16); do+seliti (8); u+seliti (6); od+seliti (4)
saditi,9,5,za+saditi (14); po+saditi (10); do+saditi (9); u+saditi (5); pre+saditi (2)
ljubiti,8,5,za+ljubiti (25); po+ljubiti (8); s+ljubiti (1); iz+ljubiti (1); ob+ljubiti (1)
kucati,7,5,ot+kucati (10); za+kucati (3); po+kucati (3); u+kucati (2); pri+kucati (1)
javati,5,5,pri+javati (199); na+javati (31); ob+javati (9); od+javati (5); iz+javati (1)
vuki,4,5,iz+vuki (7); pod+vuki (2); u+vuki (1); od+vuki (1); raz+vuki (1)
kloniti,4,5,u+kloniti (219); ot+kloniti (77); po+kloniti (65); s+kloniti (22); pri+kloniti (7)
visiti,4,5,za+visiti (420); o+visiti (29); po+visiti (3); iz+visiti (1); su+visiti (1)
sati,4,5,do+sati (8); pre+sati (4); na+sati (2); pr+sati (1); u+sati (1)
umiti,4,5,na+umiti (3); iz+umiti (2); raz+umiti (2); s+umiti (1); pre+umiti (1)
premati,4,5,pri+premati (148); s+premati (109); do+premati (11); o+premati (9); ot+premati (8)
brati,3,5,sa+brati (11); po+brati (6); u+brati (2); o+brati (2); pri+brati (2)
bati,2,5,pro+bati (114); pre+bati (9); u+bati (6); do+bati (5); po+bati (1)
tvoriti,2,5,o+tvoriti (978); s+tvoriti (479); pre+tvoriti (134); za+tvoriti (132); ras+tvoriti (1)
pirati,1,5,do+pirati (16); o+pirati (7); s+pirati (6); u+pirati (3); sa+pirati (1)
točiti,1,5,pre+točiti (19); na+točiti (3); o+točiti (2); s+točiti (1); ras+točiti (1)
motati,1,5,za+motati (2); s+motati (1); ob+motati (1); u+motati (1); pre+motati (1)
znati,1647,4,sa+znati (569); pri+znati (213); po+znati (40); do+znati (14)
ostati,816,4,iz+ostati (31); u+ostati (4); za+ostati (4); pre+ostati (3)
čuti,517,4,na+čuti (3); pre+čuti (1); za+čuti (1); pro+čuti (1)
služiti,443,4,po+služiti (144); za+služiti (32); u+služiti (13); od+služiti (5)
kretati,363,4,po+kretati (203); s+kretati (55); o+kretati (54); za+kretati (4)
spavati,356,4,na+spavati (3); pre+spavati (3); od+spavati (1); u+spavati (1)
čekati,348,4,do+čekati (66); sa+čekati (45); pri+čekati (13); po+čekati (1)
platiti,276,4,u+platiti (79); na+platiti (28); ot+platiti (3); do+platiti (1)
vraćati,253,4,uz+vraćati (2); od+vraćati (2); po+vraćati (1); na+vraćati (1)
deliti,227,4,po+deliti (255); do+deliti (105); o+deliti (2); u+deliti (1)
buditi,154,4,pro+buditi (67); po+buditi (10); raz+buditi (2); s+buditi (1)
poznavati,154,4,pre+poznavati (114); u+poznavati (59); s+poznavati (6); ras+poznavati (1)
beležiti,124,4,o+beležiti (208); za+beležiti (107); u+beležiti (3); pri+beležiti (1)
uzmiti,95,4,pre+uzmiti (54); pred+uzmiti (5); pod+uzmiti (2); od+uzmiti (2)
brisati,68,4,iz+brisati (72); o+brisati (43); pre+brisati (5); po+brisati (1)
roditi,66,4,po+roditi (9); iz+roditi (9); u+roditi (4); pri+roditi (4)
pevati,62,4,ot+pevati (8); o+pevati (3); za+pevati (1); pre+pevati (1)
žaliti,55,4,po+žaliti (9); za+žaliti (4); sa+žaliti (1); o+žaliti (1)
živjeti,41,4,pre+živjeti (19); do+živjeti (14); za+živjeti (2); pro+živjeti (1)
poznati,40,4,u+poznati (815); pre+poznati (353); s+poznati (26); ras+poznati (3)
viđati,36,4,pred+viđati (243); s+viđati (38); u+viđati (15); pre+viđati (9)
disati,31,4,o+disati (46); u+disati (17); za+disati (1); iz+disati (1)
hraniti,29,4,po+hraniti (17); na+hraniti (7); sa+hraniti (6); pre+hraniti (3)
nati,29,4,s+nati (1); za+nati (1); na+nati (1); iz+nati (1)
paziti,28,4,za+paziti (12); o+paziti (3); s+paziti (2); pri+paziti (2)
ceniti,27,4,o+ceniti (342); pro+ceniti (108); pre+ceniti (1); po+ceniti (1)
čistiti,22,4,o+čistiti (69); pro+čistiti (5); po+čistiti (4); pre+čistiti (1)
pivati,20,4,po+pivati (14); u+pivati (4); na+pivati (3); o+pivati (1)
sjetiti,18,4,po+sjetiti (131); o+sjetiti (28); pod+sjetiti (14); pri+sjetiti (2)
boliti,15,4,raz+boliti (5); o+boliti (3); u+boliti (1); obez+boliti (1)
grejati,15,4,za+grejati (10); u+grejati (6); pod+grejati (2); pre+grejati (1)
hvatati,12,4,pri+hvatati (192); s+hvatati (114); za+hvatati (14); u+hvatati (1)
hvaliti,11,4,za+hvaliti (300); po+hvaliti (80); na+hvaliti (1); o+hvaliti (1)
gađati,10,4,do+gađati (88); po+gađati (66); od+gađati (4); na+gađati (2)
tjerati,10,4,na+tjerati (11); pro+tjerati (2); o+tjerati (2); ras+tjerati (1)
mirovati,10,4,u+mirovati (15); s+mirovati (13); iz+mirovati (6); pod+mirovati (1)
dirati,9,4,do+dirati (29); za+dirati (9); pro+dirati (6); na+dirati (1)
variti,8,4,pre+variti (12); s+variti (4); ot+variti (1); za+variti (1)
dići,7,4,po+dići (290); uz+dići (3); iz+dići (2); na+dići (1)
mjeriti,7,4,iz+mjeriti (9); po+mjeriti (1); za+mjeriti (1); od+mjeriti (1)
miješati,7,4,iz+miješati (2); u+miješati (2); pro+miješati (1); po+miješati (1)
lučiti,6,4,od+lučiti (686); raz+lučiti (4); iz+lučiti (1); po+lučiti (1)
dužiti,6,4,pro+dužiti (83); za+dužiti (16); o+dužiti (8); pri+dužiti (2)
taći,5,4,do+taći (20); po+taći (1); o+taći (1); s+taći (1)
goriti,5,4,za+goriti (2); sa+goriti (1); iz+goriti (1); od+goriti (1)
žiti,4,4,u+žiti (20); pr+žiti (12); prema+žiti (8); sa+žiti (2)
jasti,4,4,iz+jasti (24); ob+jasti (20); pri+jasti (2); raz+jasti (1)
iti,4,4,protiv+iti (71); na+iti (10); s+iti (9); ras+iti (1)
goditi,4,4,do+goditi (258); po+goditi (85); u+goditi (6); od+goditi (4)
čati,4,4,pri+čati (387); o+čati (3); na+čati (2); pre+čati (2)
gaziti,3,4,pre+gaziti (4); po+gaziti (2); za+gaziti (2); na+gaziti (1)
tresati,3,4,po+tresati (8); pre+tresati (3); o+tresati (2); s+tresati (1)
magati,3,4,po+magati (852); pre+magati (4); na+magati (2); od+magati (1)
šivati,3,4,prema+šivati (19); sa+šivati (2); za+šivati (1); u+šivati (1)
sedati,2,4,za+sedati (4); od+sedati (4); pre+sedati (2); na+sedati (1)
turati,2,4,ras+turati (2); na+turati (1); po+turati (1); pre+turati (1)
dubiti,2,4,pro+dubiti (19); za+dubiti (2); u+dubiti (1); iz+dubiti (1)
titi,2,4,pre+titi (90); o+titi (24); ras+titi (16); pri+titi (16)
koriti,2,4,po+koriti (5); u+koriti (2); pre+koriti (1); s+koriti (1)
trpati,1,4,s+trpati (4); za+trpati (2); pre+trpati (2); na+trpati (1)
ljati,1,4,pr+ljati (2); do+ljati (1); v+ljati (1); po+ljati (1)
veriti,1,4,pro+veriti (191); u+veriti (113); po+veriti (28); o+veriti (17)
misati,1,4,za+misati (20); po+misati (13); pro+misati (2); pri+misati (1)
makniti,1,4,po+makniti (30); od+makniti (1); raz+makniti (1); pro+makniti (1)
oriti,1,4,raz+oriti (9); pri+oriti (3); za+oriti (2); uz+oriti (1)
čeći,1,4,do+čeći (36); u+čeći (7); sa+čeći (3); po+čeći (3)
kačiti,1,4,o+kačiti (8); za+kačiti (6); pri+kačiti (1); ot+kačiti (1)
goreti,1,4,iz+goreti (9); sa+goreti (2); pre+goreti (1); na+goreti (1)
mazati,1,4,pre+mazati (9); na+mazati (6); pod+mazati (2); raz+mazati (1)
pastiti,1,4,pro+pastiti (3); o+pastiti (3); ras+pastiti (2); pre+pastiti (1)
teti,1,4,s+teti (7); o+teti (4); ras+teti (2); za+teti (1)
dobiti,2440,3,za+dobiti (26); pri+dobiti (6); u+dobiti (1)
nuditi,1292,3,po+nuditi (465); iz+nuditi (7); pri+nuditi (2)
tražiti,1086,3,za+tražiti (365); po+tražiti (155); pre+tražiti (26)
značiti,1033,3,o+značiti (144); na+značiti (65); od+značiti (6)
voleti,483,3,za+voleti (5); pri+voleti (1); iz+voleti (1)
ostajati,453,3,za+ostajati (28); pre+ostajati (24); iz+ostajati (20)
tvrditi,392,3,u+tvrditi (443); po+tvrditi (373); pre+tvrditi (1)
postavljati,386,3,za+postavljati (4); pred+postavljati (3); u+postavljati (1)
boriti,355,3,iz+boriti (86); o+boriti (31); na+boriti (1)
desiti,338,3,po+desiti (176); za+desiti (23); u+desiti (2)
krenuti,317,3,po+krenuti (577); o+krenuti (80); s+krenuti (72)
birati,297,3,sa+birati (9); u+birati (3); pre+birati (1)
putovati,235,3,ot+putovati (24); do+putovati (19); pro+putovati (7)
slediti,220,3,u+slediti (155); pro+slediti (42); na+slediti (21)
vidjeti,212,3,s+vidjeti (6); pred+vidjeti (4); u+vidjeti (3)
sticati,185,3,pod+sticati (201); pri+sticati (1); pro+sticati (1)
brinuti,177,3,po+brinuti (23); za+brinuti (3); pre+brinuti (1)
gubiti,165,3,iz+gubiti (364); po+gubiti (8); za+gubiti (1)
čitati,154,3,pro+čitati (284); u+čitati (14); o+čitati (7)
pomenuti,132,3,na+pomenuti (152); s+pomenuti (36); o+pomenuti (3)
pominjati,130,3,na+pominjati (64); s+pominjati (50); o+pominjati (10)
slijediti,95,3,u+slijediti (7); na+slijediti (4); pro+slijediti (3)
radovati,93,3,ob+radovati (35); iz+radovati (1); sa+radovati (1)
diti,92,3,sa+diti (9); u+diti (5); po+diti (2)
vezovati,81,3,ob+vezovati (4); po+vezovati (4); u+vezovati (1)
plašiti,81,3,u+plašiti (12); pre+plašiti (3); za+plašiti (2)
jačati,73,3,o+jačati (118); po+jačati (80); nad+jačati (4)
ploviti,70,3,u+ploviti (6); pre+ploviti (2); do+ploviti (1)
želiti,67,3,po+želiti (35); za+želiti (1); u+želiti (1)
živiti,45,3,do+živiti (31); o+živiti (5); pre+živiti (4)
dijeti,34,3,po+dijeti (8); do+dijeti (3); o+dijeti (1)
pakovati,33,3,s+pakovati (8); u+pakovati (4); pre+pakovati (2)
tući,31,3,pre+tući (9); po+tući (5); ras+tući (1)
ceti,29,3,po+ceti (7); za+ceti (3); na+ceti (1)
piseti,22,3,u+piseti (14); na+piseti (6); za+piseti (1)
plivati,21,3,za+plivati (3); ot+plivati (1); pre+plivati (1)
pijati,20,3,u+pijati (18); o+pijati (3); na+pijati (1)
slikati,18,3,o+slikati (7); na+slikati (5); u+slikati (2)
