base_verb,base_frequency,derivatives_count,derivatives_examples
nezgoditi,4,1,u+nezgoditi (1)
umrati,4,1,iz+umrati (1)
licencirati,4,1,pod+licencirati (1)
razložiti,4,1,ob+razložiti (152)
žvati,4,1,sa+žvati (1)
vjerati,4,1,pro+vjerati (3)
cistiti,4,1,o+cistiti (1)
kvariti,4,1,po+kvariti (20)
karakterizirati,4,1,o+karakterizirati (2)
gospodariti,4,1,za+gospodariti (4)
oteti,4,1,pre+oteti (1)
korati,4,1,s+korati (1)
vapiti,4,1,za+vapiti (1)
pumpati,4,1,u+pumpati (1)
gasti,4,1,u+gasti (17)
ocediti,4,1,pr+ocediti (1)
stititi,4,1,za+stititi (1)
brendirati,4,1,iz+brendirati (1)
puziti,3,1,ot+puziti (1)
jacati,3,1,po+jacati (3)
saglašavati,3,1,u+saglašavati (8)
minirati,3,1,do+minirati (125)
sliti,3,1,do+sliti (3)
taložiti,3,1,na+taložiti (1)
novčiti,3,1,u+novčiti (1)
briti,3,1,do+briti (3)
ljuštiti,3,1,o+ljuštiti (2)
slabiti,3,1,o+slabiti (15)
grleti,3,1,za+grleti (1)
zboriti,3,1,pro+zboriti (2)
bistrati,3,1,pre+bistrati (1)
harati,3,1,po+harati (1)
vaziti,3,1,pre+vaziti (1)
veličati,3,1,u+veličati (9)
mladiti,3,1,pre+mladiti (1)
tešiti,3,1,u+tešiti (1)
umati,3,1,raz+umati (1)
triti,3,1,u+triti (2)
izvediti,3,1,pro+izvediti (13)
perati,3,1,o+perati (2)
ćaskati,3,1,pro+ćaskati (1)
igrаli,3,1,od+igrаli (2)
lići,3,1,s+lići (8)
dobriti,3,1,o+dobriti (145)
kati,3,1,sa+kati (2)
očati,3,1,na+očati (4)
divljati,3,1,po+divljati (1)
upirati,3,1,pod+upirati (2)
ovladavati,3,1,pre+ovladavati (24)
toći,3,1,pre+toći (2)
mrdati,3,1,raz+mrdati (2)
gnezditi,3,1,u+gnezditi (2)
propastiti,3,1,u+propastiti (2)
kalibrisati,3,1,pre+kalibrisati (1)
maskirati,3,1,za+maskirati (4)
kolebati,3,1,po+kolebati (3)
gravirati,3,1,u+gravirati (1)
useti,3,1,s+useti (1)
granisati,3,1,o+granisati (7)
sednuti,2,1,za+sednuti (1)
bogatiti,2,1,o+bogatiti (36)
svijetliti,2,1,za+svijetliti (1)
razlagati,2,1,ob+razlagati (9)
obiti,2,1,s+obiti (1)
nasati,2,1,po+nasati (2)
polisati,2,1,pro+polisati (1)
cuvati,2,1,sa+cuvati (1)
sledovati,2,1,po+sledovati (1)
otisniti,2,1,pr+otisniti (1)
mahati,2,1,raz+mahati (1)
odeti,2,1,v+odeti (1)
sipasti,2,1,za+sipasti (1)
častiti,2,1,po+častiti (3)
istiti,2,1,pro+istiti (1)
kaciti,2,1,s+kaciti (6)
ganiti,2,1,po+ganiti (2)
poditi,2,1,po+poditi (1)
interesirati,2,1,za+interesirati (3)
beleti,2,1,po+beleti (1)
obrati,2,1,pre+obrati (1)
kockati,2,1,s+kockati (1)
cementirati,2,1,za+cementirati (3)
žmuriti,2,1,za+žmuriti (2)
hitati,2,1,po+hitati (2)
punoti,2,1,pre+punoti (1)
namijeniti,2,1,pre+namijeniti (1)
prljati,2,1,u+prljati (1)
obijati,2,1,pr+obijati (25)
vinovati,2,1,po+vinovati (4)
trljati,2,1,u+trljati (6)
duljati,2,1,pro+duljati (1)
krotiti,2,1,u+krotiti (2)
gutati,2,1,pro+gutati (13)
parati,2,1,pre+parati (7)
miksati,2,1,iz+miksati (2)
pasirati,2,1,pro+pasirati (1)
politi,2,1,o+politi (1)
razumiti,2,1,u+razumiti (2)
hrliti,2,1,po+hrliti (3)
praštati,2,1,o+praštati (5)
bаvi,2,1,o+bаvi (1)
račiti,2,1,v+račiti (1)
ganuti,2,1,u+ganuti (1)
dozrevati,2,1,po+dozrevati (2)
razmeriti,2,1,s+razmeriti (1)
krojiti,2,1,s+krojiti (3)
psovati,2,1,o+psovati (1)
vlažiti,2,1,na+vlažiti (6)
uviti,2,1,s+uviti (1)
zbijati,2,1,su+zbijati (5)
klatiti,2,1,ras+klatiti (2)
klevetati,2,1,o+klevetati (1)
obiđiti,2,1,za+obiđiti (2)
mrsiti,2,1,raz+mrsiti (1)
jaki,2,1,u+jaki (1)
grijati,2,1,u+grijati (1)
pečeti,2,1,pre+pečeti (1)
legneti,2,1,pri+legneti (1)
dišati,2,1,u+dišati (1)
piriti,2,1,o+piriti (3)
slageti,2,1,po+slageti (1)
sijeti,2,1,pre+sijeti (1)
okazati,2,1,s+okazati (1)
klasiti,2,1,pod+klasiti (1)
litati,2,1,s+litati (9)
povoditi,2,1,s+povoditi (1)
strukturisati,2,1,pre+strukturisati (1)
svjeti,2,1,pro+svjeti (1)
glati,2,1,o+glati (2)
jemčiti,2,1,za+jemčiti (1)
cekati,2,1,do+cekati (3)
rast,2,1,po+rast (1)
mahnuti,2,1,raz+mahnuti (1)
klesati,2,1,u+klesati (1)
soliti,2,1,po+soliti (10)
tapkati,2,1,u+tapkati (1)
spravljati,2,1,u+spravljati (1)
stetiti,2,1,o+stetiti (1)
gnječiti,2,1,pro+gnječiti (1)
jesiti,2,1,ob+jesiti (1)
dovati,2,1,po+dovati (2)
ovjeriti,2,1,pr+ovjeriti (174)
pleliti,1,1,pre+pleliti (2)
mogućiti,1,1,o+mogućiti (1034)
koloniti,1,1,ot+koloniti (1)
nišaniti,1,1,na+nišaniti (1)
bligati,1,1,pri+bligati (1)
potaći,1,1,s+potaći (1)
jebeti,1,1,od+jebeti (1)
ogovarati,1,1,pr+ogovarati (1)
prepastiti,1,1,za+prepastiti (1)
plijeniti,1,1,za+plijeniti (1)
sisati,1,1,u+sisati (2)
rаdili,1,1,od+rаdili (1)
ženiti,1,1,o+ženiti (15)
legnuti,1,1,na+legnuti (1)
stran,1,1,pro+stran (1)
vagati,1,1,u+vagati (4)
robiti,1,1,za+robiti (11)
lijeti,1,1,pre+lijeti (2)
groziti,1,1,u+groziti (79)
diskutivati,1,1,pro+diskutivati (1)
klјuča,1,1,pro+klјuča (1)
golicati,1,1,za+golicati (3)
okružavati,1,1,za+okružavati (1)
blistati,1,1,za+blistati (5)
skiti,1,1,u+skiti (1)
keti,1,1,s+keti (5)
tuđiti,1,1,o+tuđiti (3)
intrigirati,1,1,za+intrigirati (5)
prstiti,1,1,na+prstiti (2)
užasti,1,1,pr+užasti (1)
ponaći,1,1,o+ponaći (1)
lititi,1,1,s+lititi (1)
njagati,1,1,pred+njagati (4)
sigurati,1,1,o+sigurati (290)
beleziti,1,1,o+beleziti (1)
stičiti,1,1,pod+stičiti (1)
sesti,1,1,na+sesti (3)
tuti,1,1,ras+tuti (17)
nečistiti,1,1,o+nečistiti (1)
dsvesti,1,1,po+dsvesti (9)
ostajeti,1,1,za+ostajeti (1)
plačati,1,1,ras+plačati (1)
redovati,1,1,u+redovati (1)
odaći,1,1,pr+odaći (1)
bаviti,1,1,o+bаviti (1)
ganjati,1,1,pro+ganjati (5)
građati,1,1,pred+građati (2)
daditi,1,1,do+daditi (1)
kaljati,1,1,o+kaljati (1)
resiti,1,1,po+resiti (6)
njačiti,1,1,pred+njačiti (9)
pojati,1,1,s+pojati (17)
savivati,1,1,pre+savivati (1)
tegati,1,1,s+tegati (2)
jebiti,1,1,od+jebiti (1)
trpjeti,1,1,pre+trpjeti (4)
basti,1,1,iz+basti (1)
pakirati,1,1,ras+pakirati (1)
agati,1,1,v+agati (1)
ruka,1,1,po+ruka (1)
rići,1,1,iz+rići (6)
trgnuti,1,1,o+trgnuti (5)
osveti,1,1,pr+osveti (2)
jebati,1,1,na+jebati (1)
privati,1,1,za+privati (1)
pišati,1,1,na+pišati (2)
zakoniti,1,1,o+zakoniti (1)
lirati,1,1,po+lirati (3)
okretiti,1,1,pre+okretiti (1)
oki,1,1,ot+oki (2)
znojati,1,1,pre+znojati (1)
tkaniti,1,1,u+tkaniti (1)
šiti,1,1,u+šiti (14)
braditi,1,1,o+braditi (58)
tasati,1,1,s+tasati (5)
znаti,1,1,po+znаti (2)
šutiti,1,1,pre+šutiti (1)
poruciti,1,1,pre+poruciti (1)
krećati,1,1,po+krećati (1)
kalupiti,1,1,u+kalupiti (1)
stаvljаo,1,1,po+stаvljаo (1)
tečati,1,1,za+tečati (1)
pljuvati,1,1,po+pljuvati (1)
udeti,1,1,s+udeti (10)
baziti,1,1,o+baziti (1)
tanjiti,1,1,ras+tanjiti (4)
zavideti,1,1,po+zavideti (1)
ignorirati,1,1,iz+ignorirati (1)
steriti,1,1,po+steriti (2)
bauljati,1,1,do+bauljati (1)
teliti,1,1,sa+teliti (1)
barati,1,1,o+barati (7)
usreti,1,1,s+usreti (92)
krepiti,1,1,o+krepiti (3)
naciti,1,1,pro+naciti (2)
skrnaviti,1,1,o+skrnaviti (2)
nаći,1,1,pro+nаći (2)
ustavati,1,1,s+ustavati (111)
uhati,1,1,ob+uhati (1)
domisliti,1,1,pre+domisliti (10)
nervoziti,1,1,u+nervoziti (1)
dogradnjiti,1,1,na+dogradnjiti (1)
guglati,1,1,o+guglati (1)
vratati,1,1,po+vratati (1)
sežeti,1,1,po+sežeti (1)
stadošiti,1,1,po+stadošiti (1)
okružiti,1,1,za+okružiti (29)
ispeti,1,1,pr+ispeti (7)
savršiti,1,1,u+savršiti (41)
sakatiti,1,1,o+sakatiti (2)
doliti,1,1,o+doliti (8)
snažiti,1,1,o+snažiti (61)
rijeći,1,1,po+rijeći (2)
prineti,1,1,do+prineti (730)
modelovati,1,1,iz+modelovati (1)
pečiti,1,1,s+pečiti (1)
plešati,1,1,pro+plešati (1)
logirati,1,1,u+logirati (1)
sladiti,1,1,za+sladiti (6)
pečati,1,1,za+pečati (2)
betonirati,1,1,u+betonirati (1)
glancati,1,1,iz+glancati (1)
čestvovati,1,1,u+čestvovati (1674)
umišljati,1,1,pred+umišljati (1)
pititi,1,1,u+pititi (19)
kititi,1,1,o+kititi (4)
djesti,1,1,u+djesti (1)
ristiti,1,1,v+ristiti (1)
doviti,1,1,po+doviti (4)
masiti,1,1,pro+masiti (3)
samostati,1,1,o+samostati (1)
vojevati,1,1,iz+vojevati (7)
logovati,1,1,u+logovati (1)
rezbariti,1,1,iz+rezbariti (1)
upriti,1,1,od+upriti (4)
vedriti,1,1,raz+vedriti (1)
obavati,1,1,pr+obavati (18)
dimenzionisati,1,1,pre+dimenzionisati (1)
nivati,1,1,s+nivati (1)
svanuti,1,1,o+svanuti (5)
sučeti,1,1,za+sučeti (3)
prežati,1,1,na+prežati (1)
dusiti,1,1,do+dusiti (1)
gnjaviti,1,1,u+gnjaviti (1)
sobiti,1,1,o+sobiti (2)
rtati,1,1,po+rtati (48)
nemoći,1,1,iz+nemoći (2)
sramiti,1,1,po+sramiti (2)
smijati,1,1,na+smijati (1)
uocavati,1,1,s+uocavati (3)
obiveti,1,1,pr+obiveti (8)
čučiti,1,1,u+čučiti (1)
kleknuti,1,1,po+kleknuti (1)
šlati,1,1,po+šlati (18)
glačati,1,1,u+glačati (1)
nostiti,1,1,do+nostiti (1)
uputi,1,1,s+uputi (5)
kuniti,1,1,pro+kuniti (1)
sloboditi,1,1,o+sloboditi (108)
stvarivati,1,1,o+stvarivati (322)
gostiti,1,1,u+gostiti (74)
suglasiti,1,1,u+suglasiti (1)
nadjeti,1,1,pro+nadjeti (10)
kаžemo,1,1,po+kаžemo (1)
rđati,1,1,za+rđati (1)
smešiti,1,1,na+smešiti (5)
šminkati,1,1,na+šminkati (2)
ovaliti,1,1,pr+ovaliti (4)
seniti,1,1,za+seniti (2)
ejati,1,1,s+ejati (5)
pasati,1,1,s+pasati (4)
plasiti,1,1,u+plasiti (1)
trujati,1,1,s+trujati (40)
grditi,1,1,iz+grditi (3)
mačiti,1,1,u+mačiti (1)
restiti,1,1,s+restiti (4)
zretiti,1,1,na+zretiti (1)
inati,1,1,raz+inati (1)
avljati,1,1,ob+avljati (580)
nistiti,1,1,u+nistiti (3)
zeliti,1,1,po+zeliti (1)
slonati,1,1,za+slonati (4)
brkati,1,1,po+brkati (1)
toneti,1,1,ot+toneti (1)
puti,1,1,u+puti (1)
žvatiti,1,1,sa+žvatiti (1)
sijavati,1,1,pre+sijavati (1)
sitniti,1,1,u+sitniti (3)
okopavati,1,1,pr+okopavati (1)
ezbeđivati,1,1,ob+ezbeđivati (501)
braći,1,1,o+braći (8)
opstiti,1,1,u+opstiti (1)
vetriti,1,1,pro+vetriti (1)
brujati,1,1,za+brujati (1)
