base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
buniti,uzbuniti,uz,7,1
topiti,natopiti,na,15,2
teći,priteći,pri,92,6
likovati,nalikovati,na,133,8
kriviti,nakriviti,na,17,84
dragati,razdragati,raz,3,84
govoriti,ugovoriti,u,1638,23
dosećati,predosećati,pre,18,1
govoriti,prigovoriti,pri,1638,2
likovati,dolikovati,do,133,6
svirati,zasvirati,za,90,1
družiti,udružiti,u,67,48
liti,proliti,pro,1,1
mamiti,izmamiti,iz,1,6
sušiti,sasušiti,sa,23,82
brojati,izbrojati,iz,68,5
tišati,utišati,u,8,5
hvatati,zahvatati,za,12,14
vedriti,razvedriti,raz,1,1
liti,izliti,iz,1,3
njušiti,nanjušiti,na,88,80
likovati,odlikovati,od,133,154
otkriti,razotkriti,raz,563,9
dahnuti,predahnuti,pre,22,80
viriti,izviriti,iz,1,17
mjeriti,namjeriti,na,7,79
miriti,primiriti,pri,5,1
trnuti,pretrnuti,pre,52,78
menjati,izmenjati,iz,440,78
derati,proderati,pro,245,78
motriti,razmotriti,raz,1,435
vršiti,navršiti,na,770,15
jariti,razjariti,raz,16,77
vijati,privijati,pri,2,77
nositi,nadnositi,nad,599,77
rušiti,obrušiti,ob,17,3
metati,nadmetati,nad,1,14
seliti,doseliti,do,10,8
obilaziti,zaobilaziti,za,28,13
šiti,sašiti,sa,1,76
viti,odviti,od,221,2
upirati,podupirati,pod,3,2
piti,pripiti,pri,59,2
kloniti,prikloniti,pri,4,7
ložiti,založiti,za,1,19
lepiti,prilepiti,pri,9,75
klanjati,uklanjati,u,4,79
letati,preletati,pre,5,1
nositi,raznositi,raz,599,1
besneti,razbesneti,raz,1,1
jaditi,dojaditi,do,8,75
skočiti,uskočiti,u,48,5
niknuti,proniknuti,pro,116,1
režati,zarežati,za,2,74
lomiti,prelomiti,pre,7,6
vladati,nadvladati,nad,67,8
uzdavati,obuzdavati,ob,26,2
sijati,zasijati,za,12,10
stupati,ustupati,u,48,7
vapiti,zavapiti,za,4,1
voleti,privoleti,pri,483,1
viknuti,podviknuti,pod,897,73
slagati,naslagati,na,119,73
mutiti,zamutiti,za,6,73
moliti,promoliti,pro,13,73
drmati,uzdrmati,uz,3,6
buditi,razbuditi,raz,154,2
letiti,naletiti,na,22,2
štedeti,uštedeti,u,2,40
čistiti,pročistiti,pro,22,5
tresti,protresti,pro,499,1
liti,preliti,pre,1,10
svirati,odsvirati,od,90,8
grabiti,dograbiti,do,3,71
trčati,pretrčati,pre,16,2
maknuti,zamaknuti,za,233,70
krotiti,ukrotiti,u,2,2
rešiti,razrešiti,raz,259,26
tvoriti,pritvoriti,pri,2,70
izlaziti,proizlaziti,pro,210,37
turiti,proturiti,pro,62,1
ljutiti,razljutiti,raz,18,2
voliti,zavoliti,za,65,7
vitlati,zavitlati,za,121,69
pipati,napipati,na,140,3
paziti,pripaziti,pri,28,2
vrteti,uvrteti,u,12,68
čuti,načuti,na,517,3
ostajati,zaostajati,za,453,28
liti,naliti,na,1,1
dremati,zadremati,za,128,68
leteti,uleteti,u,3,2
vezati,zavezati,za,26,1
jahati,projahati,pro,568,67
saditi,zasaditi,za,9,14
ganjati,proganjati,pro,1,5
biti,sabiti,sa,197977,1
koriti,prekoriti,pre,2,1
kratiti,prekratiti,pre,1,3
letiti,uletiti,u,22,3
upreti,podupreti,pod,164,1
saditi,usaditi,u,9,5
meriti,izmeriti,iz,121,21
rugati,narugati,na,3,66
jačati,nadjačati,nad,73,4
ljuljati,zaljuljati,za,8,1
maknuti,uzmaknuti,uz,233,65
graditi,ugraditi,u,368,53
blistati,zablistati,za,1,5
trošiti,utrošiti,u,102,14
hteti,prohteti,pro,16392,64
sezati,dosezati,do,66,4
raditi,obraditi,ob,4247,58
legati,podlegati,pod,4,3
letiti,odletiti,od,22,1
letati,izletati,iz,5,2
lagati,zalagati,za,10,146
šarati,prošarati,pro,1,1
kašljati,zakašljati,za,128,62
ostaviti,izostaviti,iz,419,10
mučiti,izmučiti,iz,33,62
rušiti,prerušiti,pre,17,62
poloviti,prepoloviti,pre,9,7
juriti,projuriti,pro,14,62
siktati,prosiktati,pro,43,61
spravljati,uspravljati,u,2,1
kršiti,prekršiti,pre,77,47
mirisati,namirisati,na,13,2
čuljiti,načuljiti,na,8,60
škoditi,naškoditi,na,7,15
leteti,preleteti,pre,3,60
sedeti,presedeti,pre,58,60
turiti,preturiti,pre,62,60
lomiti,prolomiti,pro,7,60
lutati,odlutati,od,9,3
deliti,razdeliti,raz,227,60
trnuti,utrnuti,u,52,2
plesti,saplesti,sa,223,60
vrtiti,zavrtiti,za,24,60
grebati,izgrebati,iz,1,1
spavati,odspavati,od,356,1
pajati,napajati,na,7,12
bežati,razbežati,raz,40,1
oružati,razoružati,raz,11,6
denuti,zadenuti,za,24,59
šaptati,prošaptati,pro,79,59
piti,upiti,u,59,23
stradati,nastradati,na,106,13
brazdati,izbrazdati,iz,30,58
kupiti,nakupiti,na,395,5
verati,uzverati,uz,1,1
gaziti,zagaziti,za,3,2
prinositi,doprinositi,do,8,534
uveriti,razuveriti,raz,113,1
vijati,nadvijati,nad,2,5
saviti,presaviti,pre,3,57
pričati,prepričati,pre,387,9
bušiti,probušiti,pro,1,6
udati,preudati,pre,27,57
grliti,prigrliti,pri,2,14
grejati,ugrejati,u,15,6
bivati,prebivati,pre,65,4
viđati,priviđati,pri,36,56
dizati,izdizati,iz,8,12
šiti,ušiti,u,1,14
žariti,zažariti,za,54,56
pratiti,dopratiti,do,1050,1
vezati,razvezati,raz,26,56
mrljati,umrljati,u,16,56
nakaziti,unakaziti,u,8,56
voditi,zavoditi,za,1418,10
misliti,umisliti,u,921,1
žaliti,zažaliti,za,55,4
grabiti,ugrabiti,u,3,2
samariti,nasamariti,na,5,56
birati,sabirati,sa,297,9
meriti,nameriti,na,121,4
lajati,zalajati,za,209,55
noćiti,zanoćiti,za,33,55
pomagati,zapomagati,za,852,55
mamiti,namamiti,na,1,55
želeti,zaželeti,za,2878,55
zvučati,zazvučati,za,19,3
žeti,sažeti,sa,1995,5
očit,naočit,na,50,54
okrenuti,preokrenuti,pre,80,13
ložiti,obložiti,ob,1,12
vaditi,zavaditi,za,17,1
dobiti,pridobiti,pri,2440,6
letati,obletati,ob,5,53
žad,užad,u,19,53
važiti,uvažiti,u,232,14
kočiti,zakočiti,za,10,1
lizati,izlizati,iz,1,53
planuti,preplanuti,pre,4,4
goreti,sagoreti,sa,1,2
djelovati,sudjelovati,su,48,22
mašiti,nadmašiti,nad,1,17
minuti,uminuti,u,95,1
razumiti,urazumiti,u,2,2
goditi,ugoditi,u,4,6
skočiti,priskočiti,pri,48,3
stupiti,odstupiti,od,154,14
hoditi,nahoditi,na,164,52
zbiti,suzbiti,su,5,10
prečiti,preprečiti,pre,22,52
veriti,zaveriti,za,1,52
stezati,ustezati,u,1,52
letati,saletati,sa,5,1
sesti,zasesti,za,1,52
grnuti,nagrnuti,na,8,51
viti,previti,pre,221,51
cerekati,zacerekati,za,125,51
udarati,podudarati,pod,14,29
prositi,zaprositi,za,3,51
trčati,protrčati,pro,16,2
značiti,naznačiti,na,1033,65
okupljati,zaokupljati,za,190,7
valiti,odvaliti,od,29,51
leteti,proleteti,pro,3,1
obući,preobući,pre,8,51
