base_verb,prefixed_verb,prefix,cos_global_own_fasttext,cos_prefix_own_fasttext,cos_global_own_word2vec_lemmas,cos_prefix_own_word2vec_lemmas,cos_global_own_fasttext_lemmas,cos_prefix_own_fasttext_lemmas,word2vec_minus_fasttext_global_cos,word2vec_minus_fasttext_prefix_cos,fasttext_lemmas_minus_fasttext_global_cos,fasttext_lemmas_minus_fasttext_prefix_cos,fasttext_lemmas_minus_word2vec_lemmas_global_cos,fasttext_lemmas_minus_word2vec_lemmas_prefix_cos
reći,izreći,iz,0.6851970553398132,0.826633632183075,0.9715227484703064,0.9815487265586852,0.9837539196014404,0.9781543016433716,0.28632569313049316,0.15491509437561024,0.2985568642616272,0.15152066946029663,0.012231171131134033,-0.0033944249153136097
reći,proreći,pro,0.7055001258850098,0.8351735472679138,0.9706529378890992,0.9909095168113708,0.9415130615234376,0.9754735827445984,0.26515281200408947,0.15573596954345703,0.23601293563842785,0.14030003547668457,-0.02913987636566162,-0.015435934066772461
reći,odreći,od,0.7813461422920227,0.8994185924530029,0.9802594780921936,0.9933872222900392,0.9656139016151428,0.954401195049286,0.1989133358001709,0.09396862983703624,0.18426775932312012,0.05498260259628307,-0.014645576477050781,-0.038986027240753174
nositi,donositi,do,0.8911914229393005,0.9413355588912964,0.930871605873108,0.9499680399894714,0.9831680655479432,0.9793999195098876,0.039680182933807484,0.008632481098175049,0.09197664260864269,0.0380643606185912,0.052296459674835205,0.02943187952041615
nositi,iznositi,iz,0.8031063079833984,0.8946720361709595,0.9362793564796448,0.9353151321411132,0.9944101572036744,0.981968104839325,0.13317304849624634,0.0406430959701537,0.191303849220276,0.08729606866836548,0.05813080072402965,0.04665297269821178
nositi,nanositi,na,0.8307241797447205,0.7940029501914978,0.9881447553634644,0.9827869534492492,0.9954953193664552,0.9853505492210388,0.1574205756187439,0.18878400325775135,0.16477113962173473,0.19134759902954102,0.007350564002990834,0.002563595771789662
nositi,prenositi,pre,0.8778067827224731,0.933410346508026,0.9881818890571594,0.9864535331726074,0.9783763885498048,0.9857423305511476,0.11037510633468628,0.05304318666458141,0.10056960582733165,0.05233198404312156,-0.009805500507354625,-0.0007112026214598499
nositi,prinositi,pri,0.8350895047187805,0.898808479309082,0.9752254486083984,0.9807222485542296,0.979885995388031,0.987479031085968,0.14013594388961792,0.0819137692451476,0.1447964906692505,0.08867055177688599,0.004660546779632568,0.006756782531738392
nositi,raznositi,raz,0.9124282002449036,0.8777164220809937,0.9732601642608644,0.9799221158027648,0.9873942732810974,0.9874706268310548,0.060831964015960804,0.10220569372177113,0.07496607303619385,0.10975420475006115,0.014134109020233043,0.007548511028290017
nositi,unositi,u,0.8956422805786133,0.8706239461898804,0.9948654770851136,0.9891269207000732,0.990448534488678,0.9776134490966796,0.09922319650650036,0.11850297451019287,0.0948062539100647,0.1069895029067992,-0.004416942596435658,-0.011513471603393666
imati,nadimati,nad,0.8922369480133057,,0.9367286562919616,,0.9823580980300904,,0.044491708278655895,,0.09012115001678478,,0.045629441738128884,
imati,uzimati,uz,0.864401638507843,0.9350359439849854,0.9769960641860962,0.9747936129570008,0.9894679188728333,0.9786342978477478,0.11259442567825317,0.03975766897201549,0.12506628036499023,0.04359835386276245,0.01247185468673706,0.0038406848907469593
nositi,zanositi,za,0.9546030163764954,0.9740549325942992,0.9856674671173096,0.987519919872284,0.9926369786262512,0.985169231891632,0.03106445074081421,0.013464987277984841,0.03803396224975586,0.011114299297332764,0.00696951150894165,-0.0023506879806520775
nositi,pronositi,pro,0.9497620463371276,0.964352250099182,0.9934117794036864,0.9953533411026,0.9824842810630798,0.988318145275116,0.04364973306655884,0.03100109100341797,0.03272223472595226,0.02396589517593395,-0.010927498340606578,-0.00703519582748402
nositi,odnositi,od,0.8824057579040527,0.9153550863265992,0.9277761578559875,0.9482426047325134,0.9575424790382384,0.9516545534133912,0.045370399951934814,0.032887518405914196,0.07513672113418568,0.03629946708679199,0.029766321182250866,0.0034119486808777966
