model_key,model,prefix,pairs_total,pairs_with_both_vectors,coverage,evaluated_pairs,prefix_scored_pairs,mean_cos_global,mean_cos_prefix,median_cos_global,median_cos_prefix,mean_delta_prefix_minus_global
own_word2vec_lemmas,Собственный Word2Vec по леммам,u,172,118,0.686046511627907,118,118,0.968210317825867,0.9695098248578734,0.9824672043323517,0.9821628928184509,0.0012995070320064748
own_word2vec_lemmas,Собственный Word2Vec по леммам,po,133,115,0.8646616541353384,115,115,0.958549734302189,0.9599078530850618,0.9759722352027892,0.9775882959365844,0.0013581187828727401
own_word2vec_lemmas,Собственный Word2Vec по леммам,pre,135,95,0.7037037037037037,95,95,0.9761008645358838,0.9779238738511739,0.9864189624786376,0.9887365698814392,0.001823009315289956
own_word2vec_lemmas,Собственный Word2Vec по леммам,na,114,94,0.8245614035087719,94,94,0.9714303625390884,0.971396636455617,0.9821175336837769,0.9799259305000305,-3.372608347142469e-05
own_word2vec_lemmas,Собственный Word2Vec по леммам,pro,102,81,0.7941176470588235,81,81,0.9707709668595114,0.9708128762833866,0.9870755672454834,0.9868317246437072,4.1909423875214545e-05
own_word2vec_lemmas,Собственный Word2Vec по леммам,iz,98,77,0.7857142857142857,77,77,0.9716103417532784,0.9725163795731284,0.988243043422699,0.9878788590431212,0.0009060378198499674
own_word2vec_lemmas,Собственный Word2Vec по леммам,pri,83,69,0.8313253012048193,69,69,0.9784270611362181,0.9805700252021569,0.986787736415863,0.9868402481079102,0.0021429640659387512
own_word2vec_lemmas,Собственный Word2Vec по леммам,do,72,61,0.8472222222222222,61,61,0.9693285060710595,0.9713823502181006,0.9824740290641784,0.9817756414413452,0.0020538441470411613
own_word2vec_lemmas,Собственный Word2Vec по леммам,o,79,56,0.7088607594936709,56,56,0.9547915724771363,0.9585515292627471,0.9737659394741058,0.9765152633190155,0.0037599567856107657
own_word2vec_lemmas,Собственный Word2Vec по леммам,s,64,52,0.8125,52,52,0.9499851820560602,0.9535802820554147,0.97550830245018,0.9724346995353699,0.003595099999354425
own_word2vec_lemmas,Собственный Word2Vec по леммам,od,62,49,0.7903225806451613,49,49,0.9695627032494059,0.9714387034883305,0.9824389815330504,0.9831557869911194,0.0018760002389245946
own_word2vec_lemmas,Собственный Word2Vec по леммам,raz,54,41,0.7592592592592593,41,41,0.9770378019751572,0.9796804931105637,0.9805960059165956,0.9906417727470398,0.0026426911354064993
own_word2vec_lemmas,Собственный Word2Vec по леммам,sa,32,31,0.96875,31,31,0.9580398259624359,0.9568130239363639,0.9725701212882996,0.9795485138893129,-0.0012268020260718202
own_word2vec_lemmas,Собственный Word2Vec по леммам,uz,21,18,0.8571428571428571,18,18,0.9755886197090149,0.9766396250989702,0.9818907976150513,0.979055792093277,0.0010510053899553272
own_word2vec_lemmas,Собственный Word2Vec по леммам,ob,24,17,0.7083333333333334,17,17,0.9742512702941895,0.9775403282221626,0.9839131832122804,0.9865275621414183,0.0032890579279731104
own_word2vec_lemmas,Собственный Word2Vec по леммам,pod,20,14,0.7,14,14,0.9813617382730756,0.9843667788164956,0.9883145689964294,0.9923877716064453,0.003005040543419966
own_word2vec_lemmas,Собственный Word2Vec по леммам,ras,14,10,0.7142857142857143,10,10,0.9864498257637024,0.9919258773326873,0.9931947588920593,0.9948360323905946,0.0054760515689850076
own_word2vec_lemmas,Собственный Word2Vec по леммам,nad,10,6,0.6,6,0,0.981123129526774,,0.9916503429412842,,
own_word2vec_lemmas,Собственный Word2Vec по леммам,su,8,5,0.625,5,0,0.9874775767326355,,0.9922910332679749,,
own_word2vec_lemmas,Собственный Word2Vec по леммам,pr,3,2,0.6666666666666666,2,0,0.917339414358139,,0.917339414358139,,
own_word2vec_lemmas,Собственный Word2Vec по леммам,v,5,2,0.4,2,0,0.9273025691509247,,0.9273025691509247,,
own_fasttext_lemmas,Собственный FastText по леммам,za,192,153,0.796875,153,153,0.9933990653044258,0.9923897019398757,0.9944034218788148,0.9940434098243712,-0.0010093633645500161
own_fasttext_lemmas,Собственный FastText по леммам,u,172,118,0.686046511627907,118,118,0.9899342423778469,0.989561285002757,0.9912893772125244,0.9920748472213745,-0.0003729573750900029
own_fasttext_lemmas,Собственный FastText по леммам,po,133,115,0.8646616541353384,115,115,0.9866316240766774,0.9853866411292035,0.9924784898757936,0.9901235103607178,-0.001244982947473934
own_fasttext_lemmas,Собственный FastText по леммам,pre,135,95,0.7037037037037037,95,95,0.9869945965315167,0.9903492406794899,0.9901252388954164,0.9921298623085022,0.003354644147973322
own_fasttext_lemmas,Собственный FastText по леммам,na,114,94,0.8245614035087719,94,94,0.9928275777938518,0.9886257020716972,0.9946783483028412,0.9911515712738037,-0.004201875722154642
own_fasttext_lemmas,Собственный FastText по леммам,pro,102,81,0.7941176470588235,81,81,0.985013445954264,0.9890460629522064,0.9884886741638184,0.9915145635604858,0.004032616997942539
own_fasttext_lemmas,Собственный FastText по леммам,iz,98,77,0.7857142857142857,77,77,0.9911211109780645,0.9867316407042664,0.9949017763137816,0.9913392066955566,-0.004389470273798163
own_fasttext_lemmas,Собственный FastText по леммам,pri,83,69,0.8313253012048193,69,69,0.9868836316509523,0.9899414777755737,0.9908785820007324,0.9925609230995178,0.003057846124621394
own_fasttext_lemmas,Собственный FastText по леммам,do,72,61,0.8472222222222222,61,61,0.9887837894627305,0.9852524888320048,0.9910051226615906,0.9854865074157716,-0.0035313006307257943
own_fasttext_lemmas,Собственный FastText по леммам,o,79,56,0.7088607594936709,56,56,0.9866178429552487,0.9815920633929116,0.9895554780960083,0.9855153262615204,-0.005025779562337054
own_fasttext_lemmas,Собственный FastText по леммам,s,64,52,0.8125,52,52,0.9858599396852347,0.9800782742408606,0.9893582463264465,0.9832764863967896,-0.005781665444374095
own_fasttext_lemmas,Собственный FastText по леммам,od,62,49,0.7903225806451613,49,49,0.9896112960212085,0.9832208180914119,0.9931967258453368,0.9874500036239624,-0.006390477929796482
own_fasttext_lemmas,Собственный FastText по леммам,raz,54,41,0.7592592592592593,41,41,0.9863416741533977,0.988631026047032,0.9885754585266112,0.9906570911407472,0.002289351893634331
own_fasttext_lemmas,Собственный FastText по леммам,sa,32,31,0.96875,31,31,0.9877057594637717,0.9804937551098485,0.9903431534767152,0.981391966342926,-0.007212004353923215
own_fasttext_lemmas,Собственный FastText по леммам,uz,21,18,0.8571428571428571,18,18,0.9899365703264872,0.9820025563240051,0.989775538444519,0.9828543365001678,-0.007934014002482127
own_fasttext_lemmas,Собственный FastText по леммам,ob,24,17,0.7083333333333334,17,17,0.9895498261732214,0.9823907508569605,0.9923733472824096,0.9860605597496032,-0.007159075316260836
own_fasttext_lemmas,Собственный FastText по леммам,pod,20,14,0.7,14,14,0.9909487920148032,0.9818374727453504,0.992340624332428,0.9838007390499116,-0.009111319269452729
own_fasttext_lemmas,Собственный FastText по леммам,ras,14,10,0.7142857142857143,10,10,0.985812383890152,0.9811058461666107,0.9852995574474335,0.9832814931869506,-0.004706537723541337
own_fasttext_lemmas,Собственный FastText по леммам,nad,10,6,0.6,6,0,0.9916652043660482,,0.991293042898178,,
own_fasttext_lemmas,Собственный FastText по леммам,su,8,5,0.625,5,0,0.9910557866096497,,0.9932806491851808,,
own_fasttext_lemmas,Собственный FastText по леммам,pr,3,2,0.6666666666666666,2,0,0.9708123207092284,,0.9708123207092284,,
own_fasttext_lemmas,Собственный FastText по леммам,v,5,2,0.4,2,0,0.9688057601451874,,0.9688057601451874,,
