prefix,pairs_with_both_vectors_own_fasttext,pairs_with_both_vectors_own_fasttext_lemmas,pairs_with_both_vectors_own_word2vec_lemmas,coverage_own_fasttext,coverage_own_fasttext_lemmas,coverage_own_word2vec_lemmas,evaluated_pairs_own_fasttext,evaluated_pairs_own_fasttext_lemmas,evaluated_pairs_own_word2vec_lemmas,mean_cos_global_own_fasttext,mean_cos_global_own_fasttext_lemmas,mean_cos_global_own_word2vec_lemmas,mean_cos_prefix_own_fasttext,mean_cos_prefix_own_fasttext_lemmas,mean_cos_prefix_own_word2vec_lemmas,mean_delta_prefix_minus_global_own_fasttext,mean_delta_prefix_minus_global_own_fasttext_lemmas,mean_delta_prefix_minus_global_own_word2vec_lemmas,word2vec_minus_fasttext_prefix_cos,word2vec_minus_fasttext_coverage,fasttext_lemmas_minus_fasttext_prefix_cos,fasttext_lemmas_minus_word2vec_lemmas_prefix_cos
s,51,52,52,0.796875,0.8125,0.8125,51,52,52,0.9024590043460622,0.9858599396852347,0.9499851820560602,0.9250802958712858,0.9800782742408606,0.9535802820554147,0.022621291525223675,-0.005781665444374095,0.003595099999354425,0.028499986184128856,0.015625,0.05499797836957476,0.026497992185445907
od,52,49,49,0.8387096774193549,0.7903225806451613,0.7903225806451613,52,49,49,0.9002234626274842,0.9896112960212085,0.9695627032494059,0.9249559663809263,0.9832208180914119,0.9714387034883305,0.024732503753442006,-0.006390477929796482,0.0018760002389245946,0.04648273710740425,-0.048387096774193616,0.05826485171048568,0.011782114603081428
raz,37,41,41,0.6851851851851852,0.7592592592592593,0.7592592592592593,37,41,41,0.8959584719425923,0.9863416741533977,0.9770378019751572,0.933652041731654,0.988631026047032,0.9796804931105637,0.03769356978906165,0.002289351893634331,0.0026426911354064993,0.04602845137890976,0.07407407407407407,0.054978984315378066,0.008950532936468303
sa,29,31,31,0.90625,0.96875,0.96875,29,31,31,0.8692933917045593,0.9877057594637717,0.9580398259624359,0.9148709116310909,0.9804937551098485,0.9568130239363639,0.045577519926531564,-0.007212004353923215,-0.0012268020260718202,0.041942112305273005,0.0625,0.06562284347875758,0.02368073117348457
uz,15,18,18,0.7142857142857143,0.8571428571428571,0.8571428571428571,15,18,18,0.9324006915092469,0.9899365703264872,0.9755886197090149,0.9458873470624288,0.9820025563240051,0.9766396250989702,0.013486655553181966,-0.007934014002482127,0.0010510053899553272,0.030752278036541347,0.1428571428571428,0.0361152092615763,0.00536293122503495
ob,16,17,17,0.6666666666666666,0.7083333333333334,0.7083333333333334,16,17,17,0.8502508215606213,0.9895498261732214,0.9742512702941895,0.906989760696888,0.9823907508569605,0.9775403282221626,0.056738939136266736,-0.007159075316260836,0.0032890579279731104,0.07055056752527467,0.04166666666666674,0.07540099016007251,0.004850422634797846
pod,17,14,14,0.85,0.7,0.7,17,14,14,0.867174439570483,0.9909487920148032,0.9813617382730756,0.9199442968649023,0.9818374727453504,0.9843667788164956,0.0527698572944192,-0.009111319269452729,0.003005040543419966,0.06442248195159328,-0.15000000000000002,0.06189317588044807,-0.0025293060711452098
ras,11,10,10,0.7857142857142857,0.7142857142857143,0.7142857142857143,11,10,10,0.8557748740369623,0.985812383890152,0.9864498257637024,0.9227527434175665,0.9811058461666107,0.9919258773326873,0.06697786938060411,-0.004706537723541337,0.0054760515689850076,0.06917313391512081,-0.0714285714285714,0.05835310274904415,-0.01082003116607666
nad,7,6,6,0.7,0.6,0.6,7,6,6,0.8637474179267883,0.9916652043660482,0.981123129526774,,,,,,,,-0.09999999999999998,,
su,6,5,5,0.75,0.625,0.625,6,5,5,0.8725542028745016,0.9910557866096497,0.9874775767326355,,,,,,,,-0.125,,
