verb,dim_001,dim_002,dim_003,dim_004,dim_005,dim_006,dim_007,dim_008,dim_009,dim_010,dim_011,dim_012,dim_013,dim_014,dim_015,dim_016,dim_017,dim_018,dim_019,dim_020,dim_021,dim_022,dim_023,dim_024,dim_025,dim_026,dim_027,dim_028,dim_029,dim_030,dim_031,dim_032,dim_033,dim_034,dim_035,dim_036,dim_037,dim_038,dim_039,dim_040,dim_041,dim_042,dim_043,dim_044,dim_045,dim_046,dim_047,dim_048,dim_049,dim_050
brinuti,0.08413924,0.93588436,-0.0070016882,-0.0033844593,-0.0020174806,-0.001457141,-0.0029582933,0.0032759611,-0.0025675143,0.0018111442,-0.00039580447,-0.006746011,0.12299248,-0.11699186,0.010547213,0.0018866861,-0.038115975,0.20241812,-0.07880238,-0.17080003,0.007676886,-0.07112677,0.0511952,-0.0122607015,0.0012663385,0.029328305,-0.031135676,-0.00062312826,-0.0037582673,0.005982528,-0.0072348495,0.00080330664,0.01102845,-0.0029233238,0.00065402495,-0.0006548456,-0.0008720293,0.013341722,-0.0023012315,0.0039441343,-0.00073030725,0.00076176383,0.0011027693,9.4762196e-05,-0.0009811502,0.00058136095,0.0011230137,-0.0015556399,-0.00048141787,-0.00017218804
brisati,0.07801811,0.8666366,-0.0056048995,-0.0024100668,-0.0024260504,0.0004585237,-0.0023267174,0.00056135387,-0.002327446,0.0006076917,0.0010063074,0.0037809142,-0.036297396,0.037451006,-0.0094383,0.12162203,-0.04252766,0.06078311,-0.027551353,0.07572959,-0.03594241,0.28946385,-0.14297575,0.03814827,-0.009603089,-0.2734124,-0.14641786,-0.0044412394,-0.00157005,0.01925091,-0.052406665,0.022137558,0.039483782,0.0029217019,-0.018342137,-0.007838252,0.001864448,-0.06467534,0.005939941,-0.008752081,0.0017334446,0.0018929938,0.000903602,-0.00037230767,-0.0004995284,-0.0019053069,-0.004113802,-0.00018204273,-0.0009129525,0.0006297965
broditi,0.05806588,0.631894,-0.002295561,-0.0006256727,0.00010292323,-0.0009038694,-0.0016364789,-4.5637895e-05,0.0055247126,-0.006332606,0.0002830593,-0.0026715158,-0.060996987,0.07262865,-0.015437166,0.21651025,0.63571614,-0.21738051,0.17212681,-0.1840355,-0.038859658,-0.043494612,0.09493486,-0.036973815,0.003136704,0.03100329,-0.073530115,0.00052108715,-0.007399661,0.019268652,-0.04384913,0.01461036,0.042930383,-0.002243165,-0.016988713,-0.008533978,0.0009418881,-0.033195917,0.001116201,-0.00036311446,-0.0036059069,0.0003826951,-0.012924235,-0.0006360769,0.0002370371,-0.0002857912,-0.0039569526,0.00083408225,-0.0020297826,-0.004265394
brojati,0.08648628,0.9584481,-0.0056067607,-0.0013781779,-0.0028160987,0.00040137602,-0.0025627417,0.0005937228,-0.0018367319,0.0014131791,-0.000520369,0.0024927524,-0.04344998,0.051745124,-0.008886783,0.13961662,0.1081101,-0.012721306,0.020953104,0.11448675,0.005146211,-0.056222532,-0.035549514,0.0072487593,-0.0036153304,-0.11503279,-0.07115043,-0.002451994,-0.0027776444,0.00958311,-0.023439305,0.00864556,0.018839989,0.0011770199,-0.010133388,-0.0027720367,0.00035742772,-0.016867595,0.0010382785,-0.001187343,-0.000208989,0.0018981275,-0.00047555045,-8.93043e-05,4.8025475e-05,-0.00039179288,0.00019051506,-0.0017365968,0.00094875204,-0.0008287572
brojiti,0.080216266,0.89078766,-0.0055886963,-0.0018061084,-0.002989555,0.00087383913,-0.0021302507,0.0005039539,-0.002229886,8.528218e-05,0.0021676335,0.0011600346,-0.027245913,0.03794281,-0.0043705106,0.09610463,-0.02609735,0.03024636,-0.015952172,0.046627894,-0.0031661948,0.035131335,-0.26401418,0.06397762,-0.015263312,-0.30067584,-0.1151932,-0.0049484503,-0.0026991572,0.014388948,-0.03315026,0.010127498,0.030902443,-0.0011828467,-0.015216202,-0.0055725365,0.0019038335,-0.052438233,0.0068138153,-0.010505372,0.0021056484,0.0021963383,0.0021767423,8.63431e-05,-3.995527e-05,-0.0004734142,-0.0007810625,-0.0024476505,0.0011599305,-0.00021132661
brusiti,0.06582529,0.7298011,-0.0034251648,0.0018809044,-0.0027976108,-0.00024186225,-0.0026190956,0.00084257853,-0.003742676,0.004004047,-0.0016537028,0.002091284,-0.016019097,0.022422299,-0.0028951182,0.07049696,-0.008299463,0.0005809544,-0.0024423443,0.050892565,-0.0020589728,0.01062738,-0.12235574,0.027591627,-0.003621011,-0.03431859,0.08622511,0.0050798417,0.013379415,-0.06198706,0.12526686,-0.029489722,-0.1751697,0.035675157,0.056258887,0.04762549,-0.014491043,0.5537661,-0.10901094,0.18649551,-0.04396305,-0.07656228,-0.033894464,-0.0017401292,-0.0074424623,0.01354066,-0.04421249,0.07966039,-0.024299433,0.022488864
buditi,0.08556347,0.9522336,-0.0066463193,-0.0023849064,-0.003287585,0.0019270418,-0.0014058166,-0.0037930598,-0.006890134,0.009217301,-0.002235683,0.0037189205,-0.043525018,0.056308415,-0.0069415215,0.13899218,-0.16985945,-0.04902839,-0.014546248,-0.107916415,0.007670367,-0.039803386,-0.043420274,0.013162111,-0.0037735237,0.11267872,-0.035580553,-8.8874884e-07,-0.0035064335,0.0061263135,-0.0090699075,0.0018677473,0.009199846,-0.003698976,0.0049249204,-0.0011363066,-0.0002939618,0.014180592,0.00105642,-0.0015522273,-0.00057466957,7.467182e-05,0.0012518903,0.00018675452,1.8649278e-05,-0.00041759768,0.0021273603,-0.0010248866,0.0014493552,-0.0002633535
bujati,0.06508603,0.7278157,-0.0046248217,0.00013231087,-0.003236845,0.00043603647,-0.002766837,0.0008246414,-0.004099665,0.005842745,-0.0034709014,0.00748477,-0.057064917,0.05625237,-0.012325215,0.14805037,-0.030108055,0.079292126,-0.028583825,0.51023674,0.060824364,-0.27256492,0.26754636,-0.0576765,0.008654139,-0.01139148,-0.10148562,-0.004063132,-0.005730805,0.01914574,-0.049352553,0.022672165,0.03692829,0.0069700098,-0.022310464,-0.0030112122,-0.0004858044,-0.016101975,-0.004121147,0.0066446867,-0.0005941565,0.0013641999,0.00024412056,-0.0005806097,-0.00017480622,0.000946421,-0.0039932313,0.0013613689,-0.001327234,0.0036919885
buniti,0.080585614,0.89971167,-0.0077294367,-0.0023198663,-0.0034458747,0.0009395003,-0.0025716925,0.0006215762,-0.000393907,0.011521495,-0.0018067027,0.0041688257,-0.05435504,0.06922179,-0.0064167944,0.10848098,-0.06376929,0.28748584,-0.113301344,-0.22676349,0.01198322,-0.08568945,0.04267117,-0.009841457,0.0025219324,0.029727615,-0.01899751,-0.000402635,-0.0060439934,0.0041061514,0.0013358494,-0.0047298167,0.0044606654,-0.005742776,0.009793366,0.0010366312,-0.0022586056,0.04703657,-0.0055361264,0.008865716,-0.0022124578,0.00109026,0.0026509082,0.0003061247,-2.1055712e-05,-0.00068537926,0.004465353,-0.002227798,0.0028175449,-0.0012895629
bušiti,0.06913733,0.7682488,-0.005104878,-0.00344797,-0.0025079607,0.0041150395,0.0013743177,-0.011811068,-0.013876356,0.009631695,-0.0021528387,0.0032910754,-0.043743078,0.056690298,-0.008821328,0.1797333,-0.38214618,-0.40672183,0.07171208,-0.182902,0.011635933,-0.065909125,0.090675935,-0.020283418,0.0045781597,0.017338965,-0.043083865,0.0002324008,-0.0018677597,0.011157002,-0.026031347,0.011451423,0.019141518,-0.0025892921,0.0019080559,-0.0042030723,0.0011342169,-0.010517286,0.0075745923,-0.011907415,0.00037547405,-0.0018695381,-0.00067110464,1.6977654e-05,4.8347178e-05,6.478746e-05,-0.0021253354,0.000861122,-0.00056463596,0.0020827851
cediti,0.06420886,0.7137447,-0.004816685,-0.0035246708,-0.0023734155,0.0044414587,0.0018045951,-0.013007642,-0.014711188,0.0100012105,-0.0021085583,0.0032819721,-0.0452547,0.05860479,-0.009247238,0.18774211,-0.417162,-0.44616577,0.07904205,-0.20479767,0.013012441,-0.074583486,0.10692621,-0.023924462,0.005205339,0.019766912,-0.052983426,0.00010727997,-0.0025454985,0.014243304,-0.03306589,0.0142080635,0.025746593,-0.003060168,0.0001704977,-0.005437461,0.0014590113,-0.01783727,0.0087774405,-0.01382922,0.00050897803,-0.0023853248,-0.0012449772,-4.228214e-05,2.58435e-05,0.0002482822,-0.0033688685,0.0015550366,-0.0011886498,0.0026926263
ceniti,0.08309909,0.92391884,-0.0063656983,-0.0039831307,-0.002579105,0.0022128602,-0.0009908912,-0.0049834335,-0.0069649746,0.007952734,-0.002017561,0.009153352,-0.08956603,0.09060699,-0.0071314345,0.0048113577,-0.19008312,-0.16833928,0.028405525,-0.041376967,-0.02265552,0.19830988,0.11209707,-0.023874868,0.0058427467,0.01640309,-0.044093918,0.00059151003,0.0013796007,0.0051924223,-0.02019912,0.012570135,0.0058720787,0.0035064302,0.0011778708,-0.0018859362,-0.00011161559,-0.00086865487,0.0013162227,-0.001717617,-0.0003774848,0.00030165535,0.00039423688,-0.00023517148,-0.0002535713,-0.0016773014,-0.0010248055,0.00042506895,-0.0003524683,0.00065822
