verb,dim_001,dim_002,dim_003,dim_004,dim_005,dim_006,dim_007,dim_008,dim_009,dim_010,dim_011,dim_012,dim_013,dim_014,dim_015,dim_016,dim_017,dim_018,dim_019,dim_020,dim_021,dim_022,dim_023,dim_024,dim_025,dim_026,dim_027,dim_028,dim_029,dim_030,dim_031,dim_032,dim_033,dim_034,dim_035,dim_036,dim_037,dim_038,dim_039,dim_040,dim_041,dim_042,dim_043,dim_044,dim_045,dim_046,dim_047,dim_048,dim_049,dim_050
boleti,-0.08641495,0.8323953,-0.0033417281,-6.91949e-05,-0.0014571025,-0.00045779272,0.0019945065,0.00048566074,0.0036450194,0.007791985,-0.009917363,0.043472994,2.0821375e-05,0.00066709425,-0.0044524637,0.097455285,0.028694568,-0.005273074,-0.008680325,0.09442149,-0.10106227,0.0736282,-0.0034181227,0.48627466,0.012246521,-0.011828053,0.14528799,-0.0049775536,0.00018975498,-0.010980432,0.022082523,-0.061468463,0.00574401,7.8867386e-05,0.0042865295,-0.00016268044,0.0032770664,0.0023048383,-6.1015435e-05,0.0002830763,0.00064139784,-0.007106335,0.00054151524,-0.0010697243,-0.00044204778,-0.0014064256,0.0028240827,0.0024933745,-0.011999774,-0.003344883
boliti,-0.08675271,0.83549106,-0.0036878658,0.00093524967,-0.0014593281,2.3129078e-05,0.0017281441,0.000767168,0.0029975239,0.007962097,-0.012070635,0.049733598,0.003959415,-0.01117028,-0.0007311695,0.12858725,0.035180032,0.015546976,-0.015241249,0.1250522,-0.27672812,-0.2108433,0.01234825,0.31733513,0.010717891,-0.0074906736,0.17118248,-0.002745016,-0.001588994,-0.0046822517,0.026914153,-0.06464931,0.0076065753,-0.009374643,0.0073123234,-0.0003054401,0.006498437,0.004246169,-0.00013018474,0.00035263857,0.0013459913,-0.013019917,0.0003472421,-0.0025802478,-0.0008331876,-0.0032965264,0.00684038,0.007157511,-0.028886458,-0.0034725182
boraviti,-0.08151152,0.78284276,-0.003447334,0.005297118,-0.0017484997,-0.0004853122,-0.0030897353,-0.0054834047,0.0019166475,-0.041874062,0.07447883,-0.5797535,0.029804556,0.00626987,-1.9849176e-05,-0.1784992,8.395685e-05,0.0064651356,0.0036385667,-0.016420225,0.038847364,-0.0138875665,0.0011101902,-0.011753375,0.0029887373,-0.0040509976,0.033832487,-0.000877395,0.0010052919,-0.0058005606,0.002577731,-0.021540172,0.0026290745,0.001134402,-0.0010529642,-0.001771311,0.000873873,0.003916875,-4.5755747e-05,3.880934e-05,0.00048110745,-0.0077382377,-0.00041143506,-0.0011377176,-0.0007038138,-0.0013806543,0.00358555,0.0028624246,-0.015808614,-0.004100816
boriti,-0.09027867,0.86950177,-0.0044823303,0.0030093282,-0.0013538076,0.0006953794,0.0012673133,0.0011401916,0.0015206857,0.004846383,-0.008817331,0.05408916,0.0018200629,-0.009544559,-0.0007185433,0.12862597,0.019891877,0.027773784,-0.013701155,0.114260115,-0.38479662,-0.013152061,0.009261334,-0.18965985,0.00437297,0.0003556993,0.11359564,-0.0014636694,0.00106061,-0.0024570187,0.021258444,-0.057110995,0.0073412005,-0.005430072,-0.0050011766,-1.943286e-05,0.003429824,0.0018634797,-0.00016484286,-0.00014836199,0.0009379984,-0.008842308,-0.00058639195,-0.0018407464,-0.00077202555,-0.0022338666,0.0056492994,0.005789645,-0.021896224,-0.0014160818
braniti,-0.082227275,0.7885508,-0.002266028,-0.0018192867,-0.0015015424,-0.0006673782,0.0020168957,0.0004074847,0.003204586,0.006611803,-0.008227269,0.034918886,0.00048411282,-0.00067801826,-0.0028163025,0.0723967,0.013235087,-0.003994233,-0.0038404714,0.048725028,-0.055911705,0.06168444,-0.0028208243,0.05291192,-0.0035519486,0.006643004,-0.13382398,0.011825098,-0.008931888,0.033766646,-0.09920991,0.42767584,-0.052762404,-0.09512281,0.32578665,0.00917028,0.056904744,0.03262295,-0.001134342,0.0031536298,0.0076194825,-0.069308236,0.0013492743,-0.0064962055,-0.0028672237,-0.009635969,0.03412921,0.015312112,-0.10416378,-0.028349683
brinuti,-0.09689363,0.9340236,-0.005978537,0.003765055,-0.001837473,-0.00011010058,0.00016615598,-0.0014227718,0.0017368214,-0.005882057,0.01829553,-0.1707443,0.010218114,0.004747836,-0.0030225378,0.003960121,-0.011607029,0.24739906,0.0208449,-0.14798254,0.058025915,-0.0036544423,0.0009854536,0.00053126446,0.0010702357,-0.0017167504,0.03456669,-0.0003621251,-0.00019319319,0.000591031,0.0037063418,-0.0010064652,-0.0009900025,-0.0016877445,0.010920264,-0.00041407542,0.0019577788,-0.001142884,-4.5933855e-05,-0.00011127572,-2.9805958e-07,0.0032444894,-0.00069048244,0.0007438866,3.2979424e-05,0.0007265195,-0.0013557563,-0.0015898307,0.007829068,0.0014284843
brisati,-0.081952386,0.7900721,-0.0041052313,0.0026650582,-0.0012653659,0.0005744277,0.0012247907,0.0010783115,0.001175258,0.0026471908,-0.004677121,0.052141808,-0.0034272196,0.0028073045,-0.004452733,0.105419315,0.007812541,0.016579002,-0.008174453,0.097913966,-0.3133192,0.40854594,-0.0085701095,-0.23629709,0.005707715,-0.0027368525,0.115939334,-0.0052181743,0.0046604336,-0.011804806,0.027939077,-0.09135145,0.009292728,0.007119191,-0.014135347,8.4702406e-05,0.0012115589,0.0018417491,-0.0001434389,-0.0003490469,0.00075316074,-0.011636672,-0.0001132283,-0.0021589254,-0.00097383,-0.0021419409,0.0063550877,0.005856112,-0.027672784,-0.0060702115
broditi,0.0,0.0,-2.5994467e-15,0.0,4.6335478e-09,0.0,0.0,-8.232516e-06,-6.168916e-05,0.0,-0.0071883686,-0.0035203448,-0.027222602,-0.20844622,-0.34982985,-0.004636021,0.514184,0.14846751,-0.019903025,-0.08373532,0.06395311,0.10527708,-0.12955858,0.09824042,-0.07148916,0.021105038,0.029227883,0.1583028,0.08063791,0.05180382,-0.14160684,-0.1257332,-0.040243898,-0.14234102,0.029303048,0.051681876,-0.45331907,0.011122284,-0.22801001,0.17927364,0.045023207,-0.06238514,0.28791565,0.012432829,0.0018638013,0.022318965,-0.019738404,-0.04409734,0.09770024,0.06978322
brojati,-0.099684455,0.95782274,-0.0041709347,0.0022687481,-0.00046380048,-0.00064490957,0.0018936313,0.0011360998,0.001099026,0.00577838,-0.010961144,0.065820865,-0.004145867,0.0016817837,-0.004352172,0.13811553,-0.09474893,-0.049994886,-0.014801859,0.12248394,0.020940192,0.101326674,-0.0053995103,-0.089058965,-0.00066554814,-0.0012799486,0.053692017,-0.00065296184,0.0006650775,0.0017074547,0.013628393,-0.022429058,0.0009288479,0.0019175882,0.0029136185,0.0005071535,0.0013687296,0.0008165294,1.67616e-05,-0.00024965775,-0.00010369386,0.0027808514,-0.00063415704,0.0004736916,9.937142e-06,0.0006736871,-0.000441117,-0.00021830206,0.006170705,0.0018971881
brojiti,-0.09254747,0.89142203,-0.0044224327,0.002621603,-0.0013343188,0.0003982608,0.001424171,0.00096022064,0.0018200545,0.0040031117,-0.0060374658,0.04897898,-0.0024273805,0.0021855165,-0.0042685634,0.09800587,0.0097106425,0.0104288235,-0.006829581,0.079721086,-0.23702091,0.2998238,-0.0063947104,-0.15786733,0.0038537413,-0.0014677049,0.066845275,-0.0029513084,0.0033071826,-0.0072690602,0.013244586,-0.046299625,0.0049451566,0.0042605954,-0.010799911,0.00020960497,-0.00070188375,-0.0009806716,-0.00010365382,-0.00034956483,7.505605e-05,-0.00074706966,-0.0007321168,6.3972424e-05,-0.00030148923,0.00012096422,0.0008446266,0.0003255261,-0.00069826486,1.8929886e-05
